centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,url_colegio,direccion_coor_x,direccion_coor_y
28000029,SAN BLAS,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE,Víctor Hurtado,s/n,28864,002,Ajalvir,http://www.educa.madrid.org/cp.sanblas.ajalvir,458832,4487797
28000042,EL ALAMO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Río Alagón,1,28607,004,"Álamo, El",http://www.educa.madrid.org/cp.elalamo.elalamo,415961,4453703
28000054,ANTONIO DE NEBRIJA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,San Ignacio de Loyola,13,28806,005,Alcalá de Henares,http://www.educa.madrid.org/cp.antoniodenebrija.alcala,468386,4482313
28000066,CARDENAL CISNEROS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,San Juan,2,28801,005,Alcalá de Henares,http://www.educa.madrid.org/cp.cardenalcisnero.alcala,468658,4481259
28000078,CERVANTES,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Giner de los Ríos,5,28800,005,Alcalá de Henares,http://www.educa.madrid.org/cp.cervantes.alcala,469547,4481511
28000081,DAOIZ Y VELARDE,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,Infantado,2,28807,005,Alcalá de Henares,http://www.educa.madrid.org/cp.daoizyvelarde.alcala,468826,4481956
28000111,REYES CATOLICOS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,San Vidal,4,28803,005,Alcalá de Henares,http://www.educa.madrid.org/cp.reyescatolicos.alcala,468146,4480586
28000157,SAGRADO CORAZON DE JESUS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,Escritorios,6,28801,005,Alcalá de Henares,http://www.colegiofilipensealcaladehenares.es,468895,4481221
28000224,SAN FELIPE NERI,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE,San Felipe Neri,4,28801,005,Alcalá de Henares,www.colegiosanfelipe.es,468721,4481288
28000303,ESCUELAS PIAS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA,Lope de Figueroa,27,28804,005,Alcalá de Henares,http://www.escolapiosalcala.es,470018,4481495
