distrito_codigo;distrito_nombre;municipio_codigo;municipio_nombre;superficie_km2;densidad_por_km2
079601;    Centro ;0796;Madrid;5.21;25340.69
079602;    Arganzuela ;0796;Madrid;6.52;23306.44
079603;    Retiro ;0796;Madrid;5.42;21867.53
079604;    Salamanca ;0796;Madrid;5.36;26830.78
079605;    Chamartín ;0796;Madrid;9.12;15723.25
079606;    Tetuan ;0796;Madrid;5.37;28664.25
079607;    Chamberí ;0796;Madrid;4.73;29049.26
079608;    Fuencarral-El Pardo ;0796;Madrid;238.00;1003.00
079609;    Moncloa-Aravaca ;0796;Madrid;46.47;2515.26
079610;    Latina ;0796;Madrid;25.47;9183.75
079611;    Carabanchel ;0796;Madrid;14.10;17316.88
079612;    Usera ;0796;Madrid;7.70;17535.32
079613;    Puente de Vallecas ;0796;Madrid;14.84;15345.01
079614;    Moratalaz ;0796;Madrid;6.08;15493.59
079615;    Ciudad Lineal ;0796;Madrid;11.52;18455.56
079616;    Hortaleza ;0796;Madrid;25.87;6973.33
079617;    Villaverde ;0796;Madrid;20.21;7059.13
079618;    Villa de Vallecas ;0796;Madrid;51.49;2026.82
079619;    Vicálvaro ;0796;Madrid;35.36;1981.11
079620;    San Blas-Canillejas ;0796;Madrid;22.26;6934.37
079621;    Barajas ;0796;Madrid;43.56;1076.06
