municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
001;Acebeda (La);Hombre;De 0 a 4 años;0
001;Acebeda (La);Hombre;De 5 a 9 años;1
001;Acebeda (La);Hombre;De 10 a 14 años;0
001;Acebeda (La);Hombre;De 15 a 19 años;1
001;Acebeda (La);Hombre;De 20 a 24 años;0
001;Acebeda (La);Hombre;De 25 a 29 años;1
001;Acebeda (La);Hombre;De 30 a 34 años;2
001;Acebeda (La);Hombre;De 35 a 39 años;0
001;Acebeda (La);Hombre;De 40 a 44 años;2
001;Acebeda (La);Hombre;De 45 a 49 años;2
001;Acebeda (La);Hombre;De 50 a 54 años;3
001;Acebeda (La);Hombre;De 55 a 59 años;4
001;Acebeda (La);Hombre;De 60 a 64 años;5
001;Acebeda (La);Hombre;De 65 a 69 años;5
001;Acebeda (La);Hombre;De 70 a 74 años;2
001;Acebeda (La);Hombre;De 75 a 79 años;3
001;Acebeda (La);Hombre;De 80 a 84 años;3
001;Acebeda (La);Hombre;De 85 a 89 años;2
001;Acebeda (La);Hombre;De 90 a 94 años;0
001;Acebeda (La);Hombre;De 95 a 99 años;1
001;Acebeda (La);Hombre;De 100 y más años;0
001;Acebeda (La);Mujer;De 0 a 4 años;1
001;Acebeda (La);Mujer;De 5 a 9 años;0
001;Acebeda (La);Mujer;De 10 a 14 años;0
001;Acebeda (La);Mujer;De 15 a 19 años;1
001;Acebeda (La);Mujer;De 20 a 24 años;0
001;Acebeda (La);Mujer;De 25 a 29 años;1
001;Acebeda (La);Mujer;De 30 a 34 años;0
001;Acebeda (La);Mujer;De 35 a 39 años;0
001;Acebeda (La);Mujer;De 40 a 44 años;2
001;Acebeda (La);Mujer;De 45 a 49 años;2
001;Acebeda (La);Mujer;De 50 a 54 años;4
001;Acebeda (La);Mujer;De 55 a 59 años;4
001;Acebeda (La);Mujer;De 60 a 64 años;2
001;Acebeda (La);Mujer;De 65 a 69 años;5
001;Acebeda (La);Mujer;De 70 a 74 años;0
