municipio_codigo,municipio_nombre,sexo,min_edad,max_edad,poblacion_empadronada
001,Acebeda (La),Hombre,0,4,0
001,Acebeda (La),Hombre,5,9,1
001,Acebeda (La),Hombre,10,14,0
001,Acebeda (La),Hombre,15,19,1
001,Acebeda (La),Hombre,20,24,0
001,Acebeda (La),Hombre,25,29,1
001,Acebeda (La),Hombre,30,34,2
001,Acebeda (La),Hombre,35,39,0
001,Acebeda (La),Hombre,40,44,2
001,Acebeda (La),Hombre,45,49,2
001,Acebeda (La),Hombre,50,54,3
001,Acebeda (La),Hombre,55,59,4
001,Acebeda (La),Hombre,60,64,5
001,Acebeda (La),Hombre,65,69,5
001,Acebeda (La),Hombre,70,74,2
001,Acebeda (La),Hombre,75,79,3
001,Acebeda (La),Hombre,80,84,3
001,Acebeda (La),Hombre,85,89,2
001,Acebeda (La),Hombre,90,94,0
001,Acebeda (La),Hombre,95,99,1
001,Acebeda (La),Hombre,100,199,0
001,Acebeda (La),Mujer,0,4,1
001,Acebeda (La),Mujer,5,9,0
001,Acebeda (La),Mujer,10,14,0
001,Acebeda (La),Mujer,15,19,1
001,Acebeda (La),Mujer,20,24,0
001,Acebeda (La),Mujer,25,29,1
001,Acebeda (La),Mujer,30,34,0
001,Acebeda (La),Mujer,35,39,0
001,Acebeda (La),Mujer,40,44,2
001,Acebeda (La),Mujer,45,49,2
001,Acebeda (La),Mujer,50,54,4
001,Acebeda (La),Mujer,55,59,4
001,Acebeda (La),Mujer,60,64,2
001,Acebeda (La),Mujer,65,69,5
001,Acebeda (La),Mujer,70,74,0
001,Acebeda (La),Mujer,75,79,2
001,Acebeda (La),Mujer,80,84,1
001,Acebeda (La),Mujer,85,89,2
001,Acebeda (La),Mujer,90,94,2
001,Acebeda (La),Mujer,95,99,0
001,Acebeda (La),Mujer,100,199,0
002,Ajalvir,Hombre,0,4,101
002,Ajalvir,Hombre,5,9,153
002,Ajalvir,Hombre,10,14,156
002,Ajalvir,Hombre,15,19,95
002,Ajalvir,Hombre,20,24,102
002,Ajalvir,Hombre,25,29,124
002,Ajalvir,Hombre,30,34,201
002,Ajalvir,Hombre,35,39,225
002,Ajalvir,Hombre,40,44,294
002,Ajalvir,Hombre,45,49,243
002,Ajalvir,Hombre,50,54,194
002,Ajalvir,Hombre,55,59,135
002,Ajalvir,Hombre,60,64,95
002,Ajalvir,Hombre,65,69,69
002,Ajalvir,Hombre,70,74,53
002,Ajalvir,Hombre,75,79,32
002,Ajalvir,Hombre,80,84,33
002,Ajalvir,Hombre,85,89,15
002,Ajalvir,Hombre,90,94,7
002,Ajalvir,Hombre,95,99,0
002,Ajalvir,Hombre,100,199,0
002,Ajalvir,Mujer,0,4,119
002,Ajalvir,Mujer,5,9,132
002,Ajalvir,Mujer,10,14,133
002,Ajalvir,Mujer,15,19,99
002,Ajalvir,Mujer,20,24,84
002,Ajalvir,Mujer,25,29,124
002,Ajalvir,Mujer,30,34,187
002,Ajalvir,Mujer,35,39,228
002,Ajalvir,Mujer,40,44,272
002,Ajalvir,Mujer,45,49,183
002,Ajalvir,Mujer,50,54,158
002,Ajalvir,Mujer,55,59,98
002,Ajalvir,Mujer,60,64,67
002,Ajalvir,Mujer,65,69,67
002,Ajalvir,Mujer,70,74,53
002,Ajalvir,Mujer,75,79,40
002,Ajalvir,Mujer,80,84,35
002,Ajalvir,Mujer,85,89,28
002,Ajalvir,Mujer,90,94,14
002,Ajalvir,Mujer,95,99,7
002,Ajalvir,Mujer,100,199,0
003,Alameda del Valle,Hombre,0,4,3
003,Alameda del Valle,Hombre,5,9,2
003,Alameda del Valle,Hombre,10,14,3
003,Alameda del Valle,Hombre,15,19,5
003,Alameda del Valle,Hombre,20,24,3
003,Alameda del Valle,Hombre,25,29,2
003,Alameda del Valle,Hombre,30,34,3
003,Alameda del Valle,Hombre,35,39,4
003,Alameda del Valle,Hombre,40,44,5
003,Alameda del Valle,Hombre,45,49,14
003,Alameda del Valle,Hombre,50,54,20
003,Alameda del Valle,Hombre,55,59,12
003,Alameda del Valle,Hombre,60,64,7
003,Alameda del Valle,Hombre,65,69,4
003,Alameda del Valle,Hombre,70,74,10
003,Alameda del Valle,Hombre,75,79,8
003,Alameda del Valle,Hombre,80,84,4
003,Alameda del Valle,Hombre,85,89,5
003,Alameda del Valle,Hombre,90,94,2
003,Alameda del Valle,Hombre,95,99,1
003,Alameda del Valle,Hombre,100,199,0
003,Alameda del Valle,Mujer,0,4,7
003,Alameda del Valle,Mujer,5,9,1
003,Alameda del Valle,Mujer,10,14,4
003,Alameda del Valle,Mujer,15,19,4
003,Alameda del Valle,Mujer,20,24,2
003,Alameda del Valle,Mujer,25,29,2
003,Alameda del Valle,Mujer,30,34,3
003,Alameda del Valle,Mujer,35,39,7
003,Alameda del Valle,Mujer,40,44,9
003,Alameda del Valle,Mujer,45,49,6
003,Alameda del Valle,Mujer,50,54,9
003,Alameda del Valle,Mujer,55,59,5
003,Alameda del Valle,Mujer,60,64,6
003,Alameda del Valle,Mujer,65,69,4
003,Alameda del Valle,Mujer,70,74,1
003,Alameda del Valle,Mujer,75,79,5
003,Alameda del Valle,Mujer,80,84,4
003,Alameda del Valle,Mujer,85,89,1
003,Alameda del Valle,Mujer,90,94,1
003,Alameda del Valle,Mujer,95,99,1
003,Alameda del Valle,Mujer,100,199,0
004,Alamo (El),Hombre,0,4,268
004,Alamo (El),Hombre,5,9,309
004,Alamo (El),Hombre,10,14,318
004,Alamo (El),Hombre,15,19,230
004,Alamo (El),Hombre,20,24,233
004,Alamo (El),Hombre,25,29,249
004,Alamo (El),Hombre,30,34,282
004,Alamo (El),Hombre,35,39,358
004,Alamo (El),Hombre,40,44,425
004,Alamo (El),Hombre,45,49,424
004,Alamo (El),Hombre,50,54,326
004,Alamo (El),Hombre,55,59,257
004,Alamo (El),Hombre,60,64,212
004,Alamo (El),Hombre,65,69,178
004,Alamo (El),Hombre,70,74,164
004,Alamo (El),Hombre,75,79,111
004,Alamo (El),Hombre,80,84,100
004,Alamo (El),Hombre,85,89,68
004,Alamo (El),Hombre,90,94,34
004,Alamo (El),Hombre,95,99,5
004,Alamo (El),Hombre,100,199,2
004,Alamo (El),Mujer,0,4,232
004,Alamo (El),Mujer,5,9,306
004,Alamo (El),Mujer,10,14,291
004,Alamo (El),Mujer,15,19,213
004,Alamo (El),Mujer,20,24,193
004,Alamo (El),Mujer,25,29,225
004,Alamo (El),Mujer,30,34,289
004,Alamo (El),Mujer,35,39,379
004,Alamo (El),Mujer,40,44,405
004,Alamo (El),Mujer,45,49,397
004,Alamo (El),Mujer,50,54,296
004,Alamo (El),Mujer,55,59,245
004,Alamo (El),Mujer,60,64,192
004,Alamo (El),Mujer,65,69,176
004,Alamo (El),Mujer,70,74,163
004,Alamo (El),Mujer,75,79,127
004,Alamo (El),Mujer,80,84,155
004,Alamo (El),Mujer,85,89,151
004,Alamo (El),Mujer,90,94,125
004,Alamo (El),Mujer,95,99,29
004,Alamo (El),Mujer,100,199,7
005,Alcalá de Henares,Hombre,0,4,4445
005,Alcalá de Henares,Hombre,5,9,5451
005,Alcalá de Henares,Hombre,10,14,5482
005,Alcalá de Henares,Hombre,15,19,4729
005,Alcalá de Henares,Hombre,20,24,4970
005,Alcalá de Henares,Hombre,25,29,5505
005,Alcalá de Henares,Hombre,30,34,6469
005,Alcalá de Henares,Hombre,35,39,8010
005,Alcalá de Henares,Hombre,40,44,9086
005,Alcalá de Henares,Hombre,45,49,8392
005,Alcalá de Henares,Hombre,50,54,6832
005,Alcalá de Henares,Hombre,55,59,5951
005,Alcalá de Henares,Hombre,60,64,5376
005,Alcalá de Henares,Hombre,65,69,4712
005,Alcalá de Henares,Hombre,70,74,3898
005,Alcalá de Henares,Hombre,75,79,2508
005,Alcalá de Henares,Hombre,80,84,1815
005,Alcalá de Henares,Hombre,85,89,858
005,Alcalá de Henares,Hombre,90,94,308
005,Alcalá de Henares,Hombre,95,99,66
005,Alcalá de Henares,Hombre,100,199,14
