EXPEDIENTE,DATETIME,CALLE,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S000047,2021-01-01T11:38:00Z,CALLE JOSE BERGAMIN,62,Moratalaz,Caída,Despejado,Bicicleta,10001,Conductor,De 45 a 49 años,Hombre,2
2021S000142,2021-04-01T11:30:00Z,Estadio Metropolitano,1,San Blas,Caída,Despejado,Bicicleta,10002,Conductor,De 15 a 17 años,Hombre,14
2021S000142,2021-04-01T11:30:00Z,Estadio Metropolitano,1,San Blas,Caída,Despejado,Bicicleta,10003,Conductor,De 18 a 20 años,Hombre,14
2021S000142,2021-04-01T11:30:00Z,Estadio Metropolitano,1,San Blas,Caída,Despejado,Bicicleta,10004,Conductor,De 21 a 24 años,Hombre,14
2021S000142,2021-04-01T11:30:00Z,Estadio Metropolitano,1,San Blas,Caída,Despejado,Bicicleta,10005,Conductor,De 50 a 54 años,Hombre,6
2021S000204,2021-05-01T16:35:00Z,PLAZA EMPERADOR,11,Centro,Colisión fronto-lateral,Despejado,Bicicleta,10006,Conductor,De 18 a 20 años,Hombre,
2021S000225,2021-04-01T10:40:00Z,Paseo del Prado,11,Retiro,Alcance,Despejado,Bicicleta,10007,Conductor,De 40 a 44 años,Hombre,7
2021S000511,2021-01-16T18:50:00Z,"Avenida de la Ciudad de Barcelona, Madrid",144,Retiro,Alcance,Despejado,Bicicleta,10008,Conductor,De 21 a 24 años,Hombre,3
2021S000675,2021-01-18T22:42:00Z,Ronda de Valencia,5,Arganzuela,Alcance,Despejado,Bicicleta,10009,Conductor,De 25 a 29 años,Hombre,1
2021S000931,2021-01-24T01:30:00Z,plaza de Cánovas del Castillo,5,Centro,Atropello a persona,Despejado,Bicicleta,10012,Conductor,De 35 a 39 años,Hombre,14
2021S000931,2021-01-24T01:30:00Z,plaza de Cánovas del Castillo,5,Centro,Atropello a persona,Despejado,Bicicleta,10013,Peatón,De 60 a 64 años,Mujer,7
2021S000933,2021-01-23T11:40:00Z,"Paseo de las Yeserías, Madrid",15A,Arganzuela,Colisión lateral,Despejado,Bicicleta,10014,Conductor,De 45 a 49 años,Hombre,7
2021S001043,2021-01-26T07:25:00Z,GLORIETA SANTA MARIA DE LA CABEZA,7,Arganzuela,Caída,Lluvia débil,Bicicleta,10015,Conductor,De 30 a 34 años,Mujer,6
2021S001147,2021-01-29T16:00:00Z,PLAZA LAVAPIES,1,Centro,Caída,Nublado,Bicicleta,10019,Conductor,De 40 a 44 años,Mujer,1
2021S001213,2021-01-29T18:30:00Z,calle del Príncipe de Vergara,24,Salamanca,Colisión frontal,Despejado,Bicicleta,10022,Conductor,De 40 a 44 años,Hombre,
2021S001289,2021-01-31T13:50:00Z,plaza de Cibeles,1,Retiro,Colisión lateral,Despejado,Bicicleta,10024,Conductor,De 35 a 39 años,Hombre,
2021S001294,2021-01-30T19:30:00Z,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,16,Latina,Choque contra obstáculo fijo,Despejado,Bicicleta,10025,Conductor,De 18 a 20 años,Hombre,2
2021S001326,2021-01-02T13:05:00Z,CALLE ANDALUCES DEL POZO,9,Puente de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10027,Conductor,De 6  a  9 años,Hombre,7
2021S001330,2021-01-31T15:40:00Z,CALLE ARROYO FONTARRON,24,Moratalaz,Caída,Lluvia débil,Bicicleta,10028,Conductor,De 25 a 29 años,Hombre,7
2021S001366,2021-01-02T09:40:00Z,Madrid Río,+00650I,Arganzuela,Caída,Despejado,Bicicleta,10029,Conductor,De 21 a 24 años,Mujer,1
2021S001370,2021-02-02T09:05:00Z,Paseo de la Ermita del Santo,68,Carabanchel,Caída,Nublado,Bicicleta,10030,Conductor,De 25 a 29 años,Hombre,2
2021S001423,2021-01-31T09:00:00Z,CALLE VILLAMANIN,35,Latina,Colisión fronto-lateral,,Bicicleta,10031,Conductor,De 55 a 59 años,Hombre,
2021S001449,2021-01-31T15:55:00Z,"Avenida de Monforte de Lemos, Madrid",32,Fuencarral-El Pardo,Alcance,Despejado,Bicicleta,10032,Conductor,De 35 a 39 años,Hombre,7
2021S001532,2021-03-02T18:43:00Z,CALLE PLANETA TIERRA,6,Arganzuela,Choque contra obstáculo fijo,Lluvia débil,Bicicleta,10033,Conductor,De 55 a 59 años,Hombre,7
2021S001691,2021-07-02T11:05:00Z,CALLE DIAMANTE,1,Villaverde,Colisión fronto-lateral,Despejado,Bicicleta,10035,Conductor,De 40 a 44 años,Hombre,1
2021S001696,2021-07-02T12:10:00Z,GLORIETA CARLOS LLAMAS,0,San Blas,Colisión fronto-lateral,Despejado,Bicicleta,10036,Conductor,De 40 a 44 años,Hombre,2
2021S001696,2021-07-02T12:10:00Z,GLORIETA CARLOS LLAMAS,0,San Blas,Colisión fronto-lateral,Despejado,Bicicleta,10037,Conductor,De 60 a 64 años,Hombre,14
2021S001709,2021-07-02T15:00:00Z,AVENIDA LUIS ARAGONES,4,San Blas,Caída,Despejado,Bicicleta,10038,Conductor,De 10 a 14 años,Hombre,7
2021S001742,2021-07-02T10:51:00Z,AVENIDA FRANCISCO JAVIER SAENZ DE OIZA,4,Hortaleza,Colisión lateral,Despejado,Bicicleta,10039,Conductor,De 25 a 29 años,Hombre,7
2021S001804,2021-08-02T10:50:00Z,Avenida de la Memoria,2,Moncloa-Aravaca,Caída,Lluvia débil,Bicicleta,10040,Conductor,De 25 a 29 años,Mujer,2
2021S001868,2021-10-02T15:45:00Z,AVENIDA LOS ROSALES,131,Villaverde,Alcance,Despejado,Bicicleta,10041,Conductor,De 55 a 59 años,Hombre,
2021S001909,2021-06-02T12:42:00Z,GLORIETA ANTONIO BONET,0,Hortaleza,Colisión fronto-lateral,Despejado,Bicicleta,10042,Conductor,De 55 a 59 años,Hombre,1
2021S001998,2021-12-02T20:30:00Z,Paseo de la Castellana,67,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta,10044,Conductor,De 25 a 29 años,Mujer,6
2021S002047,2021-02-13T15:00:00Z,Paseo de la Castellana,243,Tetuán,Caída,Despejado,Bicicleta,10045,Conductor,De 40 a 44 años,Hombre,7
2021S002050,2021-02-13T16:20:00Z,CALLE ANICETO MARINAS,74,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10046,Conductor,De 25 a 29 años,Hombre,7
2021S002050,2021-02-13T16:20:00Z,CALLE ANICETO MARINAS,74,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10047,Peatón,Desconocido,Mujer,14
2021S002054,2021-02-13T17:15:00Z,AVENIDA MIGUEL HERNANDEZ,116,Puente de Vallecas,Alcance,Despejado,Bicicleta,10048,Conductor,De 35 a 39 años,Hombre,1
2021S002054,2021-02-13T17:15:00Z,AVENIDA MIGUEL HERNANDEZ,116,Puente de Vallecas,Alcance,Despejado,Bicicleta,10049,Conductor,De 35 a 39 años,Hombre,14
2021S002207,2021-02-15T08:30:00Z,Paseo de la Castellana,274,Chamartín,Colisión lateral,Despejado,Bicicleta,10050,Conductor,De 45 a 49 años,Hombre,14
2021S002235,2021-02-16T14:20:00Z,Paseo de la Castellana,2,Salamanca,Alcance,Despejado,Bicicleta,10051,Conductor,De 35 a 39 años,Hombre,
2021S002241,2021-11-02T17:50:00Z,CALLE VALCARLOS,24,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10052,Conductor,De 45 a 49 años,Hombre,7
2021S002248,2021-02-16T21:00:00Z,CALLE BEJAR,15,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,10053,Conductor,De 25 a 29 años,Hombre,2
2021S002349,2021-02-17T19:15:00Z,Avenida del Planetario,12,Arganzuela,Alcance,Despejado,Bicicleta,10055,Conductor,De 40 a 44 años,Hombre,7
2021S002354,2021-02-18T18:30:00Z,CALLE SEDANO,24,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10056,Conductor,De 10 a 14 años,Hombre,7
2021S002383,2021-02-19T12:10:00Z,avenida de los Poblados,106,Carabanchel,Choque contra obstáculo fijo,Despejado,Bicicleta,10058,Conductor,De 70 a 74 años,Hombre,2
2021S002498,2021-02-18T19:40:00Z,GLORIETA ANTONIO PERPIÑA,0,Hortaleza,Colisión lateral,Despejado,Bicicleta,10060,Conductor,De 35 a 39 años,Hombre,7
2021S002541,2021-02-20T13:15:00Z,PLAZA EMPERADOR CARLOS V,8,Centro,Colisión lateral,Despejado,Bicicleta,10061,Conductor,De 35 a 39 años,Mujer,7
2021S002548,2021-02-20T13:15:00Z,CALLE SANCHIDRIAN,13A,Latina,Colisión lateral,Despejado,Bicicleta,10062,Conductor,De 45 a 49 años,Hombre,7
2021S002603,2021-02-21T13:30:00Z,CALLE ARROYO FONTARRON,24,Moratalaz,Caída,Lluvia débil,Bicicleta,10064,Conductor,De 45 a 49 años,Hombre,2
2021S002629,2021-02-22T17:00:00Z,PLAZA EMPERADOR CARLOS V,1,Centro,Colisión lateral,Despejado,Bicicleta,10065,Conductor,De 21 a 24 años,Mujer,6
2021S002631,2021-02-16T18:00:00Z,CALLE VALLE DE PINARES LLANOS,27,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10066,Conductor,De 35 a 39 años,Mujer,7
2021S002645,2021-02-22T20:40:00Z,San Bernardo street,55,Centro,Atropello a persona,Despejado,Bicicleta,10067,Conductor,De 35 a 39 años,Hombre,14
2021S002645,2021-02-22T20:40:00Z,San Bernardo street,55,Centro,Atropello a persona,Despejado,Bicicleta,10068,Peatón,De 70 a 74 años,Hombre,5
2021S002806,2021-02-19T14:30:00Z,CALLE MORALZARZAL,61,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10071,Conductor,De 10 a 14 años,Hombre,2
2021S002807,2021-02-26T14:15:00Z,AVENIDA ENTREVIAS,2,Puente de Vallecas,Colisión lateral,Despejado,Bicicleta,10072,Conductor,De 21 a 24 años,Hombre,7
2021S002810,2021-02-19T18:10:00Z,CALLE SANDALIA NAVAS,17,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10073,Conductor,De 15 a 17 años,Hombre,2
2021S002812,2021-02-26T14:45:00Z,Calle de la Ribera de Curtidores,25,Centro,Caída,Despejado,Bicicleta,10074,Conductor,De 30 a 34 años,Hombre,6
2021S002908,2021-02-27T19:15:00Z,PASEO EMBARCADERO,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10078,Conductor,De 30 a 34 años,Hombre,6
2021S003008,2021-02-28T17:15:00Z,Paseo del Prado,9,Retiro,Colisión lateral,Despejado,Bicicleta,10080,Conductor,De 30 a 34 años,Hombre,7
2021S003050,2021-02-27T21:20:00Z,CALLE EDUARDO BARREIROS,21,Usera,Choque contra obstáculo fijo,Despejado,Bicicleta,10081,Conductor,De 35 a 39 años,Mujer,7
2021S003061,2021-02-26T19:50:00Z,"Paseo de las Acacias, Madrid",20,Arganzuela,Caída,Despejado,Bicicleta,10083,Conductor,De 40 a 44 años,Hombre,7
2021S003197,2021-04-03T11:30:00Z,AVENIDA MARTIRES MARISTAS,2E,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10084,Conductor,Más de 74 años,Hombre,3
2021S003209,2021-04-03T15:35:00Z,CALLE FLORENCIO CANO CRISTOBAL,14,Moratalaz,Colisión fronto-lateral,Despejado,Bicicleta,10086,Conductor,De 15 a 17 años,Hombre,14
2021S003217,2021-03-03T17:09:00Z,CALLE BRUJAS,3A,Moratalaz,Atropello a persona,Despejado,Bicicleta,10087,Conductor,De 50 a 54 años,Hombre,14
2021S003217,2021-03-03T17:09:00Z,CALLE BRUJAS,3A,Moratalaz,Atropello a persona,Despejado,Bicicleta,10088,Peatón,Menor de 5 años,Hombre,6
2021S003345,2021-06-03T13:35:00Z,Avenida Buenos Aires,101,Puente de Vallecas,Caída,Despejado,Bicicleta,10089,Conductor,De 50 a 54 años,Mujer,6
2021S003348,2021-05-03T21:51:00Z,calle del Torpedero Tucumán,24,Chamartín,Caída,Despejado,Bicicleta,10090,Conductor,De 18 a 20 años,Hombre,1
2021S003456,2021-07-03T12:10:00Z,CALLE VALLE DE MENA,14,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10094,Conductor,De 25 a 29 años,Mujer,7
2021S003470,2021-07-03T12:44:00Z,CAMINO ARROYO DE VALDEBEBAS,9,Hortaleza,Colisión frontal,Despejado,Bicicleta,10095,Conductor,De 35 a 39 años,Hombre,7
2021S003470,2021-07-03T12:44:00Z,CAMINO ARROYO DE VALDEBEBAS,9,Hortaleza,Colisión frontal,Despejado,Bicicleta,10096,Conductor,De 40 a 44 años,Hombre,7
2021S003555,2021-09-03T18:30:00Z,avenida del Mediterráneo,136,Villa de Vallecas,Caída,Despejado,Bicicleta,10098,Conductor,De 40 a 44 años,Hombre,3
2021S003556,2021-04-03T15:58:00Z,PLAZA BEATA MARIA ANA DE JESUS,1,Arganzuela,Colisión lateral,Despejado,Bicicleta,10099,Conductor,De 50 a 54 años,Hombre,1
2021S003918,2021-03-13T11:10:00Z,parque Juan Carlos I,1,Barajas,Atropello a persona,Despejado,Bicicleta,10105,Conductor,De 50 a 54 años,Hombre,2
2021S003918,2021-03-13T11:10:00Z,parque Juan Carlos I,1,Barajas,Atropello a persona,Despejado,Bicicleta,10106,Peatón,De 35 a 39 años,Mujer,2
2021S003969,2021-03-14T11:00:00Z,CALLE ARROYOFRESNO,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10108,Conductor,De 65 a 69 años,Hombre,7
2021S004032,2021-03-14T13:00:00Z,PASEO TORRECILLA,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10112,Conductor,De 40 a 44 años,Hombre,7
2021S004032,2021-03-14T13:00:00Z,PASEO TORRECILLA,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10113,Conductor,De 50 a 54 años,Hombre,14
2021S004066,2021-03-16T16:40:00Z,PASEO EMBARCADERO,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10115,Conductor,De 50 a 54 años,Hombre,6
2021S004147,2021-03-17T16:05:00Z,Paseo del Prado,11,Retiro,Alcance,Despejado,Bicicleta,10116,Conductor,De 55 a 59 años,Hombre,7
2021S004190,2021-03-17T22:15:00Z,"Paseo de la Esperanza, Madrid",11,Arganzuela,Caída,Despejado,Bicicleta,10117,Conductor,De 21 a 24 años,Hombre,1
2021S004294,2021-03-19T16:20:00Z,CALLE VIA DE DUBLIN,3,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10119,Conductor,De 50 a 54 años,Hombre,7
2021S004356,2021-03-14T12:38:00Z,PASEO EMBARCADERO,2,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10121,Conductor,Desconocido,Desconocido,
