tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 3/200 BICI,1,53380,36,1967-04-24T00:00:00Z,-3.69595207567098,40.42823215896
SEMAFORO 3/200 BICI,1,54146,36,1960-01-01T00:00:00Z,-3.69592506171117,40.42817019983
SEMAFORO 3/200 BICI,1,5264,176,2019-03-06T00:00:00Z,-3.70919047059826,40.4242240155854
SEMAFORO 3/200 BICI,1,50280,116,1964-03-14T00:00:00Z,-3.70843452303096,40.416063320051
SEMAFORO 2/200 PEATON - BICI,1,55691,31,,-3.69832627299938,40.4182017522867
SEMAFORO 2/200 PEATON - BICI,1,55518,31,1960-01-01T00:00:00Z,-3.69838464543741,40.4182912021185
SEMAFORO 3/200 BICI,1,50281,31,1960-01-01T00:00:00Z,-3.69826163144743,40.4181129485968
SEMAFORO 3/200 BICI,1,50284,29,1960-01-01T00:00:00Z,-3.69403219296877,40.4190750459744
SEMAFORO 1/200 BICI,1,52157,29,1960-01-01T00:00:00Z,-3.69398702871886,40.4190318278053
SEMAFORO 1/200 BICI,1,50283,29,1960-01-01T00:00:00Z,-3.69413394887125,40.4190507934999
SEMAFORO 2/200 PEATON - BICI,1,1793,116,1964-03-14T00:00:00Z,-3.70872451251705,40.4160190138483
SEMAFORO 2/200 PEATON - BICI,1,26485,39,1960-01-01T00:00:00Z,-3.71061668070241,40.4233051602828
SEMAFORO 3/200 BICI,1,50282,30,1960-01-01T00:00:00Z,-3.69686148055073,40.4184858684018
SEMAFORO 2/200 PEATON - BICI,2,56395,775,,-3.71651901073022,40.4043382999205
SEMAFORO 2/200 PEATON - BICI,2,56396,775,,-3.71649786290369,40.40437696556
SEMAFORO 2/200 PEATON - BICI,2,39732,463,1971-10-14T00:00:00Z,-3.71104115302435,40.4024317782791
SEMAFORO 2/200 PEATON - BICI,2,56391,775,,-3.71648043087664,40.4043569274525
SEMAFORO 2/200 PEATON - BICI,2,43318,775,2019-07-26T00:00:00Z,-3.71587197144075,40.4042728448247
SEMAFORO 2/200 PEATON - BICI,2,43317,775,1978-01-01T00:00:00Z,-3.71596391967802,40.404182936901
SEMAFORO 2/200 PEATON - BICI,2,43316,775,1978-01-01T00:00:00Z,-3.71654307194817,40.4043990943818
SEMAFORO 2/200 PEATON - BICI,2,31069,529,1972-11-10T00:00:00Z,-3.71855653384291,40.4105971332993
SEMAFORO 3/200 BICI,2,55083,776,1978-01-01T00:00:00Z,-3.72056612759702,40.4042262077856
SEMAFORO 3/200 BICI,2,4294,776,1978-01-01T00:00:00Z,-3.72049947743257,40.4038690195967
SEMAFORO 3/100 BICI,2,56315,776,1978-01-01T00:00:00Z,-3.72047323972213,40.4038090370657
SEMAFORO 3/200 BICI,2,56317,776,1978-01-01T00:00:00Z,-3.72066099628706,40.4038749514116
SEMAFORO 3/100 BICI,2,45400,413,2018-02-26T00:00:00Z,-3.6983755560373,40.3934036932494
SEMAFORO 3/200 BICI,2,45399,413,2018-02-26T00:00:00Z,-3.69821345926555,40.393249796332
SEMAFORO 3/200 BICI,2,663,413,2018-02-26T00:00:00Z,-3.69896280893959,40.3937962822287
SEMAFORO 3/200 BICI,2,56318,776,1978-01-01T00:00:00Z,-3.72015099513812,40.403949466766
SEMAFORO 3/200 BICI,2,56319,776,1978-01-01T00:00:00Z,-3.72007508497131,40.4039971354617
SEMAFORO 3/100 BICI,2,56320,776,1978-01-01T00:00:00Z,-3.72052418151176,40.4041523119557
SEMAFORO 2/200 PEATON - BICI,2,56516,776,,-3.72042167766208,40.4038845165142
SEMAFORO 3/100 BICI,2,56515,776,,-3.72043469328667,40.4039142519235
SEMAFORO 3/100 BICI,2,56316,776,1978-01-01T00:00:00Z,-3.72056496477879,40.4039066557452
SEMAFORO 2/200 PEATON - BICI,2,39660,1434,2015-05-19T00:00:00Z,-3.70463838472049,40.4010974420396
SEMAFORO 2/200 PEATON - BICI,2,39661,1434,2015-05-19T00:00:00Z,-3.70450194258743,40.4011569055449
SEMAFORO 2/200 PEATON - BICI,2,31068,529,1972-11-10T00:00:00Z,-3.71853088278607,40.4105907213278
SEMAFORO 2/200 PEATON - BICI,2,30950,1875,2015-11-15T00:00:00Z,-3.7188437462298,40.4040612051103
SEMAFORO 2/200 PEATON - BICI,2,30949,1875,2015-11-15T00:00:00Z,-3.71879511608012,40.404066613866
SEMAFORO 2/200 PEATON - BICI,2,31236,342,2019-03-20T00:00:00Z,-3.69554345720711,40.3915787960138
SEMAFORO 2/200 PEATON - BICI,2,30944,776,2019-02-25T00:00:00Z,-3.72073936195878,40.404067102266
SEMAFORO 2/200 PEATON - BICI,2,47598,469,1971-12-11T00:00:00Z,-3.6989162278296,40.4013192403221
SEMAFORO 2/200 PEATON - BICI,2,39683,859,1978-01-01T00:00:00Z,-3.71102107348855,40.3996813410877
SEMAFORO 2/200 PEATON - BICI,2,39682,859,1978-01-01T00:00:00Z,-3.71101401973578,40.399583126448
SEMAFORO 3/200 BICI,2,55055,859,,-3.71108229770884,40.3995863529755
SEMAFORO 2/200 PEATON - BICI,2,49657,859,1978-01-01T00:00:00Z,-3.71001923249731,40.3991110238228
SEMAFORO 2/200 PEATON - BICI,2,49656,859,1978-01-01T00:00:00Z,-3.71003388488571,40.3991713856429
SEMAFORO 3/200 BICI,2,55057,859,,-3.71142494242984,40.3997076970974
SEMAFORO 3/100 BICI,2,55056,859,,-3.71098368685193,40.3995594544568
SEMAFORO 2/200 PEATON - BICI,2,31200,413,1970-05-08T00:00:00Z,-3.69891621003456,40.3937871144396
SEMAFORO 2/200 PEATON - BICI,2,31197,413,1970-05-08T00:00:00Z,-3.6988430864336,40.3939198238033
SEMAFORO 3/100 BICI,2,55103,413,1970-05-08T00:00:00Z,-3.6981237308668,40.3932129673107
SEMAFORO 3/100 BICI,2,55098,413,1970-05-08T00:00:00Z,-3.69889257712063,40.3937626495041
SEMAFORO 3/200 BICI,2,55099,413,1970-05-08T00:00:00Z,-3.69864249344263,40.3935742526603
SEMAFORO 2/200 PEATON - BICI,2,55136,342,,-3.6955424577965,40.39151459803
SEMAFORO 3/200 BICI,2,55106,342,1969-02-17T00:00:00Z,-3.69569077129527,40.3914420884069
SEMAFORO 3/100 BICI,2,55105,342,1969-02-17T00:00:00Z,-3.69563746359162,40.3913924184436
SEMAFORO 2/200 PEATON - BICI,2,31233,342,1969-02-17T00:00:00Z,-3.69565071588432,40.3914287346831
SEMAFORO 2/200 PEATON - BICI,2,43278,1423,1995-06-29T00:00:00Z,-3.71345375730802,40.4031434255735
SEMAFORO 2/200 PEATON - BICI,2,43279,1423,1995-06-29T00:00:00Z,-3.71335820446699,40.4031183792025
SEMAFORO 2/200 PEATON - BICI,2,43280,1423,1995-06-29T00:00:00Z,-3.71323501575524,40.4031649909925
SEMAFORO 2/200 PEATON - BICI,2,43281,1423,1995-06-29T00:00:00Z,-3.71313423915888,40.4031381165714
SEMAFORO 2/200 PEATON - BICI,2,39680,1140,1987-09-05T00:00:00Z,-3.70873010525625,40.3984935829042
SEMAFORO 2/200 PEATON - BICI,2,39681,1140,1987-09-05T00:00:00Z,-3.70875747823972,40.3984625323589
SEMAFORO 2/200 PEATON - BICI,2,39632,1141,1987-09-05T00:00:00Z,-3.70400123605402,40.3970482528505
SEMAFORO 2/200 PEATON - BICI,2,39628,1141,1987-09-05T00:00:00Z,-3.70439073398214,40.3970399257772
SEMAFORO 2/200 PEATON - BICI,2,39633,1141,1987-09-05T00:00:00Z,-3.70402558467437,40.396979864391
SEMAFORO 2/200 PEATON - BICI,2,39629,1141,1987-09-05T00:00:00Z,-3.70444748256314,40.3970921761275
SEMAFORO 2/200 PEATON - BICI,2,31189,1481,1997-07-02T00:00:00Z,-3.7000886884667,40.3948181035149
SEMAFORO 2/200 PEATON - BICI,2,31190,1481,1997-07-02T00:00:00Z,-3.70011806982513,40.3947211060938
SEMAFORO 2/200 BICI,2,43282,1433,2015-05-25T00:00:00Z,-3.70688543535772,40.4015739954156
SEMAFORO 2/200 BICI,2,43283,1433,2015-05-25T00:00:00Z,-3.7067547023735,40.4015318645749
SEMAFORO 3/200 BICI,2,56370,1839,2004-03-09T00:00:00Z,-3.7168446791249,40.4011745884274
SEMAFORO 3/200 BICI,2,56332,1839,2004-03-09T00:00:00Z,-3.71648132496706,40.4010742977819
SEMAFORO 3/100 BICI,2,56331,1839,2004-03-09T00:00:00Z,-3.71697790499461,40.4012235261647
SEMAFORO 3/100 BICI,2,56373,1839,2004-03-09T00:00:00Z,-3.71705089893904,40.40124519075
SEMAFORO 3/200 BICI,2,56521,1875,,-3.71891241596625,40.4041204316531
SEMAFORO 3/200 BICI,2,56532,1875,,-3.71865385794053,40.4041081866797
SEMAFORO 3/200 BICI,2,56519,1875,,-3.71898432860079,40.4040714946532
SEMAFORO 3/200 BICI,2,56527,1875,,-3.71857809007707,40.4041578790943
SEMAFORO 2/200 PEATON - BICI,2,51376,2208,2015-09-02T00:00:00Z,-3.71743931563505,40.413040580642
SEMAFORO 2/200 PEATON - BICI,2,51377,2208,2015-09-02T00:00:00Z,-3.71743027277899,40.4130620143147
SEMAFORO 2/200 PEATON - BICI,2,51388,2209,2015-02-17T00:00:00Z,-3.70562868898958,40.3972788678334
SEMAFORO 3/100 BICI,2,55003,2209,,-3.7068682128086,40.3974377437671
SEMAFORO 2/200 PEATON - BICI,2,39616,2209,2015-02-17T00:00:00Z,-3.70689617864488,40.3975435859536
SEMAFORO 3/200 BICI,2,55002,2209,,-3.70696550837144,40.3974700779942
SEMAFORO 2/200 PEATON - BICI,2,39617,2209,2015-02-17T00:00:00Z,-3.70690125550084,40.3974586729399
SEMAFORO 2/200 PEATON - BICI,2,55092,4554,1970-05-08T00:00:00Z,-3.69695649368725,40.3925642993916
SEMAFORO 2/200 PEATON - BICI,2,55091,4554,1970-05-08T00:00:00Z,-3.69697626867859,40.3924477773954
SEMAFORO 3/100 BICI,2,55053,4553,,-3.70198637271676,40.395971901165
SEMAFORO 3/200 BICI,2,55054,4553,,-3.70208523913698,40.3959981757763
SEMAFORO 2/200 PEATON - BICI,2,31177,4553,1997-07-02T00:00:00Z,-3.70193772020761,40.3960742495895
