"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"SEMAFORO 2/200 PEATON - BICI";1;1793;116;"1964-03-14 00:00:00";439871.969676229;4474174.0318594;-3.70872451251705;40.4160190138483
"SEMAFORO 1/200 BICI";1;52157;29;"1960-01-01 00:00:00";441124.930878485;4474498.52946523;-3.69398702871886;40.4190318278053
"SEMAFORO 3/200 BICI";1;53380;36;"1967-04-24 00:00:00";440966.266820733;4475521.0744842;-3.69595207567098;40.42823215896
"SEMAFORO 3/200 BICI";1;5264;176;"1966-06-07 00:00:00";439839.747234856;4475085.10151528;-3.70919047059826;40.4242240155854
"SEMAFORO 2/200 PEATON - BICI";1;55691;31;"";440756.075762772;4474409.29161543;-3.69832627299938;40.4182017522867
"SEMAFORO 3/200 BICI";1;54146;36;"1960-01-01 00:00:00";440968.504107912;4475514.17898424;-3.69592506171117;40.42817019983
"SEMAFORO 3/200 BICI";1;50280;116;"1964-03-14 00:00:00";439896.611948518;4474178.75255503;-3.70843452303096;40.416063320051
"SEMAFORO 3/200 BICI";1;50281;31;"1960-01-01 00:00:00";440761.481912764;4474399.39110534;-3.69826163144743;40.4181129485968
"SEMAFORO 1/200 BICI";1;50283;29;"1960-01-01 00:00:00";441112.483202067;4474500.73255033;-3.69413394887125;40.4190507934999
"SEMAFORO 3/200 BICI";1;50284;29;"1960-01-01 00:00:00";441121.136973149;4474503.35675758;-3.69403219296877;40.4190750459744
"SEMAFORO 2/200 PEATON - BICI";1;26485;39;"1960-01-01 00:00:00";439717.941288953;4474984.0808937;-3.71061668070241;40.4233051602828
"SEMAFORO 2/200 PEATON - BICI";1;55518;31;"1960-01-01 00:00:00";440751.202050711;4474419.25964774;-3.69838464543741;40.4182912021185
"SEMAFORO 3/200 BICI";1;50282;30;"1960-01-01 00:00:00";440880.594091628;4474439.84735411;-3.69686148055073;40.4184858684018
"SEMAFORO 2/200 PEATON - BICI";2;51387;2209;"2015-02-17 00:00:00";440123.49058435;4472086.49263033;-3.70556366276785;40.3972315855177
"SEMAFORO 3/200 BICI";2;56547;4602;"";439104.648911859;4472870.09758601;-3.71764340570418;40.4042167905091
"SEMAFORO 3/200 BICI";2;663;413;"1970-08-05 00:00:00";440680.651042636;4471700.72689373;-3.69896280893959;40.3937962822287
"SEMAFORO 3/200 BICI";2;56546;4602;"";439111.072545761;4472875.18684186;-3.71756819654376;40.4042631066829
"SEMAFORO 2/200 PEATON - BICI";2;56538;4602;"";439122.794816712;4472869.42490825;-3.71742951025157;40.4042120577022
"SEMAFORO 2/200 PEATON - BICI";2;56537;4602;"";439118.87761926;4472868.97108659;-3.71747562704523;40.4042076830401
"SEMAFORO 3/200 BICI";2;56532;1875;"";439018.808642223;4472858.73925581;-3.71865385794053;40.4041081866797
"SEMAFORO 3/200 BICI";2;56527;1875;"";439025.282800909;4472864.20281412;-3.71857809007707;40.4041578790943
"SEMAFORO 3/200 BICI";2;56521;1875;"";438996.879634589;4472860.2768542;-3.71891241596625;40.4041204316531
"SEMAFORO 3/200 BICI";2;56519;1875;"";438990.733270924;4472854.89450976;-3.71898432860079;40.4040714946532
"SEMAFORO 2/200 PEATON - BICI";2;56516;776;"";438868.597116339;4472835.13313441;-3.72042167766208;40.4038845165142
"SEMAFORO 3/100 BICI";2;56515;776;"";438867.519567398;4472838.44274902;-3.72043469328667;40.4039142519235
"SEMAFORO 2/200 PEATON - BICI";2;56396;775;"";439201.998440369;4472887.08834118;-3.71649786290369;40.40437696556
"SEMAFORO 2/200 PEATON - BICI";2;56395;775;"";439200.169147853;4472882.81102485;-3.71651901073022;40.4043382999205
"SEMAFORO 2/200 PEATON - BICI";2;56391;775;"";439203.459607997;4472884.85213293;-3.71648043087664;40.4043569274525
"SEMAFORO 3/200 BICI";2;55129;856;"1978-01-01 00:00:00";439402.122537993;4472446.53024005;-3.71409765581609;40.4004227992767
"SEMAFORO 3/100 BICI";2;56373;1839;"2004-09-03 00:00:00";439152.250547231;4472539.84384285;-3.71705089893904;40.40124519075
"SEMAFORO 3/200 BICI";2;56370;1839;"2004-09-03 00:00:00";439169.686614241;4472531.86509859;-3.7168446791249;40.4011745884274
"SEMAFORO 3/200 BICI";2;56332;1839;"2004-09-03 00:00:00";439200.430307767;4472520.48292049;-3.71648132496706;40.4010742977819
"SEMAFORO 3/100 BICI";2;56331;1839;"2004-09-03 00:00:00";439158.425239762;4472537.38884461;-3.71697790499461;40.4012235261647
"SEMAFORO 3/100 BICI";2;56320;776;"1978-01-01 00:00:00";438860.141380758;4472864.92916801;-3.72052418151176;40.4041523119557
"SEMAFORO 3/200 BICI";2;56319;776;"1978-01-01 00:00:00";438898.109336146;4472847.39412317;-3.72007508497131;40.4039971354617
"SEMAFORO 3/200 BICI";2;56318;776;"1978-01-01 00:00:00";438891.62482344;4472842.15540355;-3.72015099513812;40.403949466766
