OBJECTID,ID_EJE,ID_GRUPO,ID_TIPO,TX_CAPA,NU_DIRECCI,NU_DOBLE_S,TX_NOMBRE,TX_NOMBRE_,Shape_Leng
783,777,868,1,CICLOCALLES,1,0,Calle del Arroyo de la Media Legua,ARROYO DE LA MEDIA LAGUNA,"846,86577106700"
784,778,868,1,CICLOCALLES,1,0,Calle de Sierra Toledana,SIERRA TOLEDANA,"256,45695566000"
785,779,869,2,PEATONAL,0,0,Calle de la Fuente Carrantona,FUENTE CARRANTONA,"180,76899287600"
786,780,870,1,CICLOCALLES,-1,0,Calle de la Hacienda de Pavones,HACIENDA DE PAVONES,"157,70057663800"
787,781,872,1,CICLOCALLES,1,0,Calle de la Encomienda de Palacios,ENCOMIENDA DE PALACIOS,"135,84436402200"
819,812,905,1,CICLOCALLES,1,0,Calle del Doctor Lozano,DOCTOR LOZANO,"153,57309036400"
820,813,908,1,CICLOCALLES,1,0,Camino del Pozo del TÝo Raimundo,POZO DEL TIO RAIMUNDO,"344,28555693000"
821,814,909,1,CICLOCALLES,-1,0,Camino del Pozo del TÝo Raimundo,POZO DEL TIO RAIMUNDO,"354,75946446700"
822,815,910,1,CICLOCALLES,1,0,Camino de las Hormigueras,HORMIGUERAS,"1678,52109139000"
823,816,910,1,CICLOCALLES,1,0,Calle de Sierra Vieja,SIERRA VIEJA,"425,50933366400"
824,817,911,1,CICLOCALLES,-1,0,Camino de las Hormigueras,HORMIGUERAS,"1719,90651785000"
825,818,911,1,CICLOCALLES,-1,0,Calle de Sierra Vieja,SIERRA VIEJA,"784,49304845000"
829,822,925,1,CICLOCALLES,1,0,Calle de Cyesa,CYESA,"291,02765114300"
830,823,926,1,CICLOCALLES,1,0,Calle de JosÚ Luis de Arrese,LUIS DE ARRESE,"115,87945727300"
831,824,927,1,CICLOCALLES,-1,0,Calle del MarquÚs de Lozoya,MARQUES DE LOZOYA,"491,75385108800"
832,825,928,1,CICLOCALLES,1,0,Calle del Arroyo de la Media Legua,ARROYO DE LA MEDIA LAGUNA,"777,15899331300"
833,826,928,1,CICLOCALLES,1,0,Calle de Sierra Toledana,SIERRA TOLEDANA,"868,90569622100"
834,827,929,1,CICLOCALLES,0,1,Calle de la Virgen de Lluc,VIRGEN DE LLUC,"54,08568145150"
835,828,930,1,CICLOCALLES,1,0,Calle del MarquÚs de Lozoya,MARQUES DE LOZOYA,"439,40711724400"
836,829,931,1,CICLOCALLES,1,0,Calle del Alcalde L¾pez Casero,ALCALDE LOPEZ CASERO,"236,25549987400"
837,830,933,1,CICLOCALLES,1,0,Calle del Pez Austral,PEZ AUSTRAL,"409,61257005700"
838,831,934,1,CICLOCALLES,1,0,Calle de Arias Montano,ARIAS MONTANO,"79,84040170460"
840,833,937,2,PEATONAL,0,0,Calle de la Estrella Polar,ESTRELLA POLAR,"112,15248397300"
841,834,938,1,CICLOCALLES,-1,0,Calle de Juan Esplandiu,JUAN ESPLANDIU,"74,66410318510"
842,835,939,2,PEATONAL,0,0,Avenida de la Paz,PAZ,"221,59580705200"
843,836,940,1,CICLOCALLES,-1,0,Calle de Ricardo Ortiz,RICARDO ORTIZ,"962,60108453200"
844,837,941,1,CICLOCALLES,1,0,Calle de Ricardo Ortiz,RICARDO ORTIZ,"990,35791912500"
845,838,943,1,CICLOCALLES,-1,0,Calle de Antonio Toledano,ANTONIO TOLEDANO,"403,10426054800"
846,839,943,1,CICLOCALLES,-1,0,Calle de Iturbe,ITURBE,"132,20510255200"
847,840,944,1,CICLOCALLES,1,0,Calle de Bocßngel,BOCANGEL,"433,82356123900"
848,841,945,2,PEATONAL,0,0,Parque Fuente del Berro,FUENTE DEL BERRO,"225,93696888300"
849,842,946,1,CICLOCALLES,-1,0,Calle de Alejandro Gonzßlez,ALEJANDRO GONZALEZ,"158,64843723600"
850,843,946,1,CICLOCALLES,-1,0,Plaza de AmÚrica Espa±ola,AMERICA ESPAÐOLA,"40,87486433460"
851,844,947,1,CICLOCALLES,-1,0,Calle del MarquÚs de MondÚjar,MARQUES DE MONDEJAR,"501,48627375300"
852,845,948,1,CICLOCALLES,1,0,Calle de VaquerÝas,VAQUERIAS,"81,39325172300"
854,847,951,1,CICLOCALLES,-1,0,Calle de los Condes de Torreanaz,CONDES DE TORREANAZ,"151,09021140300"
856,849,953,1,CICLOCALLES,-1,0,Calle de Juan Esplandiu,JUAN ESPLANDIU,"158,04453773100"
857,850,954,1,CICLOCALLES,0,1,Calle de Saliente,SALIENTE,"60,85145009820"
858,851,957,1,CICLOCALLES,-1,0,Calle de Londres,LONDRES,"497,79598245100"
859,852,958,1,CICLOCALLES,1,0,Calle de Alcalß,ALCALA,"30,21370760960"
861,854,958,1,CICLOCALLES,1,0,Avenida de los Toreros,TOREROS,"246,46131641100"
1,1,0,1,CICLOCALLES,1,0,Calle de ?ngel Ganivet,ANGEL GANIVET,"69,78007252170"
2,2,1,1,CICLOCALLES,1,0,Avenida de San Luis,SAN LUIS,"1914,19444613000"
3,3,2,1,CICLOCALLES,1,0,Calle de Yerma,YERMA,"326,97984683500"
4,4,3,2,PEATONAL,0,0,Calle de Santa MarÝa Magdalena,SANTA MARIA MAGDALENA,"240,20261346400"
5,5,4,1,CICLOCALLES,1,0,Calle de Uruguay,URUGUAY,"495,39162267500"
6,6,5,1,CICLOCALLES,-1,0,Calle del Pintor Ribera,PINTOR RIBERA,"233,10102443400"
7,7,6,1,CICLOCALLES,1,0,Calle de Huelva,HUELVA,"106,34673637400"
8,8,7,1,CICLOCALLES,1,0,Calle de Jorge Juan,JORGE JUAN,"901,66880014300"
9,9,8,1,CICLOCALLES,-1,0,Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n,SANTA RAFAELA MARIA DEL SAGRADO CORAZON,"263,73259897100"
10,10,9,1,CICLOCALLES,1,0,Calle de Ferrer del RÝo,FERRER DEL RIO,"303,31273104600"
12,11,10,1,CICLOCALLES,-1,0,Calle de Cartagena,CARTAGENA,"1170,61442981000"
14,13,11,1,CICLOCALLES,1,0,Avenida de Bruselas,BRUSELAS,"110,42302109200"
15,14,12,1,CICLOCALLES,1,0,Calle de LombÝa,LOMBIA,"340,46002693200"
16,15,12,1,CICLOCALLES,1,0,Calle de Maiquez,MAIQUEZ,"787,22795364800"
17,16,12,1,CICLOCALLES,1,0,Calle de Montesa,MONTESA,"382,53841054300"
18,17,13,1,CICLOCALLES,1,0,Calle del Alcalde Sßinz de Baranda,ALCALDE SAINZ DE BARANDA,"1232,60004289000"
19,18,14,1,CICLOCALLES,1,0,Calle del Alcalde Sßinz de Baranda,ALCALDE SAINZ DE BARANDA,"1250,63265237000"
20,19,15,1,CICLOCALLES,1,0,Calle de Luis Mitjans,LUIS MITJANS,"241,12036767200"
21,20,16,1,CICLOCALLES,-1,0,Calle de Valderribas,VALDERRIBAS,"780,20067596800"
22,21,17,1,CICLOCALLES,0,1,Calle de Fromista,FROMISTA,"727,58344121000"
23,22,18,1,CICLOCALLES,0,1,Calle de la Retama,RETAMA,"383,82056234500"
24,23,19,1,CICLOCALLES,1,0,Calle de Don Ram¾n de la Cruz,DON RAMON DE LA CRUZ,"1706,86406040000"
25,24,19,1,CICLOCALLES,1,0,Calle de Nicasio Gallego,NICASIO GALLEGO,"266,43265015100"
26,25,19,1,CICLOCALLES,1,0,Calle de Zurbarßn,ZURBARAN,"599,23715363100"
27,26,20,1,CICLOCALLES,-1,0,Calle de Padilla,PADILLA,"1241,34351096000"
28,27,21,1,CICLOCALLES,1,0,Calle de Luis Cabrera,LUIS CABRERA,"598,93662984600"
30,29,22,1,CICLOCALLES,-1,0,Avenida de Aster,ASTER,"289,37459453700"
31,30,22,1,CICLOCALLES,-1,0,Paseo de los Cerezos,CEREZOS,"353,01582375500"
32,31,22,1,CICLOCALLES,-1,0,Calle del Padre Claret,PADRE CLARET,"197,07646641800"
33,32,23,1,CICLOCALLES,1,0,Calle de la Drßcena,DRACENA,"320,12615748700"
