distrito,id,descripcion,fecha_inst,longitud,latitud
15,1390,ASCAO - GUTIERRE CETINA,1994-06-06T00:00:00Z,-3.64127550553324,40.429968506678
10,757,VIA CARPETANA - PSO. ERMITA SANTO,1977-10-18T00:00:00Z,-3.73331563587428,40.3995832447659
11,1914,PSO. QUINCE MAYO - SANTA SATURNINA,2005-11-24T00:00:00Z,-3.71871055374923,40.3979558844614
13,699,MARTINEZ DE LA RIVA - CARLOS MARTIN ALVAREZ,1976-07-16T00:00:00Z,-3.66448010791078,40.3880161886525
14,1109,ARROYO FONTARRON - PIO FELIPE,1985-11-11T00:00:00Z,-3.6464199405634,40.3989658306484
15,312,ARTURO SORIA - JOSE DEL HIERRO,1968-11-07T00:00:00Z,-3.64073207985224,40.4415982378405
15,750,JOSE DEL HIERRO 39 - P.P.,1977-03-10T00:00:00Z,-3.64386294803687,40.440272420606
15,592,LOPEZ DE HOYOS - PEDRO SALINAS,1973-10-08T00:00:00Z,-3.66079980007287,40.4571259357905
15,1452,JOSE SILVA - AGASTIA,1996-03-21T00:00:00Z,-3.6586651793598,40.4547123762945
15,1719,GENERAL  ARANAZ - JOSEFA VALCARCEL,2002-01-07T00:00:00Z,-3.6475171821683,40.4485827885344
15,1348,ARTURO SORIA - M-11,1992-11-19T00:00:00Z,-3.66406001498627,40.4832708710616
20,477,ALCALA - AV. CANILLEJAS A VICALVARO,1971-11-26T00:00:00Z,-3.61690890497943,40.4437047627772
20,384,ALCALA - GUTIERREZ CANALES,1969-10-17T00:00:00Z,-3.61249894379202,40.4464915942792
20,1165,AV. 25 SEPTIEMBRE - PLAZA ENSIDESA,1988-10-14T00:00:00Z,-3.62461373139802,40.4436048527981
20,1494,GTA. RICARDO VELAZQUEZ BOSCO,1997-07-29T00:00:00Z,-3.62604415801838,40.447625587945
8,4543,MONASTERIO SUSO Y YUSO - MONASTERIO BATUECAS,2018-08-11T00:00:00Z,-3.70482581917203,40.502349911682
8,4557,MONASTERIO DE EL ESCORIAL - MONASTERIO PAULAR,2019-05-23T00:00:00Z,-3.70058343518882,40.5041655024832
8,4561,MONASTERIO DE EL ESCORIAL - MONASTERIO SAMOS,2019-05-31T00:00:00Z,-3.6962665378508,40.5062564344881
8,4562,MONASTERIO DE SILOS - MONASTERIO BATUECAS,2019-06-06T00:00:00Z,-3.70473254743894,40.5034238164543
8,4563,MONASTERIO HUELGAS - MONASTERIO PAULAR,2019-06-28T00:00:00Z,-3.70708553391298,40.5012775944122
11,1815,AV. DE LA PESETA - LA CORONA,2004-07-29T00:00:00Z,-3.75162512119819,40.3620903138514
11,1788,AV. DE LA PESETA - PINAR SAN JOSE,2004-05-17T00:00:00Z,-3.76267290398255,40.3639974311672
10,1588,AV. AVIACION - ALDEANUEVA VERA,1999-08-06T00:00:00Z,-3.77675798839249,40.374846718921
10,1424,GUAREÑA - LUIS CHAMIZO - ONIL,1995-05-07T00:00:00Z,-3.76549271309173,40.3868527762776
5,778,SERRANO - PEDRO VALDIVIA,1978-01-01T00:00:00Z,-3.68614109321082,40.4392681624965
4,138,GOYA - LAGASCA,1965-06-21T00:00:00Z,-3.68540489374703,40.4252679899544
4,1226,DIEGO LEON - LAGASCA,1990-09-24T00:00:00Z,-3.68441237552543,40.4350017245787
5,403,FRANCISCO SILVELA - PPE. VERGARA,1970-06-19T00:00:00Z,-3.67899960994202,40.4389353621829
19,1716,BULEVAR JOSE PRAT - CORDEL PAVONES,2002-06-13T00:00:00Z,-3.61989331435299,40.3969556857054
14,1858,HACIENDA  PAVONES - VALDEBERNARDO,2004-11-17T00:00:00Z,-3.63226419425204,40.3998527772487
13,700,AV. SAN DIEGO - PUERTO DE ARLABAN,1976-07-19T00:00:00Z,-3.6675723086706,40.3862728008823
13,404,AV. SAN DIEGO - CARLOS MARTIN ALVAREZ,1970-06-22T00:00:00Z,-3.66671234917915,40.3855719679498
20,661,ARCOS JALON - SAN ROMAN VALLE,1975-05-22T00:00:00Z,-3.62167188738559,40.4208173414735
16,2119,INGENIERO EMILIO HERRERA - PRINCESA DE EBOLI - P.P.,2011-04-01T00:00:00Z,-3.65436416389475,40.4903224074174
16,2176,INGENIERO EMILIO HERRERA - PINTOR LUCIO MUÑOZ,2014-05-22T00:00:00Z,-3.66119298930214,40.4848931237902
4,239,VELAZQUEZ - JUAN BRAVO,1967-02-08T00:00:00Z,-3.68348559877165,40.4328243079335
4,1471,JOSE ORTEGA GASSET - CLAUDIO COELLO,1996-10-24T00:00:00Z,-3.6858098642074,40.4304148442132
4,1225,DIEGO LEON - GRAL. DIAZ PORLIER,1990-09-24T00:00:00Z,-3.676440960307,40.4345990736962
16,1864,A-1 VIA DE SERVICIO - FCO. PI  Y MARGALL,2004-12-20T00:00:00Z,-3.66687873134024,40.4946073921875
16,2118,FCO. PI  Y MARGALL - PRINCESA DE EBOLI - P.P.,2011-04-01T00:00:00Z,-3.65358637808397,40.4877608520308
20,1762,AV. GUADALAJARA - ALBERICIA - TOSCANA,2003-07-24T00:00:00Z,-3.61277170933597,40.4222367953458
14,1105,ARROYO FONTARRON - TACONA,1985-07-17T00:00:00Z,-3.64103782189008,40.3962101566974
14,1742,FUENTE CARRANTONA - JOSE BERGAMIN,2003-01-30T00:00:00Z,-3.62968507781492,40.410543972172
14,1142,FUENTE CARRANTONA - DR. GARCIA TAPIA,1987-12-05T00:00:00Z,-3.63128275189377,40.4076177631875
