"distrito";"id";"descripcion";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
15;1390;"ASCAO - GUTIERRE CETINA";"06/06/1994";445605.606848644;4475678.70858654;-3.64127550553324;40.429968506678
10;757;"VIA CARPETANA - PSO. ERMITA SANTO";"18/10/1977";437770.50953868;4472366.69181507;-3.73331563587428;40.3995832447659
11;1914;"PSO. QUINCE MAYO - SANTA SATURNINA";"24/11/2005";439008.445341252;4472175.87684065;-3.71871055374923;40.3979558844614
13;699;"MARTINEZ DE LA RIVA - CARLOS MARTIN ALVAREZ";"16/07/1976";443602.317802829;4471036.57671728;-3.66448010791078;40.3880161886525
14;1109;"ARROYO FONTARRON - PIO FELIPE";"11/11/1985";445144.069823237;4472240.61241589;-3.6464199405634;40.3989658306484
15;312;"ARTURO SORIA - JOSE DEL HIERRO";"11/07/1968";445661.065198856;4476969.27101617;-3.64073207985224;40.4415982378405
15;750;"JOSE DEL HIERRO 39 - P.P.";"03/10/1977";445394.469274349;4476824.03643298;-3.64386294803687;40.440272420606
15;592;"LOPEZ DE HOYOS - PEDRO SALINAS";"10/08/1973";443972.055626544;4478705.38578018;-3.66079980007287;40.4571259357905
15;1452;"JOSE SILVA - AGASTIA";"21/03/1996";444151.048829045;4478436.1279373;-3.6586651793598;40.4547123762945
15;1719;"GENERAL  ARANAZ - JOSEFA VALCARCEL";"01/07/2002";445091.317343975;4477748.75205689;-3.6475171821683;40.4485827885344
15;1348;"ARTURO SORIA - M-11";"19/11/1992";443717.458440341;4481609.5593715;-3.66406001498627;40.4832708710616
20;477;"ALCALA - AV. CANILLEJAS A VICALVARO";"26/11/1971";447683.096906815;4477188.71064307;-3.61690890497943;40.4437047627772
20;384;"ALCALA - GUTIERREZ CANALES";"17/10/1969";448059.230861638;4477495.44544785;-3.61249894379202;40.4464915942792
20;1165;"AV. 25 SEPTIEMBRE - PLAZA ENSIDESA";"14/10/1988";447029.607247842;4477182.21316322;-3.62461373139802;40.4436048527981
20;1494;"GTA. RICARDO VELAZQUEZ BOSCO";"29/07/1997";446911.462739443;4477629.37306792;-3.62604415801838;40.447625587945
8;4543;"MONASTERIO SUSO Y YUSO - MONASTERIO BATUECAS";"08/11/2018";440279.235329474;4483754.15029246;-3.70482581917203;40.502349911682
8;4557;"MONASTERIO DE EL ESCORIAL - MONASTERIO PAULAR";"23/05/2019";440640.301210835;4483952.81959942;-3.70058343518882;40.5041655024832
8;4561;"MONASTERIO DE EL ESCORIAL - MONASTERIO SAMOS";"31/05/2019";441007.902282798;4484182.01958296;-3.6962665378508;40.5062564344881
8;4562;"MONASTERIO DE SILOS - MONASTERIO BATUECAS";"06/06/2019";440288.090751845;4483873.29189669;-3.70473254743894;40.5034238164543
8;4563;"MONASTERIO HUELGAS - MONASTERIO PAULAR";"28/06/2019";440086.811285515;4483636.65407044;-3.70708553391298;40.5012775944122
11;1815;"AV. DE LA PESETA - LA CORONA";"29/07/2004";436181.372408111;4468218.06053497;-3.75162512119819;40.3620903138514
11;1788;"AV. DE LA PESETA - PINAR SAN JOSE";"17/05/2004";435245.148545982;4468437.77664802;-3.76267290398255;40.3639974311672
10;1588;"AV. AVIACION - ALDEANUEVA VERA";"08/06/1999";434059.815898003;4469652.44218271;-3.77675798839249;40.374846718921
10;1424;"GUAREÑA - LUIS CHAMIZO - ONIL";"05/07/1995";435027.687682467;4470976.76625101;-3.76549271309173;40.3868527762776
5;778;"SERRANO - PEDRO VALDIVIA";"01/01/1978";441807.999045867;4476739.55962093;-3.68614109321082;40.4392681624965
4;138;"GOYA - LAGASCA";"21/06/1965";441858.379882007;4475185.05832982;-3.68540489374703;40.4252679899544
4;1226;"DIEGO LEON - LAGASCA";"24/09/1990";441950.944302993;4476264.8479475;-3.68441237552543;40.4350017245787
5;403;"FRANCISCO SILVELA - PPE. VERGARA";"19/06/1970";442413.392752146;4476697.93831714;-3.67899960994202;40.4389353621829
19;1716;"BULEVAR JOSE PRAT - CORDEL PAVONES";"13/06/2002";447393.599422873;4472001.36547416;-3.61989331435299;40.3969556857054
14;1858;"HACIENDA  PAVONES - VALDEBERNARDO";"17/11/2004";446346.054666588;4472330.37460592;-3.63226419425204;40.3998527772487
13;700;"AV. SAN DIEGO - PUERTO DE ARLABAN";"19/07/1976";443338.404653535;4470845.03952196;-3.6675723086706;40.3862728008823
13;404;"AV. SAN DIEGO - CARLOS MARTIN ALVAREZ";"22/06/1970";443410.809507928;4470766.69715655;-3.66671234917915;40.3855719679498
20;661;"ARCOS JALON - SAN ROMAN VALLE";"22/05/1975";447261.292185206;4474651.04864199;-3.62167188738559;40.4208173414735
16;2119;"INGENIERO EMILIO HERRERA - PRINCESA DE EBOLI - P.P.";"04/01/2011";444545.042340092;4482386.14644397;-3.65436416389475;40.4903224074174
16;2176;"INGENIERO EMILIO HERRERA - PINTOR LUCIO MUÑOZ";"22/05/2014";443961.804694056;4481787.80599509;-3.66119298930214;40.4848931237902
4;239;"VELAZQUEZ - JUAN BRAVO";"02/08/1967";442027.680283359;4476022.54643842;-3.68348559877165;40.4328243079335
4;1471;"JOSE ORTEGA GASSET - CLAUDIO COELLO";"24/10/1996";441828.461476165;4475756.62433772;-3.6858098642074;40.4304148442132
4;1225;"DIEGO LEON - GRAL. DIAZ PORLIER";"24/09/1990";442626.709940666;4476214.94587488;-3.676440960307;40.4345990736962
16;1864;"A-1 VIA DE SERVICIO - FCO. PI  Y MARGALL";"20/12/2004";443488.066192138;4482869.7240571;-3.66687873134024;40.4946073921875
16;2118;"FCO. PI  Y MARGALL - PRINCESA DE EBOLI - P.P.";"04/01/2011";444608.85119685;4482101.32326854;-3.65358637808397;40.4877608520308
20;1762;"AV. GUADALAJARA - ALBERICIA - TOSCANA";"24/07/2003";448017.424284779;4474803.33303107;-3.61277170933597;40.4222367953458
14;1105;"ARROYO FONTARRON - TACONA";"17/07/1985";445598.587636306;4471931.40947736;-3.64103782189008;40.3962101566974
14;1742;"FUENTE CARRANTONA - JOSE BERGAMIN";"30/01/2003";446573.374010307;4473515.52539307;-3.62968507781492;40.410543972172
14;1142;"FUENTE CARRANTONA - DR. GARCIA TAPIA";"12/05/1987";446435.495981971;4473191.6856416;-3.63128275189377;40.4076177631875
13;1743;"AV. PABLO NERUDA - MALGRAT DE MAR";"04/02/2003";445589.325387078;4471556.63843176;-3.64111493467102;40.3928333810364
8;1273;"JUAN SANCHEZ - CESAR MANRIQUE";"18/07/1991";438893.627588103;4480656.58677133;-3.72087893821405;40.4743451633751
9;1186;"GTA. RIO ZANCARA";"31/01/1990";433923.931481449;4478269.35286655;-3.77925350209689;40.4524598716398
10;1364;"VALMOJADO, 259";"28/04/1993";435560.864160927;4471047.53102691;-3.75921860190121;40.3875316650991
11;965;"AV. POBLADOS - PQUE. EUGENIA MONTIJO";"19/06/1992";435879.697181359;4469983.22136366;-3.75535533400567;40.3779685168231
19;1000;"AV. DAROCA - CNO. VIEJO VICALVARO";"12/04/1981";448233.349372877;4472797.02944268;-3.61006326591931;40.4041761787527
2;1434;"JUAN ANTONIO VALLEJO-NAJERA BOTAS - PSO. ESPERANZA";"15/09/1995";440197.193535907;4472541.22283595;-3.70473795032341;40.4013333168803
1;1497;"PL. CANALEJAS";"22/08/1997";440573.013759393;4474235.07552026;-3.7004676513513;40.4166192781597
9;100;"PRINCESA - SAN LEONARDO - PL. DE LOS CUBOS";"27/02/1962";439599.925535179;4475146.60937355;-3.71202321028109;40.424760730144
10;2022;"AV. PORTUGAL - ACCESO CASA CAMPO";"07/09/2007";437080.137469165;4473487.87793247;-3.74156121123035;40.4096314773299
17;1867;"AV. REAL PINTO - SAN NORBERTO - P.P.";"01/01/2005";439903.217098605;4465747.18133603;-3.70756161073599;40.3401077903104
17;1764;"GRAN VIA VILLAVERDE - SAN JENARO - P.P.";"07/08/2003";440056.161687302;4465854.5155413;-3.70577109282872;40.3410857205231
10;242;"PSO. EXTREMADURA - GTA. PTE. SEGOVIA";"08/08/1967";438527.974197431;4473965.05557764;-3.72454470280129;40.4140382790483
10;491;"PSO. EXTREMADURA - SISEBUTO - P.P.";"12/02/1972";437770.077898647;4473725.80246715;-3.733453613031;40.4118266654757
11;2215;"AV. EURO - MARAVEDI";"24/06/2015";436449.304070331;4468481.74127289;-3.74849608005011;40.3644861363099
11;2216;"PATRIMONIO HUMANIDAD - SALVADOR ALLENDE";"15/06/2015";435643.344901878;4468098.04538246;-3.75794911822784;40.3609678109399
4;265;"FRANCISCO SILVELA - MALDONADO";"01/01/1968";442886.195279293;4476086.48339205;-3.67337023983732;40.4334596788558
10;731;"HIGUERAS - CEBREROS";"16/06/1977";436760.971597234;4472969.11309821;-3.74527098651706;40.4049340490935
10;942;"AV. POBLADOS - PADRE PIQUER";"09/01/1980";434868.04285936;4471368.15791061;-3.76741348117723;40.3903661178394
10;1160;"PSO. ERMITA SANTO - AV. SEPULVEDA";"23/06/1988";438584.979950302;4473361.38468013;-3.72381458182226;40.4086043542313
11;1008;"PSO. ERMITA SANTO - IVAN VARGAS";"19/05/1981";438507.369250199;4472680.79184935;-3.72466344528895;40.4024675400626
