idGen,Product,WasteType
2,Meal carton,General
3,Other carton,General
9,Drink can,General
10,Drink can,General
11,Food Can,General
12,Food Can,General
15,Pop tab,General
16,Pop tab,General
17,Aerosol,General
21,Food Can,General
22,Glass cup,General
23,Pop tab,General
26,Styrofoam piece,General
27,Styrofoam piece,General
28,Drink can,General
30,Other carton,General
35,Drink carton,General
36,Drink carton,General
50,Aerosol,General
51,Normal paper,General
52,Paper cup,General
53,Drink can,General
54,Drink can,General
55,Pop tab,General
56,Food Can,General
57,Food Can,General
58,Pop tab,General
59,Pop tab,General
60,Food Can,General
61,Pop tab,General
62,Drink can,General
63,Pop tab,General
64,Aerosol,General
68,Aerosol,General
74,Drink can,General
75,Drink can,General
76,Drink can,General
77,Drink can,General
78,Pop tab,General
80,Drink can,General
81,Drink can,General
83,Drink can,General
283,Cigarette,General
85,Drink can,General
86,Drink can,General
87,Food Can,General
88,Food Can,General
89,Pop tab,General
90,Pop tab,General
91,Drink can,General
93,Aerosol,General
94,Normal paper,General
95,Tissues,General
96,Toilet tube,General
103,Drink can,General
104,Pop tab,General
105,Normal paper,General
106,Drink can,General
109,Glass cup,General
110,Food Can,General
111,Food Can,General
112,Food Can,General
113,Pop tab,General
114,Pop tab,General
115,Food Can,General
116,Food Can,General
117,Food Can,General
118,Food Can,General
119,Food Can,General
120,Food Can,General
121,Food Can,General
122,Food Can,General
123,Food Can,General
124,Pop tab,General
125,Pop tab,General
126,Pop tab,General
127,Plastic lid,General
128,Metal lid,General
129,Egg carton,General
130,Egg carton,General
131,Egg carton,General
132,Egg carton,General
133,Plastic straw,General
284,Cigarette,General
285,Cigarette,General
134,Drink can,General
135,Drink can,General
136,Other carton,General
138,Normal paper,General
286,Cigarette,General
139,Drink can,General
140,Paper cup,General
287,Cigarette,General
141,Plastic straw,General
288,Cigarette,General
289,Cigarette,General
290,Cigarette,General
291,Cigarette,General
292,Cigarette,General
293,Cigarette,General
142,Paper bag,General
143,Paper bag,General
294,Cigarette,General
147,Paper cup,General
148,Plastic lid,General
149,Disposable plastic cup,General
150,Plastic lid,General
151,Drink can,General
152,Drink can,General
153,Plastic straw,General
154,Broken glass,General
155,Broken glass,General
295,Cigarette,General
296,Cigarette,General
297,Cigarette,General
298,Cigarette,General
299,Cigarette,General
300,Cigarette,General
301,Cigarette,General
302,Cigarette,General
157,Paper bag,General
303,Cigarette,General
158,Food Can,General
159,Glass jar,General
160,Metal lid,General
161,Tissues,General
162,Food Can,General
163,Food waste,General
164,Squeezable tube,General
166,Other carton,General
171,Food waste,General
173,Shoe,General
174,Shoe,General
176,Drink can,General
177,Drink can,General
179,Pop tab,General
185,Aluminium foil,General
186,Aluminium foil,General
187,Normal paper,General
193,Pop tab,General
195,Plastic lid,General
196,Foam cup,General
197,Foam cup,General
198,Paper straw,General
199,Glass cup,General
200,Corrugated carton,General
201,Corrugated carton,General
202,Corrugated carton,General
203,Food waste,General
204,Food waste,General
205,Unlabeled litter,General
206,Aluminium blister pack,General
207,Battery,General
208,Aerosol,General
211,Squeezable tube,General
212,Squeezable tube,General
214,Toilet tube,General
215,Toilet tube,General
216,Toilet tube,General
220,Drink can,General
224,Pop tab,General
225,Rope & strings,General
304,Cigarette,General
227,Drink can,General
228,Drink can,General
229,Drink can,General
231,Meal carton,General
234,Drink can,General
236,Normal paper,General
237,Unlabeled litter,General
238,Unlabeled litter,General
305,Cigarette,General
306,Cigarette,General
307,Cigarette,General
308,Cigarette,General
239,Paper cup,General
240,Plastic lid,General
241,Unlabeled litter,General
242,Normal paper,General
244,Food waste,General
309,Cigarette,General
249,Drink can,General
250,Styrofoam piece,General
251,Aluminium foil,General
252,Aluminium foil,General
253,Food Can,General
254,Food Can,General
258,Other carton,General
259,Other carton,General
262,Tissues,General
263,Other carton,General
264,Drink carton,General
265,Other carton,General
266,Drink can,General
267,Food Can,General
268,Food Can,General
269,Toilet tube,General
270,Pop tab,General
274,Aluminium foil,General
275,Aluminium foil,General
276,Corrugated carton,General
277,Food Can,General
278,Drink carton,General
279,Other carton,General
280,Egg carton,General
281,Other carton,General
282,Other carton,General
312,Unlabeled litter,General
313,Unlabeled litter,General
314,Unlabeled litter,General
315,Squeezable tube,General
316,Unlabeled litter,General
318,Unlabeled litter,General
319,Unlabeled litter,General
320,Unlabeled litter,General
321,Unlabeled litter,General
322,Unlabeled litter,General
323,Unlabeled litter,General
327,Unlabeled litter,General
335,Disposable plastic cup,General
336,Unlabeled litter,General
340,Unlabeled litter,General
341,Unlabeled litter,General
342,Unlabeled litter,General
345,Unlabeled litter,General
346,Unlabeled litter,General
348,Unlabeled litter,General
349,Unlabeled litter,General
350,Unlabeled litter,General
351,Unlabeled litter,General
353,Unlabeled litter,General
362,Unlabeled litter,General
366,Unlabeled litter,General
368,Unlabeled litter,General
373,Unlabeled litter,General
374,Unlabeled litter,General
380,Glass cup,General
381,Glass cup,General
383,Glass cup,General
386,Tissues,General
388,Tissues,General
389,Tissues,General
394,Tissues,General
395,Tissues,General
396,Drink can,General
397,Drink can,General
400,Unlabeled litter,General
402,Unlabeled litter,General
403,Aluminium foil,General
404,Normal paper,General
406,Cigarette,General
407,Cigarette,General
408,Cigarette,General
409,Cigarette,General
410,Cigarette,General
411,Cigarette,General
412,Cigarette,General
413,Cigarette,General
414,Cigarette,General
415,Cigarette,General
417,Cigarette,General
418,Cigarette,General
419,Cigarette,General
420,Cigarette,General
421,Cigarette,General
422,Cigarette,General
424,Cigarette,General
425,Cigarette,General
428,Shoe,General
429,Drink can,General
430,Egg carton,General
431,Egg carton,General
433,Drink carton,General
434,Plastic straw,General
435,Cigarette,General
439,Scrap metal,General
440,Scrap metal,General
441,Scrap metal,General
442,Corrugated carton,General
443,Corrugated carton,General
444,Cigarette,General
446,Plastic straw,General
447,Unlabeled litter,General
448,Unlabeled litter,General
449,Normal paper,General
450,Drink can,General
451,Cigarette,General
452,Cigarette,General
453,Cigarette,General
454,Cigarette,General
455,Cigarette,General
456,Cigarette,General
457,Cigarette,General
458,Cigarette,General
459,Cigarette,General
460,Cigarette,General
461,Cigarette,General
462,Cigarette,General
463,Cigarette,General
