id,Bin,Place,lon,lat,levelOfFullnes,alarm,date
1517391,General,Pza. Mercurio FTE. Junta Municpal De Barajas,-3.57796317595808,40.4745326748698,0,,2021-10-06T17:35:58Z
1521210,General,Manuel Machado CV Alcalde Luis Marichalar,-3.65939877040543,40.4113557824348,4,,2021-10-06T17:29:08Z
1522416,General,Peña Gorbea N°2,-3.66887580360043,40.398386107057,4,,2021-10-06T17:09:56Z
1522846,General,Alcalá CV Av. Institución Libre Enseñanza,-3.63824331938553,40.4377268200259,2,,2021-10-06T17:10:12Z
1522882,General,Av. Marqués De Corbera N°54-56 (Metro La Elipa),-3.65095779563912,40.4262552029435,0,,2021-10-06T16:56:30Z
1522886,General,José Del Hierro N°55,-3.64289276294361,40.4408021765445,0,,2021-10-06T16:31:41Z
1522889,Plastic,San Cipriano (Cercanías Vicalvaro/Metro Puerta De Arganda),-3.595912,40.401426,0,,2021-10-06T17:04:57Z
1522968,General,P° Alberto Palacios N°1,-3.709155138,40.34642989,0,,2021-10-06T08:53:32Z
1522981,General,Villablanca (Centro  De Salud),-3.5994917302179,40.4055559899069,2,,2021-10-06T18:01:42Z
1522982,General,Av. Marqués De Corbera N°1-3,-3.65618501745653,40.4228480228234,2,,2021-10-06T17:48:41Z
1522986,General,San Cipriano CV Jardin De La Duquesa,-3.60452159246016,40.4040364387842,0,,2021-10-06T16:40:53Z
1522987,General,Virgen De La Alegría N°8-10,-3.6570629208609,40.4335349903157,6,,2021-10-06T17:49:53Z
1522988,General,C° De Vinateros (Centro De Salud Torito),-3.64634004005014,40.4062243409903,0,,2021-10-06T16:57:52Z
1522989,General,Pza. Cristina Arce Y Rocío Oña,-3.58722514990713,40.4551650822182,4,,2021-10-06T16:35:22Z
1522991,General,Villardondiego Biblioteca Municipal,-3.6083452242415,40.4055204736461,0,,2021-10-06T17:22:57Z
1522992,Plastic,Av. Marqués De Corbera N°54-56 (Metro La Elipa),-3.6509436229678,40.4262409799852,0,,2021-10-06T17:05:14Z
1522993,General,José Del Hierro N°52,-3.6439097684844,40.4401445899459,0,,2021-10-06T17:37:27Z
1522994,General,Paseo Artilleros CV San Cipriano (Metro Vicalvaro),-3.60885348780109,40.4044832901686,4,,2021-10-06T17:39:52Z
1522996,Plastic,José Del Hierro N°39,-3.64429644965743,40.4402083463916,8,ERROR,2021-10-06T18:01:56Z
1523000,General,Av. Moratalaz N°134,-3.64693327049714,40.4067942923838,0,,2021-10-06T17:40:17Z
1522998,Plastic,P° Polideportivo (Centro Deportivo),-3.60316528125706,40.408918104979,0,,2021-10-06T17:14:56Z
1522997,General,Ascao N°4-6 (Biblioteca Pablo Neruda),-3.64170270732891,40.4296202135061,4,,2021-10-06T17:34:33Z
1523003,General,Glorieta Alsacia (Metro Alsacia),-3.62310549800046,40.4176401119883,2,,2021-10-06T17:46:21Z
1523004,Plastic,Ascao N°4-6 (Biblioteca Pablo Neruda),-3.64171514922409,40.4296165687567,0,,2021-10-06T15:09:04Z
1523007,Plastic,Bahía De Gando SN (Centro Comercial),-3.59281879862065,40.4651602440617,0,,2021-10-06T17:39:15Z
1523006,General,San Cipriano N°44 (Metro San Cipriano),-3.60407947000977,40.4039338683295,2,,2021-10-06T17:44:49Z
1523010,Plastic,Virgen De La Alegría N°8-10,-3.6570799489743,40.4335217835916,0,,2021-10-06T16:19:32Z
1523009,General,Vía Dublín (Edificio Correos),-3.61389560875373,40.4626301208749,6,,2021-10-06T17:33:17Z
1523008,General,José Del Hierro N°39,-3.64431039634441,40.4401987344104,2,,2021-10-06T17:01:37Z
1523112,General,Gran Vía 78,-3.71038317254747,40.423193223939,0,,2021-10-06T17:28:31Z
1523113,Plastic,Alcala Farola 151 (Metro Banco De España),-3.69581469960621,40.419087659414,0,,2021-10-06T17:54:27Z
1523114,Plastic,Gran Via 28,-3.70171086319735,40.4201063289955,4,,2021-10-06T16:57:04Z
1523115,Plastic,Gran Vía 31,-3.70388373243074,40.4200919286318,4,,2021-10-06T17:45:49Z
1523116,General,Plaza De Armeria Entre Palacio Y Catedral Junto Fla.16,-3.71377851629016,40.4162015462277,6,,2021-10-06T17:03:18Z
1523117,General,Reina Cristina,-3.68519830697748,40.4063349738407,2,,2021-10-06T16:45:08Z
1523118,Plastic,Pz Colón Fla.58,-3.68846425727559,40.4243310693949,4,,2021-10-06T16:45:45Z
1523120,General,C/Ceraceros 1,-3.70043573209159,40.416790472918,0,,2021-10-06T17:17:32Z
1523119,Plastic,Doctor Esquerdo (Salida Metro Conde De Casal),-3.67062426151177,40.4069290766972,0,,2021-10-06T16:34:56Z
1523121,General,Josep Pla CV Lopez De Hoyos,-3.67772826379154,40.4418771591363,4,,2021-10-06T17:19:00Z
1523122,General,Juan Bravo FTE.N° 32,-3.67933286125631,40.432634050993,2,,2021-10-06T17:11:14Z
1523123,Plastic,Sevilla 2 CV Plaza de Canalejas,-3.70027083136325,40.4167527374316,2,,2021-10-06T18:03:59Z
1523125,General,Gta. Valle Del Oro FTE. N°4,-3.73082730012135,40.388240538785,4,,2021-10-06T16:33:39Z
1523127,General,Av. Mendez Pelayo,-3.68100826744035,40.4044209341619,4,,2021-10-06T17:12:52Z
1523128,General,Alcalá 75,-3.68723272053043,40.4204691432253,0,,2021-10-06T17:09:25Z
1523129,Plastic,Peña Gorbea Esq. Monte Igueldo,-3.66808683245111,40.396002854883,0,,2021-10-06T17:23:56Z
1523130,General,Pz Independencia 5,-3.6882311974075,40.4204375793623,2,,2021-10-06T17:02:45Z
1523135,General,Gabriel Lobo 12,-3.68078451750728,40.4427679632278,0,,2021-10-06T18:02:08Z
1523138,General,Preciados Fnac FTE. Nº21,-3.70542857791385,40.4192214210498,0,,2021-10-06T16:23:03Z
1523140,Plastic,Av. Mendez Pelayo Entrada Retiro Frente A Ibiza,-3.6790075878557,40.4182168482129,2,,2021-10-06T17:23:49Z
1523139,Plastic,Puerta De Alcala (Tramo Entrada Del Retiro),-3.68806797544639,40.4196872814412,6,,2021-10-06T17:41:46Z
1523141,General,Príncipe De Vergara 154,-3.67767897256979,40.448583985036,0,,2021-10-06T17:59:56Z
1523142,General,Gran Vía 29 CV Chinchilla,-3.70334217212386,40.420048743269,0,,2021-10-06T16:43:56Z
1523144,Plastic,Gran Via 61,-3.70949321138065,40.4224240050095,6,,2021-10-06T17:46:10Z
1523143,General,Paseo Del Prado CV Felipe IV,-3.69313320685207,40.4150603556815,6,,2021-10-06T17:02:32Z
1523147,Plastic,Peña Gorbea Esq. Puerto Alto,-3.666155781875,40.3954061637155,6,,2021-10-06T17:02:50Z
1523152,General,Gran Via 38 CV Concepción Arenal,-3.70470253741572,40.4203276891666,4,,2021-10-06T17:24:20Z
1523149,General,Peña Gorbea Esq. Puerto Alto,-3.66613997154261,40.3953836095582,0,ERROR,2021-10-06T17:23:50Z
1523155,General,Av. Bruselas 56,-3.66283076372628,40.4394178076921,4,,2021-10-06T16:58:08Z
1523158,Plastic,Alcalá 237 (Pz Toros) Ventas Derecha Entrada Principal,-3.66259392414195,40.4314995116468,2,,2021-10-06T17:44:04Z
1523159,Plastic,Plaza Guardia De Cors FTE. Conde Duque,-3.71056955739891,40.4271815515398,2,,2021-10-06T16:34:58Z
1523162,General,Goya 2,-3.68763660431497,40.4252930284755,6,,2021-10-06T17:28:27Z
1523163,General,Mayor CV Coloreros,-3.70692644410355,40.4163244846537,0,,2021-10-06T17:41:08Z
1523164,Plastic,Plaza Cibeles CV Paseo Recoletos,-3.69304677937484,40.4198444071696,0,,2021-10-06T17:56:03Z
1523167,General,Av. Mendez Pelayo Entrada Retiro Frente Ibiza,-3.67901237258065,40.4182275462846,2,,2021-10-06T17:32:22Z
1523168,General,Doctor Esquerdo 40,-3.66918159547839,40.4215373300049,0,,2021-10-06T16:48:14Z
1523175,Plastic,Puerta Del Sol (Metro/Cercanias),-3.702893552936,40.4168867002944,8,LLENA,2021-10-06T16:27:53Z
1523178,General,Plaza Cibeles,-3.69345535197372,40.4187824254974,0,,2021-10-06T16:53:36Z
1523182,General,Martinez De La Riva Esq. Carlos Martin Álvarez,-3.66425947891552,40.3880556393621,2,,2021-10-06T17:49:35Z
1523184,Plastic,Peña Prieta Esq. Monte Oliveti,-3.66848754509938,40.3987962538023,0,,2021-10-06T17:29:49Z
