ID,Lugar,MINTDISTRI,NOMBRE_DIS,MINTBARRIO,NOMBRE_BAR,ESTADO,INSTALLDAT,Direccion,"MINTNUMERO,C,25","MINTNDP,C,20","MODELO,C,254"
120312, ESPACIO DE IGUALDAD RETIRO (ELENA ARNEDO SORIANO),3,RETIRO,32,ADELFAS,OPERATIVO,,CALLE DE  ESPACIO DE IGUALDAD RETIRO (ELENA ARNEDO SORIANO),99,20045674,
120718, COLEGIO SAN EUGENIO Y SAN ISIDRO,2,ARGANZUELA,22,ACACIAS,OPERATIVO,,CALLE DE  COLEGIO SAN EUGENIO Y SAN ISIDRO,29,20007398,
121719, BIBLIOTECA RETIRO,3,RETIRO,32,ADELFAS,OPERATIVO,,CALLE DE  BIBLIOTECA RETIRO,189,11011582,
123078, COLEGIO PUBLICO LEGADO CRESPO,2,ARGANZUELA,22,ACACIAS,OPERATIVO,,PASEO DE  COLEGIO PUBLICO LEGADO CRESPO,2,11008437,
123106, AL LADO DE AGENCIA PARA EL EMPLEO DE MADRID,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,,PASEO DE  AL LADO DE AGENCIA PARA EL EMPLEO DE MADRID,10,20138350,
123753, UPM: ESCUELA TENICA SUPERIOR DE INGENIERIA Y DISEÑO INSDUSTRIAL,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,,CALLE DE  UPM: ESCUELA TENICA SUPERIOR DE INGENIERIA Y DISEÑO INSDUSTRIAL,1,20008190,
123802, ESCUELA MUNICIPAL DE MUSICA ALMUDENA CANO,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,,PASAJE DE  ESCUELA MUNICIPAL DE MUSICA ALMUDENA CANO,6,20105955,
124590, COLEGIO SALESIANOS DE ATOCHA (SITUADO LINEAL),2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,,RONDA DE  COLEGIO SALESIANOS DE ATOCHA (SITUADO LINEAL),27,11010396,
124711, EN LA GLORIETA,3,RETIRO,33,ESTRELLA,OPERATIVO,,PLAZA DE  EN LA GLORIETA,5,11011778,
124995, DIRECCION GENERAL DE AGRICULTURA DE LA COMUNIDAD DE MADRID,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,,RONDA DE  DIRECCION GENERAL DE AGRICULTURA DE LA COMUNIDAD DE MADRID,17,11010412,
126081, AL LADO DE CARRIL BICI,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,,CALLE DE  AL LADO DE CARRIL BICI,2:00 AM,20105044,
128679, ESTACION DE METRO SAINZ DE BARANDA,3,RETIRO,33,ESTRELLA,OPERATIVO,,CALLE DE  ESTACION DE METRO SAINZ DE BARANDA,107,11012040,
128692," AL LADO DEL CEIP CIUDAD DE ROMA, EN LA ENTRADA DEL PARQUE",3,RETIRO,33,ESTRELLA,OPERATIVO,,"CALLE DE  AL LADO DEL CEIP CIUDAD DE ROMA, EN LA ENTRADA DEL PARQUE",1,11012057,
130122, EN LA PARTE DE LAS OFICINAS,3,RETIRO,33,ESTRELLA,OPERATIVO,,CALLE DE  EN LA PARTE DE LAS OFICINAS,13,11012086,
130831, AL LADO DE CASA DE AMERICA,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  AL LADO DE CASA DE AMERICA,53,11013649,
131013, ROTONDA PUERTA DE ALCALA,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,PLAZA DE  ROTONDA PUERTA DE ALCALA,6,11013824,
131263, ESTACION DE METRO RETIRO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  ESTACION DE METRO RETIRO,2,11013863,
131337, POLIDEPORTIVO FUENTE DEL BERRO,4,SALAMANCA,43,FUENTE DEL BERRO,OPERATIVO,,CALLE DE  POLIDEPORTIVO FUENTE DEL BERRO,31,20182773,
132154, CERCANO A LA CASA ARABE,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  CERCANO A LA CASA ARABE,7,11014619,
132190, COLEGIO NUESTRA SEÑORA DEL RECUERDO,5,CHAMARTIN,56,CASTILLA,OPERATIVO,,PLAZA DE  COLEGIO NUESTRA SEÑORA DEL RECUERDO,4,11027130,
133618, PALACIO DE LOS DEPORTES,4,SALAMANCA,42,GOYA,OPERATIVO,,CALLE DE  PALACIO DE LOS DEPORTES,18,11015545,
135605, I.E.S BEATRIZ GALINDO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  I.E.S BEATRIZ GALINDO,10,11013902,
138086, CENTRO DE NEGOCIOS VELAZQUEZ,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  CENTRO DE NEGOCIOS VELAZQUEZ,56,11014344,
138273, MANUEL BECERRA,4,SALAMANCA,43,FUENTE DEL BERRO,OPERATIVO,,PLAZA DE  MANUEL BECERRA,15,11016812,
138853, EN LA PLAZA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,PLAZA DE  EN LA PLAZA,8,31026268,
139324, C/V C. SERRANO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,,CALLE DE  C/V C. SERRANO,2,11014069,
139444, MOVIDO A AVENIDA DE LOS TOREROS (CLUB DEPORTIVO CALDEIRO),4,SALAMANCA,44,GUINDALERA,OPERATIVO,,AVENIDA DE  MOVIDO A AVENIDA DE LOS TOREROS (CLUB DEPORTIVO CALDEIRO),45,11017571,
141419, PLAZA DE TOROS DE LAS VENTAS,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,CALLE DE  PLAZA DE TOROS DE LAS VENTAS,237,11017699,
142259, BIBLIOTECA PUBLICA MUNICIPAL BUENAVISTA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,AVENIDA DE  BIBLIOTECA PUBLICA MUNICIPAL BUENAVISTA,5,11017387,
142279, EN LA ESTACION DE METRO DIEGO DE LEON,4,SALAMANCA,45,LISTA,OPERATIVO,,CALLE DE  EN LA ESTACION DE METRO DIEGO DE LEON,62,11019099,
143432, MUSEO DE ARTE PUBLICO,4,SALAMANCA,46,CASTELLANA,OPERATIVO,,PASEO DE  MUSEO DE ARTE PUBLICO,40,11019748,
145954, C/V CALLE DE MEJICO,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,CALLE DE  C/V CALLE DE MEJICO,66,11018853,
147565, C.P. GUINDALERA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,AVENIDA DE  C.P. GUINDALERA,6,31041250,
148185, AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA,4,SALAMANCA,46,CASTELLANA,OPERATIVO,,CALLE DE  AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA,125,11020044,
148326, EMBAJADA DE ALBANIA,4,SALAMANCA,45,LISTA,OPERATIVO,,CALLE DE  EMBAJADA DE ALBANIA,62,11018938,
148778, CENTRO MUNICIPAL MOSCARDO,4,SALAMANCA,44,GUINDALERA,OPERATIVO,,CALLE DE  CENTRO MUNICIPAL MOSCARDO,93,11018900,
149445, C/PADRE FRANCISCO PALAU Y QUER,5,CHAMARTIN,56,CASTILLA,OPERATIVO,,PASEO DE  C/PADRE FRANCISCO PALAU Y QUER,272,11027310,
150558, ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES UPM,5,CHAMARTIN,51,EL VISO,OPERATIVO,,CALLE DE  ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES UPM,6,11020541,
151223, FRENTE EDIFICIO DE COFIDES,5,CHAMARTIN,56,CASTILLA,OPERATIVO,,PASEO DE  FRENTE EDIFICIO DE COFIDES,278,11027331,
154330, I.E.S. RAMIRO DE MAEZTU,5,CHAMARTIN,51,EL VISO,OPERATIVO,,CALLE DE  I.E.S. RAMIRO DE MAEZTU,131,31048666,
155190, INSTALACION DEPORTIVA BASICA SANTA HORTENSIA,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,,CALLE DE  INSTALACION DEPORTIVA BASICA SANTA HORTENSIA,34,31025357,
155947, FRENTE A IBM,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,,CALLE DE  FRENTE A IBM,31,11027467,
155979, ESTACION DE METRO PROSPERIDAD,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,PLAZA DE  ESTACION DE METRO PROSPERIDAD,3,31008456,
156151, PLAZA DE HERMINIO MINGUEZ,5,CHAMARTIN,56,CASTILLA,OPERATIVO,,CALLE DE  PLAZA DE HERMINIO MINGUEZ,23,20103420,
156740, COLEGIO PUBLICO PINTOR ROSALES,5,CHAMARTIN,51,EL VISO,OPERATIVO,,CALLE DE  COLEGIO PUBLICO PINTOR ROSALES,139,11021619,
157887, PLAZA DE ANDRES SEGOVIA,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,PLAZA DE  PLAZA DE ANDRES SEGOVIA,2,20120191,
157999, AL LADO DE LA FUENTE DE LOS DELFINES,5,CHAMARTIN,51,EL VISO,OPERATIVO,,AVENIDA DE  AL LADO DE LA FUENTE DE LOS DELFINES,1,20009078,
158867, CERCA DE ESTACION DE METRO NUEVOS MINISTERIOS,5,CHAMARTIN,51,EL VISO,OPERATIVO,,PASEO DE  CERCA DE ESTACION DE METRO NUEVOS MINISTERIOS,110,11020485,
159396, PLAZA DE RODOLFO Y ERNESTO HALFFTER,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,CALLE DE  PLAZA DE RODOLFO Y ERNESTO HALFFTER,32,11023997,
161602, JARDINES DE PROSPERO SOYNARD,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,CALLE DE  JARDINES DE PROSPERO SOYNARD,55,31050976,
161723, ESCUELA DE DANZA BROADWAY,5,CHAMARTIN,52,PROSPERIDAD,OPERATIVO,,CALLE DE  ESCUELA DE DANZA BROADWAY,23,11022999,
161936, POLIDEPORTIVO MUNICIPAL PRADILLO,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,CALLE DE  POLIDEPORTIVO MUNICIPAL PRADILLO,25,20094374,
162245, ESTACION DE METRO LEGAZPI,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,PLAZA DE  ESTACION DE METRO LEGAZPI,1,11009434,
162466, ENTRADA PARQUE BERLIN,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,CALLE DE  ENTRADA PARQUE BERLIN,2,31052956,
162728, CENTRO COMERCIAL MENDEZ ALVARO,2,ARGANZUELA,27,ATOCHA,OPERATIVO,,CALLE DE  CENTRO COMERCIAL MENDEZ ALVARO,4,20111962,
162739, C/V CALLE ARIEL,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,,CALLE DE  C/V CALLE ARIEL,4,31022245,
163739, C.P. PADRE POVEDA,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,AVENIDA DE  C.P. PADRE POVEDA,23,11023059,
164052, ENTRADA PARQUE BERLIN,5,CHAMARTIN,53,CIUDAD JARDIN,OPERATIVO,,AVENIDA DE  ENTRADA PARQUE BERLIN,5,11024265,
165831, ESTACION DE METRO ARGANZUELA PLANETARIO,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,,CALLE DE  ESTACION DE METRO ARGANZUELA PLANETARIO,1:00 AM,31025852,
166022, EN EL PLANETARIO,2,ARGANZUELA,24,LEGAZPI,OPERATIVO,,AVENIDA DE  EN EL PLANETARIO,16,20064507,
166611, AL LADO DEL AYUNTAMIENTO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,CALLE DE  AL LADO DEL AYUNTAMIENTO,7,31033511,
167171, POLIDEPORTIVO PADRE DAMIAN,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,CALLE DE  POLIDEPORTIVO PADRE DAMIAN,24,31042940,
167650, ESCUELA UNIVERSITARIA DE DISEÑO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,AVENIDA DE  ESCUELA UNIVERSITARIA DE DISEÑO,97,11025068,
167812, JUNTO A ZONA AJARDINADA,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,CALLE DE  JUNTO A ZONA AJARDINADA,9,11025560,
168626, MINISTERIO DE HACIENDA. METRO CUZCO,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,PASEO DE  MINISTERIO DE HACIENDA. METRO CUZCO,162,11025623,
168705, FRENTE A EDIFICIO COMERCIAL,5,CHAMARTIN,54,HISPANOAMERICA,OPERATIVO,,AVENIDA DE  FRENTE A EDIFICIO COMERCIAL,10,11025619,
168988, PLAZA REPUBLICA DOMINICANA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,CALLE DE  PLAZA REPUBLICA DOMINICANA,283,31021821,
169252, CERCANO A COLEGIO SAGRADO CORAZON,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,CALLE DE  CERCANO A COLEGIO SAGRADO CORAZON,8,11026450,
169332, CENTRO MEDICO MILENIUM COSTA RICA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,PLAZA DE  CENTRO MEDICO MILENIUM COSTA RICA,7,31021839,
169946, COLEGIO NUESTRA SEÑORA DE LA MERCED,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,AVENIDA DE  COLEGIO NUESTRA SEÑORA DE LA MERCED,165,11026353,
170048, JUNTO A PLAZA RUTILIO GARCIS,2,ARGANZUELA,23,CHOPERA,OPERATIVO,,CALLE DE  JUNTO A PLAZA RUTILIO GARCIS,10,11008976,
170099, JUNTO A JARDIN DE GLORIA FUERTES,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,AVENIDA DE  JUNTO A JARDIN DE GLORIA FUERTES,180,31013778,
170181, EMBAJADA DE COSTA RICA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,CALLE DE  EMBAJADA DE COSTA RICA,1,31008516,
170579, COLEGIO PUBLICO MIGUEL DE UNAMUNO,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  COLEGIO PUBLICO MIGUEL DE UNAMUNO,7,11009480,
172923, EN EL PARQUE,2,ARGANZUELA,25,DELICIAS,OPERATIVO,,CALLE DE  EN EL PARQUE,6,11009534,
172981, CERCA ESTACION DE METRO PLAZA DE CASTILLA,5,CHAMARTIN,55,NUEVA ESPAÑA,OPERATIVO,,PLAZA DE  CERCA ESTACION DE METRO PLAZA DE CASTILLA,9,20131087,
