MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
120312;SITUADO APARCABICICLETAS - ESPACIO DE IGUALDAD RETIRO (ELENA ARNEDO SORIANO);3;RETIRO;32;ADELFAS;OPERATIVO;;CALLE;VALDERRIBAS;99;20045674;
120718;SITUADO APARCABICICLETAS - COLEGIO SAN EUGENIO Y SAN ISIDRO;2;ARGANZUELA;22;ACACIAS;OPERATIVO;;CALLE;PEÑUELAS;29;20007398;
121719;SITUADO APARCABICICLETAS - BIBLIOTECA RETIRO;3;RETIRO;32;ADELFAS;OPERATIVO;;CALLE;DOCTOR ESQUERDO;189;11011582;
123078;SITUADO APARCABICICLETAS - COLEGIO PUBLICO LEGADO CRESPO;2;ARGANZUELA;22;ACACIAS;OPERATIVO;;PASEO;ACACIAS;2;11008437;
123106;SITUADO APARCABICICLETAS - AL LADO DE AGENCIA PARA EL EMPLEO DE MADRID;2;ARGANZUELA;21;IMPERIAL;OPERATIVO;;PASEO;PONTONES;10;20138350;
123753;SITUADO APARCABICICLETAS - UPM: ESCUELA TENICA SUPERIOR DE INGENIERIA Y DISEÑO INSDUSTRIAL;2;ARGANZUELA;26;PALOS DE MOGUER;OPERATIVO;;CALLE;BERNARDINO OBREGON;1;20008190;
123802;SITUADO APARCABICICLETAS - ESCUELA MUNICIPAL DE MUSICA ALMUDENA CANO;2;ARGANZUELA;26;PALOS DE MOGUER;OPERATIVO;;PASAJE;TORTOSA;6;20105955;
124590;SITUADO APARCABICICLETAS - COLEGIO SALESIANOS DE ATOCHA (SITUADO LINEAL);2;ARGANZUELA;26;PALOS DE MOGUER;OPERATIVO;;RONDA;ATOCHA;27;11010396;
124711;SITUADO APARCABICICLETAS - EN LA GLORIETA;3;RETIRO;33;ESTRELLA;OPERATIVO;;PLAZA;CONDE DE CASAL;5;11011778;
124995;SITUADO APARCABICICLETAS - DIRECCION GENERAL DE AGRICULTURA DE LA COMUNIDAD DE MADRID;2;ARGANZUELA;26;PALOS DE MOGUER;OPERATIVO;;RONDA;ATOCHA;17;11010412;
126081;SITUADO APARCABICICLETAS - AL LADO DE CARRIL BICI;2;ARGANZUELA;21;IMPERIAL;OPERATIVO;;CALLE;JEMENUÑO;2:00 AM;20105044;
128679;SITUADO APARCABICICLETAS - ESTACION DE METRO SAINZ DE BARANDA;3;RETIRO;33;ESTRELLA;OPERATIVO;;CALLE;DOCTOR ESQUERDO;107;11012040;
128692;SITUADO APARCABICICLETAS - AL LADO DEL CEIP CIUDAD DE ROMA, EN LA ENTRADA DEL PARQUE;3;RETIRO;33;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;1;11012057;
130122;SITUADO APARCABICICLETAS - EN LA PARTE DE LAS OFICINAS;3;RETIRO;33;ESTRELLA;OPERATIVO;;CALLE;JUAN ESPLANDIU;13;11012086;
130831;SITUADO APARCABICICLETAS - AL LADO DE CASA DE AMERICA;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;ALCALA;53;11013649;
131013;SITUADO APARCABICICLETAS - ROTONDA PUERTA DE ALCALA;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;PLAZA;INDEPENDENCIA;6;11013824;
131263;SITUADO APARCABICICLETAS - ESTACION DE METRO RETIRO;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;LAGASCA;2;11013863;
131337;SITUADO APARCABICICLETAS - POLIDEPORTIVO FUENTE DEL BERRO;4;SALAMANCA;43;FUENTE DEL BERRO;OPERATIVO;;CALLE;ELVIRA;31;20182773;
132154;SITUADO APARCABICICLETAS - CERCANO A LA CASA ARABE;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;O'DONNELL;7;11014619;
132190;SITUADO APARCABICICLETAS - COLEGIO NUESTRA SEÑORA DEL RECUERDO;5;CHAMARTIN;56;CASTILLA;OPERATIVO;;PLAZA;DUQUE DE PASTRANA;4;11027130;
133618;SITUADO APARCABICICLETAS - PALACIO DE LOS DEPORTES;4;SALAMANCA;42;GOYA;OPERATIVO;;CALLE;LOMBIA;18;11015545;
135605;SITUADO APARCABICICLETAS - I.E.S BEATRIZ GALINDO;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;GOYA;10;11013902;
138086;SITUADO APARCABICICLETAS - CENTRO DE NEGOCIOS VELAZQUEZ;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;VELAZQUEZ;56;11014344;
138273;SITUADO APARCABICICLETAS - UNIVERSIDAD REY JUAN CARLOS CAMPUS DE MADRID - MANUEL BECERRA;4;SALAMANCA;43;FUENTE DEL BERRO;OPERATIVO;;PLAZA;MANUEL BECERRA;15;11016812;
138853;SITUADO APARCABICICLETAS - EN LA PLAZA;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;PLAZA;MANUEL BECERRA;8;31026268;
139324;SITUADO APARCABICICLETAS - C/V C. SERRANO;4;SALAMANCA;41;RECOLETOS;OPERATIVO;;CALLE;DON RAMON DE LA CRUZ;2;11014069;
139444;SITUADO APARCABICICLETAS - MOVIDO A AVENIDA DE LOS TOREROS (CLUB DEPORTIVO CALDEIRO);4;SALAMANCA;44;GUINDALERA;OPERATIVO;;AVENIDA;TOREROS;45;11017571;
141419;SITUADO APARCABICICLETAS - PLAZA DE TOROS DE LAS VENTAS;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;CALLE;ALCALA;237;11017699;
142259;SITUADO APARCABICICLETAS - BIBLIOTECA PUBLICA MUNICIPAL BUENAVISTA;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;AVENIDA;TOREROS;5;11017387;
142279;SITUADO APARCABICICLETAS - EN LA ESTACION DE METRO DIEGO DE LEON;4;SALAMANCA;45;LISTA;OPERATIVO;;CALLE;JUAN BRAVO;62;11019099;
143432;SITUADO APARCABICICLETAS - MUSEO DE ARTE PUBLICO;4;SALAMANCA;46;CASTELLANA;OPERATIVO;;PASEO;CASTELLANA;40;11019748;
145954;SITUADO APARCABICICLETAS - C/V CALLE DE MEJICO;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;CALLE;FRANCISCO SILVELA;66;11018853;
147565;SITUADO APARCABICICLETAS - C.P. GUINDALERA;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;AVENIDA;CAMILO JOSE CELA;6;31041250;
148185;SITUADO APARCABICICLETAS - AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA;4;SALAMANCA;46;CASTELLANA;OPERATIVO;;CALLE;NUÐEZ DE BALBOA;125;11020044;
148326;SITUADO APARCABICICLETAS - EMBAJADA DE ALBANIA;4;SALAMANCA;45;LISTA;OPERATIVO;;CALLE;MARIA DE MOLINA;62;11018938;
148778;SITUADO APARCABICICLETAS - CENTRO MUNICIPAL MOSCARDO;4;SALAMANCA;44;GUINDALERA;OPERATIVO;;CALLE;PILAR DE ZARAGOZA;93;11018900;
149445;SITUADO APARCABICICLETAS - C/PADRE FRANCISCO PALAU Y QUER;5;CHAMARTIN;56;CASTILLA;OPERATIVO;;PASEO;CASTELLANA;272;11027310;
150558;SITUADO APARCABICICLETAS - ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES UPM;5;CHAMARTIN;51;EL VISO;OPERATIVO;;CALLE;PEDRO DE VALDIVIA;6;11020541;
151223;SITUADO APARCABICICLETAS - FRENTE EDIFICIO DE COFIDES;5;CHAMARTIN;56;CASTILLA;OPERATIVO;;PASEO;CASTELLANA;278;11027331;
