id,tipoResiduo,Direccion,same_as_wikidata_Direccion,Number,Direccion_2,same_as_wikidata_Direccion_2,longitud,latitud,nivelLlenado,alerta,fecha
1517391,Resto,PLAZA-DE-Mercurio-,,,,,-3.57796317595808,40.4745326748698,0,,2021-10-02T07:25:52Z
1521210,Resto,CALLE-DE-Manuel-Machado-,,,,,-3.65939877040543,40.4113557824348,2,,2021-10-02T08:03:27Z
1522416,Resto,Penya-Gorbea-,,2,,,-3.66887580360043,40.398386107057,6,,2021-10-02T07:38:28Z
1522423,Envase,Estacion-Cercanias-Asamblea-De-Madrid,,,,,-3.66818481961283,40.3818872494024,0,,2021-10-02T08:55:12Z
1522705,Envase,Calle-de-José-del-Hierro-Madrid,https://wikidata.org/entity/Q29910699,52,,,-3.64392377324389,40.4401409362563,0,,2021-10-02T07:43:45Z
1522709,Envase,Avenida-de-Moratalaz,https://wikidata.org/entity/Q104778384,134,,,-3.6469082689571,40.4067884727658,6,,2021-10-02T08:50:22Z
1522710,Envase,AVENIDA-DE-Institucion-Libre-Ensenyanza,,,,,-3.63826355079394,40.4377219407492,4,,2021-10-02T07:52:03Z
1522846,Resto,-AVENIDA-DE-Institucion-Libre-Ensenyanza,,,,,-3.63824331938553,40.4377268200259,2,,2021-10-02T08:17:01Z
1522882,Resto,Avenida-del-Marqués-de-Corbera-Madrid,https://wikidata.org/entity/Q29168364,54-56,La_Elipa,https://wikidata.org/entity/Q1766021,-3.65095779563912,40.4262552029435,4,,2021-10-02T08:26:02Z
1522886,Resto,Calle-de-José-del-Hierro-Madrid,https://wikidata.org/entity/Q29910699,55,,,-3.64289276294361,40.4408021765445,4,,2021-10-02T07:41:22Z
1522889,Envase,San-Cipriano,https://wikidata.org/entity/Q10367387,,Cercanias_Vicalvaro/Metro_Puerta_De_Arganda,,-3.595912,40.401426,6,,2021-10-02T08:31:06Z
1522968,Resto,PASEO-DE--Alberto-Palacios-,,1,,,-3.709155138,40.34642989,4,,2021-10-02T05:20:03Z
1522981,Resto,Calle-de-Villablanca,,,community_health_center,https://wikidata.org/entity/Q569500,-3.5994917302179,40.4055559899069,2,,2021-10-02T07:49:14Z
1522985,Envase,Glorieta-Alsacia,,,Alsacia,https://wikidata.org/entity/Q3613056,-3.62309602206998,40.4176270530662,6,,2021-10-02T09:03:32Z
1522982,Resto,Avenida-del-Marqués-de-Corbera-Madrid,https://wikidata.org/entity/Q29168364,1-3,,,-3.65618501745653,40.4228480228234,0,,2021-10-02T07:33:42Z
1522986,Resto,Calle-Jardín-de-la-Duquesa,,,,,-3.60452159246016,40.4040364387842,0,,2021-10-02T07:58:11Z
1522987,Resto,Calle-de-Virgen-De-La-Alegria-,,8-10,,,-3.6570629208609,40.4335349903157,0,,2021-10-02T08:02:24Z
1522988,Resto,Calle-Camino-de-los-Vinateros,https://wikidata.org/entity/Q28935892,,Centro_De_Salud_Torito,,-3.64634004005014,40.4062243409903,0,,2021-10-02T08:14:26Z
