id,CODIGO,DISTRITO,same_as_wikidata_distrito,EDIFICIO,Direccion,same_as_wikidata_Direccion,COORDENADA Y,COORDENADA X,TERMINALES,CONECTORES,same_as_wikidata_CONECTORES,POTENCIA,ANYO INSTALACION
1,PRM-AG07-10a,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Desarrollo_Urbano_Sostenible_/_OA_Agencia_de_Actividades,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
2,PRM-AG07-10b,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Desarrollo_Urbano_Sostenible_/_OA_Agencia_de_Actividades,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
3,PRM-AG07-10c,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Desarrollo_Urbano_Sostenible_/_OA_Agencia_de_Actividades,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
4,PRM-AG07-10d,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Desarrollo_Urbano_Sostenible_/_OA_Agencia_de_Actividades,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
5,PRM-AG07-10e,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Desarrollo_Urbano_Sostenible_/_OA_Agencia_de_Actividades,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
6,PRM-AG08-04a,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
7,PRM-AG08-04b,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
8,PRM-AG08-04c,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
9,PRM-AG08-04d,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
10,PRM-AG08-04e,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
11,PRM-AG08-04f,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
12,PRM-AG08-04g,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
13,PRM-AG08-04h,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
14,PRM-AG08-04i,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
15,PRM-AG08-05,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,2,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2018
16,PRM-AG08-04j,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,22_KW_32_A_Trifasico,2018
17,PRM-AG08-02b,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Aparcamientos,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
18,PRM-AG08-02a,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Calidad_del_aire,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
19,PRM-AG08-03a,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Control_de_Calidad,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
20,PRM-AG08-03b,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Control_de_Calidad,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
21,PRM-AG08-03c,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Control_de_Calidad,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
22,PRM-AG08-03d,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Control_de_Calidad,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
23,PRM-AG08-01a,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Inspeccion,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
24,PRM-AG08-01b,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Inspeccion,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
25,PRM-AG08-01c,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Inspeccion,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
26,PRM-AG08-01d,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Inspeccion,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
27,PRM-AG08-01e,Arganzuela,https://wikidata.org/entity/Q2000929,A.G._Medio_Ambiente_y_Movilidad_/_Inspeccion,Calle_de_Bustamante_16,https://wikidata.org/entity/Q27430098,4472432.48,441594.53,1,Mennekes,https://wikidata.org/entity/Q1262665,"7,3_KW__32_A_mono",2017
