id,Gis_X,Gis_Y,FechadeAlta,Distrito,same_as_wikidata_distrito,Barrio,same_as_wikidata_barrio,NFinca,TipodeReserva,NumerodePlazas,Longitud,Latitud,DireccionNew,same_as_wikidata_direccion,Direccion
001a,440443.61,4474290.65,43803,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,2,BiciMAD,30,-3.701998,40.4171107,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.2
001b,440480.56,4474301.74,43867,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,6,BiciMAD,30,-3.7015636,40.4172132,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.6
2,440134.83,4474678.23,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,1,BiciMAD,24,-3.7056739,40.42058,CALLE DE MIGUELMOYA,,MIGUELMOYA.CALLE.DE.1
3,440012.98,4475760.68,41813,Chamberí,https://wikidata.org/entity/Q1763370,Arapiles,https://wikidata.org/entity/Q10856744,2,BiciMAD,18,-3.7072122,40.4303224,PLAZA DEL CONDEDELVALLEDESUCHIL,,CONDEDELVALLEDESUCHIL.PLAZA.DEL.2
4,440396.4,4475565.36,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,3,BiciMAD,24,-3.7026739,40.4285905,CALLE DE MANUELAMALASANYA,,MANUELAMALASANYA.CALLE.DE.3
5,440447.06,4475539.6,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,106,BiciMAD,27,-3.7020743,40.428362,calle de Fuencarral,https://wikidata.org/entity/Q5740840,FUENCARRAL.CALLE.DE.106
6,440754.26,4475071.08,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,63,BiciMAD,24,-3.6984093,40.4241633,calle de Hortaleza,https://wikidata.org/entity/Q5740911,HORTALEZA.CALLE.DE.63
7,440811.97,4475187.49,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,75,BiciMAD,21,-3.6977399,40.4252161,calle de Hortaleza,https://wikidata.org/entity/Q5740911,HORTALEZA.CALLE.DE.75
8,441020.56,4475463.16,41813,Chamberí,https://wikidata.org/entity/Q1763370,Almagro,https://wikidata.org/entity/Q10954432,6,BiciMAD,24,-3.6953067,40.4277143,PLAZA DE ALONSOMARTINEZ,,ALONSOMARTINEZ.PLAZA.DE.6
9,439813.51,4474129.47,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,9,BiciMAD,24,-3.7094093,40.4156134,PLAZA DE SANMIGUEL,,SANMIGUEL.PLAZA.DE.9
10,441292.12,4475204.43,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,16,BiciMAD,24,-3.6920816,40.4254027,CALLE DEL MARQUESDELAENSENADA,,MARQUESDELAENSENADA.CALLE.DEL.16
11,440314.86,4475395.19,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,20,BiciMAD,24,-3.7036192,40.4270517,CALLE DE SANANDRES,,SANANDRES.CALLE.DE.20
12,440095.53,4475560.73,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,87,BiciMAD,24,-3.7062202,40.4285271,CALLE DE SANBERNARDO,,SANBERNARDO.CALLE.DE.87
13,439733.78,4475434.65,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,22,BiciMAD,24,-3.7104727,40.4273652,CALLE DEL CONDEDUQUE,,CONDEDUQUE.CALLE.DEL.22
14,439486.2,4475284.13,44045,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Argüelles,https://wikidata.org/entity/Q64874,1,BiciMAD,24,-3.7133768,40.4259913,CALLE DE VENTURARODRIGUEZ,,VENTURARODRIGUEZ.CALLE.DE.1
15,439996.77,4475313.59,43881,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,10,BiciMAD,21,-3.7073611,40.4262937,"Calle del Norte, Madrid",https://wikidata.org/entity/Q29840509,NORTE.CALLE.DEL.10
16,439982.39,4474941.66,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,22,BiciMAD,21,-3.7074955,40.4229421,CALLE DE SANBERNARDO,,SANBERNARDO.CALLE.DE.22
17,440263.35,4474964.43,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,2,BiciMAD,24,-3.7041859,40.4231675,PLAZA DE CARLOSCAMBRONERO,,CARLOSCAMBRONERO.PLAZA.DE.2
18,440653.13,4474711.92,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,1,BiciMAD,24,-3.6995679,40.4209206,PLAZA DE PEDROZEROLO,,PEDROZEROLO.PLAZA.DE.1
19,441007.98,4474817.8,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,4,BiciMAD,24,-3.6953951,40.4218997,"Calle de Prim, Madrid",https://wikidata.org/entity/Q28916366,PRIM.CALLE.DE.4
20,441021.37,4474517.89,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,49,BiciMAD,24,-3.6952095,40.4191989,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.49
20a,441014.52,4474516.49,43291,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,49,BiciMAD,6,-3.6952901,40.4191858,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.49
22,440064.4,4474630.53,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7064995,40.4201452,calle de Jacometrezo,https://wikidata.org/entity/Q5651414,JACOMETREZO.CALLE.DE.1
23,439912.56,4474639.35,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,S/N,BiciMAD,24,-3.7082901,40.4202137,PLAZA DE SANTODOMINGO,,SANTODOMINGO.PLAZA.DE.S/N
24,439715.67,4474384.75,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,24,-3.7105866,40.417906,CALLE DE CARLOSIII,,CARLOSIII.CALLE.DE.1
025a,440104.48,4474318.99,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7059978,40.4173416,PLAZA DEL CELENQUE,,CELENQUE.PLAZA.DEL.1
025b,440102.16,4474309.87,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7060243,40.4172593,PLAZA DEL CELENQUE,,CELENQUE.PLAZA.DEL.1
26,441082.03,4475031.58,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,8,BiciMAD,24,-3.6945421,40.4238308,PLAZA DELAS SALESAS,,SALESAS.PLAZA.DELAS.8
