provincia,URI_provincia,municipio,URI_municipio,estacion,magnitud,punto_muestreo,ano,mes,dia,h01,v01,h02,v02,h03,v03,h04,v04,h05,v05,h06,v06,h07,v07,h08,v08,h09,v09,h10,v10,h11,v11,h12,v12,h13,v13,h14,v14,h15,v15,h16,v16,h17,v17,h18,v18,h19,v19,h20,v20,h21,v21,h22,v22,h23,v23,h24,v24
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,1,28102001-1-38,2021,10,1,3,V,3,V,2,V,3,V,3,V,3,V,3,V,2,V,2,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,6,28102001-6-48,2021,10,1,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,7,28102001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,8,28102001-8-8,2021,10,1,4,V,4,V,4,V,3,V,3,V,3,V,3,V,3,V,4,V,4,V,4,V,4,V,5,V,6,V,6,V,6,V,10,V,15,V,19,V,14,V,12,V,11,V,11,V,9,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,10,28102001-10-49,2021,10,1,16,V,14,V,16,V,18,V,23,V,23,V,23,V,21,V,19,V,23,V,31,V,25,V,17,V,22,V,22,V,20,V,26,V,22,V,25,V,20,V,23,V,23,V,27,V,23,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,12,28102001-12-8,2021,10,1,6,V,6,V,6,V,5,V,5,V,5,V,5,V,5,V,6,V,6,V,6,V,7,V,7,V,9,V,8,V,8,V,12,V,17,V,21,V,16,V,14,V,13,V,13,V,11,V
Madrid Province,https://wikidata.org/entity/Q24004405,Orusco de Tajuña,https://wikidata.org/entity/Q520988,1,14,28102001-14-6,2021,10,1,78,V,75,V,72,V,68,V,62,V,62,V,58,V,54,V,51,V,59,V,70,V,80,V,104,V,110,V,108,V,106,V,96,V,88,V,86,V,86,V,87,V,83,V,76,V,75,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,7,28120001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,,N,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,8,28120001-8-8,2021,10,1,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,,N,,N,,N,2,V,2,V,1,V,1,V,2,V,2,V,2,V,3,V,3,V,3,V,3,V,3,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,9,28120001-9-49,2021,10,1,1,V,2,V,1,V,1,V,2,V,3,V,2,V,4,V,4,V,9,V,7,V,2,V,4,V,3,V,3,V,4,V,5,V,6,V,5,V,3,V,5,V,6,V,3,V,4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,10,28120001-10-49,2021,10,1,2,V,1,V,1,V,2,V,3,V,2,V,3,V,3,V,6,V,22,V,13,V,1,V,3,V,2,V,5,V,5,V,8,V,8,V,9,V,9,V,7,V,7,V,5,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,12,28120001-12-8,2021,10,1,4,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,,N,,N,,N,4,V,4,V,3,V,3,V,4,V,4,V,4,V,5,V,5,V,5,V,5,V,5,V,4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Puerto de Cotos,https://wikidata.org/entity/Q3925446,1,14,28120001-14-6,2021,10,1,81,V,86,V,89,V,90,V,89,V,90,V,88,V,79,V,,N,,N,86,V,87,V,87,V,88,V,95,V,97,V,100,V,96,V,87,V,85,V,86,V,83,V,86,V,91,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,7,28123002-7-8,2021,10,1,1,V,1,V,1,V,2,V,6,V,16,V,46,V,37,V,30,V,15,V,15,V,11,V,11,V,9,V,7,V,5,V,4,V,15,V,55,V,80,V,38,V,21,V,17,V,15,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,8,28123002-8-8,2021,10,1,33,V,18,V,22,V,23,V,33,V,47,V,58,V,48,V,42,V,35,V,33,V,29,V,38,V,30,V,32,V,37,V,40,V,58,V,104,V,107,V,89,V,81,V,69,V,64,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,10,28123002-10-49,2021,10,1,29,V,24,V,17,V,19,V,19,V,20,V,21,V,27,V,28,V,30,V,38,V,39,V,42,V,35,V,29,V,22,V,14,V,20,V,32,V,42,V,43,V,37,V,37,V,33,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,12,28123002-12-8,2021,10,1,35,V,20,V,25,V,26,V,41,V,71,V,129,V,105,V,88,V,58,V,56,V,45,V,55,V,44,V,43,V,45,V,46,V,81,V,187,V,229,V,147,V,114,V,94,V,87,V
