hasIdBycicleParking,description,state,installDate,PostalAddress
120312,"SITUADO APARCABICICLETAS, ESPACIO DE IGUALDAD RETIRO (ELENA ARNEDO SORIANO)",OPERATIVO,,"Calle de Valderribas, Madrid"
120718,"SITUADO APARCABICICLETAS, COLEGIO SAN EUGENIO Y SAN ISIDRO",OPERATIVO,,calle de las Peñuelas
121719,"SITUADO APARCABICICLETAS, BIBLIOTECA RETIRO",OPERATIVO,,"Calle del Doctor Esquerdo, Madrid"
123078,"SITUADO APARCABICICLETAS, COLEGIO PUBLICO LEGADO CRESPO",OPERATIVO,,"Paseo de las Acacias, Madrid"
123106,"SITUADO APARCABICICLETAS, AL LADO DE AGENCIA PARA EL EMPLEO DE MADRID",OPERATIVO,,Paseo de los Pontones
123753,"SITUADO APARCABICICLETAS, UPM: ESCUELA TENICA SUPERIOR DE INGENIERIA Y DISEÑO INSDUSTRIAL",OPERATIVO,,CALLE BERNARDINO OBREGON
123802,"SITUADO APARCABICICLETAS, ESCUELA MUNICIPAL DE MUSICA ALMUDENA CANO",OPERATIVO,,PASAJE TORTOSA
124590,"SITUADO APARCABICICLETAS, COLEGIO SALESIANOS DE ATOCHA (SITUADO LINEAL)",OPERATIVO,,Ronda de Atocha
124711,"SITUADO APARCABICICLETAS, EN LA GLORIETA",OPERATIVO,,PLAZA CONDE DE CASAL
124995,"SITUADO APARCABICICLETAS, DIRECCION GENERAL DE AGRICULTURA DE LA COMUNIDAD DE MADRID",OPERATIVO,,Ronda de Atocha
126081,"SITUADO APARCABICICLETAS, AL LADO DE CARRIL BICI",OPERATIVO,,CALLE JEMENUÑO
128679,"SITUADO APARCABICICLETAS, ESTACION DE METRO SAINZ DE BARANDA",OPERATIVO,,"Calle del Doctor Esquerdo, Madrid"
128692,"SITUADO APARCABICICLETAS, AL LADO DEL CEIP CIUDAD DE ROMA, EN LA ENTRADA DEL PARQUE",OPERATIVO,,"Calle de Juan Esplandiu, Madrid"
130122,"SITUADO APARCABICICLETAS, EN LA PARTE DE LAS OFICINAS",OPERATIVO,,"Calle de Juan Esplandiu, Madrid"
130831,"SITUADO APARCABICICLETAS, AL LADO DE CASA DE AMERICA",OPERATIVO,,Alcalá Street
131013,"SITUADO APARCABICICLETAS, ROTONDA PUERTA DE ALCALA",OPERATIVO,,Plaza Independencia
131263,"SITUADO APARCABICICLETAS, ESTACION DE METRO RETIRO",OPERATIVO,,Lagasca Street
131337,"SITUADO APARCABICICLETAS, POLIDEPORTIVO FUENTE DEL BERRO",OPERATIVO,,CALLE ELVIRA
132154,"SITUADO APARCABICICLETAS, CERCANO A LA CASA ARABE",OPERATIVO,,"Calle de O'Donnell, Madrid"
132190,"SITUADO APARCABICICLETAS, COLEGIO NUESTRA SEÑORA DEL RECUERDO",OPERATIVO,,PLAZA DUQUE DE PASTRANA
133618,"SITUADO APARCABICICLETAS, PALACIO DE LOS DEPORTES",OPERATIVO,,CALLE LOMBIA
135605,"SITUADO APARCABICICLETAS, I.E.S BEATRIZ GALINDO",OPERATIVO,,Calle de Goya
138086,"SITUADO APARCABICICLETAS, CENTRO DE NEGOCIOS VELAZQUEZ",OPERATIVO,,calle de Velázquez
138273,"SITUADO APARCABICICLETAS, UNIVERSIDAD REY JUAN CARLOS CAMPUS DE MADRID - MANUEL BECERRA",OPERATIVO,,PLAZA MANUEL BECERRA
138853,"SITUADO APARCABICICLETAS, EN LA PLAZA",OPERATIVO,,PLAZA MANUEL BECERRA
139324,"SITUADO APARCABICICLETAS, C/V C. SERRANO",OPERATIVO,,"Calle de Don Ramón de la Cruz, Madrid"
139444,"SITUADO APARCABICICLETAS, MOVIDO A AVENIDA DE LOS TOREROS (CLUB DEPORTIVO CALDEIRO)",OPERATIVO,,"Avenida de los Toreros, Madrid"
141419,"SITUADO APARCABICICLETAS, PLAZA DE TOROS DE LAS VENTAS",OPERATIVO,,Alcalá Street
142259,"SITUADO APARCABICICLETAS, BIBLIOTECA PUBLICA MUNICIPAL BUENAVISTA",OPERATIVO,,"Avenida de los Toreros, Madrid"
142279,"SITUADO APARCABICICLETAS, EN LA ESTACION DE METRO DIEGO DE LEON",OPERATIVO,,"Calle de Juan Bravo, Madrid"
143432,"SITUADO APARCABICICLETAS, MUSEO DE ARTE PUBLICO",OPERATIVO,,Paseo de la Castellana
145954,"SITUADO APARCABICICLETAS, C/V CALLE DE MEJICO",OPERATIVO,,Francisco Silvela Street
147565,"SITUADO APARCABICICLETAS, C.P. GUINDALERA",OPERATIVO,,AVENIDA CAMILO JOSE CELA
148185,"SITUADO APARCABICICLETAS, AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA",OPERATIVO,,CALLE NUÐEZ DE BALBOA
148326,"SITUADO APARCABICICLETAS, EMBAJADA DE ALBANIA",OPERATIVO,,María de Molina
148778,"SITUADO APARCABICICLETAS, CENTRO MUNICIPAL MOSCARDO",OPERATIVO,,CALLE PILAR DE ZARAGOZA
149445,"SITUADO APARCABICICLETAS, C/PADRE FRANCISCO PALAU Y QUER",OPERATIVO,,Paseo de la Castellana
