hasIdBycicleParking,description,state,installDate,PostalAddress
4704600,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE ACONCAGUA
457787,SITUADO APARCABICICLETAS - C/ TAMAYO Y BAUS Nº5,OPERATIVO,,CALLE TAMAYO Y BAUS
457790,SITUADO APARCABICICLETAS - Pº RECOLETOS Nº23,OPERATIVO,,PASEO RECOLETOS
4704601,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE NEVADO DEL RUIZ
457794,SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº13,OPERATIVO,,CALLE MESONERO ROMANOS
457798,SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº17,OPERATIVO,,CALLE MESONERO ROMANOS
4704599,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE LAS PEDRO?ERAS
4704602,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE MAR DE LAS ANTILLAS
4704603,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE MAR MENOR
457801,SITUADO APARCABICICLETAS - Pz. CALLAO Nº1,OPERATIVO,,PLAZA CALLAO
457803,SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19,OPERATIVO,,PLAZA SANTO DOMINGO
457804,SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19,OPERATIVO,,PLAZA SANTO DOMINGO
4704604,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE SANTA VIRGILIA
457807,SITUADO APARCABICICLETAS - CUESTA SANTO DOMINGO Nº14,OPERATIVO,,CUESTA SANTO DOMINGO
457808,SITUADO APARCABICICLETAS - Pz. SAN MARTIN Nº1,OPERATIVO,,PLAZA SAN MARTIN
457812,SITUADO APARCABICICLETAS - Pz. SAN MARTIN Nº5,OPERATIVO,,PLAZA SAN MARTIN
457815,SITUADO APARCABICICLETAS - Pz. ISABEL II Nº6,OPERATIVO,,PLAZA ISABEL II
4704605,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CARRETERA ESTACION DE HORTALEZA
4704606,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE CARRION DE LOS CONDES
457818,SITUADO APARCABICICLETAS - Pz. ISABEL II Nº8,OPERATIVO,,PLAZA ISABEL II
457820,SITUADO APARCABICICLETAS - C/ VERGARA Nº3,OPERATIVO,,CALLE VERGARA
4704607,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE ROCIO JURADO
457823,SITUADO APARCABICICLETAS - C/ SANTA CLARA Nº1,OPERATIVO,,CALLE SANTA CLARA
4704608,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,AVENIDA LAS FUERZAS ARMADAS
4704609,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE HERMANOS GASCON
457830,SITUADO APARCABICICLETAS - C/ MAYOR Nº86,OPERATIVO,,CALLE MAYOR
4704610,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE MAESTRA DOLORES MARCO
457832,SITUADO APARCABICICLETAS - C/ MAYOR Nº83,OPERATIVO,,CALLE MAYOR
4704611,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE JUAN DANIEL FULLAONDO
4704612,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,AVENIDA LAS FUERZAS ARMADAS
457833,SITUADO APARCABICICLETAS - C/ SEGOVIA Nº75,OPERATIVO,,CALLE SEGOVIA
457834,SITUADO APARCABICICLETAS - C/ BAILEN Nº41,OPERATIVO,,CALLE BAILEN
457837,SITUADO APARCABICICLETAS - CARRERA SAN FRANCISCO Nº6,OPERATIVO,,CARRERA SAN FRANCISCO
4704613,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE FRANCISCO UMBRAL
457844,SITUADO APARCABICICLETAS - Pz. PUERTA DE MOROS Nº5,OPERATIVO,,PLAZA PUERTA DE MOROS
457845,SITUADO APARCABICICLETAS - Pz. DE LA PAJA Nº3,OPERATIVO,,PLAZA PAJA
4704614,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE FRANCISCO UMBRAL
457848,SITUADO APARCABICICLETAS - Pz. CRUZ VERDE Nº1,OPERATIVO,,PLAZA CRUZ VERDE
4704615,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE PROVISIONAL CARCAVAS OESTE UNO
457850,SITUADO APARCABICICLETAS - C/ SEGOVIA Nº11,OPERATIVO,,CALLE SEGOVIA
457853,SITUADO APARCABICICLETAS - C/ SAN BRUNO Nº6,OPERATIVO,,CALLE SAN BRUNO
457854,SITUADO APARCABICICLETAS - C/ SAN BRUNO Nº7,OPERATIVO,,CALLE SAN BRUNO
457856,SITUADO APARCABICICLETAS - C/ CONDE DE ROMANONES Nº2,OPERATIVO,,CALLE CONDE DE ROMANONES
4704616,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE PROVISIONAL CARCAVAS OESTE UNO
457858,SITUADO APARCABICICLETAS - Pz. PROVINCIA Nº3,OPERATIVO,,PLAZA PROVINCIA
4704617,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE PROVISIONAL CARCAVAS OESTE UNO
457865,SITUADO APARCABICICLETAS - C/ DOCTOR CORTEZO Nº4,OPERATIVO,,CALLE DOCTOR CORTEZO
457870,SITUADO APARCABICICLETAS - Pz. SANTA ANA Nº15,OPERATIVO,,PLAZA SANTA ANA
4704618,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE PROVISIONAL CARCAVAS OESTE UNO
