IdBiciMad,numPlaces,longitude,latitude,PostalAddress
001_a,30,-3.701998,40.4171107,Alcalá Street
001_b,30,-3.7015636,40.4172132,Alcalá Street
2,24,-3.7056739,40.42058,CALLE MIGUEL MOYA
3,18,-3.7072122,40.4303224,PLAZA CONDE DEL VALLE DE SUCHIL
4,24,-3.7026739,40.4285905,"Calle de Manuela Malasaña, Madrid"
5,27,-3.7020743,40.428362,calle de Fuencarral
6,24,-3.6984093,40.4241633,calle de Hortaleza
7,21,-3.6977399,40.4252161,calle de Hortaleza
8,24,-3.6953067,40.4277143,PLAZA ALONSO MARTINEZ
9,24,-3.7094093,40.4156134,PLAZA SAN MIGUEL
10,24,-3.6920816,40.4254027,"Calle del Marqués de la Ensenada, Madrid"
11,24,-3.7036192,40.4270517,calle de San Andrés
12,24,-3.7062202,40.4285271,San Bernardo street
13,24,-3.7104727,40.4273652,calle del Conde Duque
14,24,-3.7133768,40.4259913,calle de Ventura Rodríguez
15,21,-3.7073611,40.4262937,"Calle del Norte, Madrid"
16,21,-3.7074955,40.4229421,San Bernardo street
17,24,-3.7041859,40.4231675,PLAZA CARLOS CAMBRONERO
18,24,-3.6995679,40.4209206,PLAZA PEDRO ZEROLO
19,24,-3.6953951,40.4218997,"Calle de Prim, Madrid"
20,24,-3.6952095,40.4191989,Alcalá Street
020_ampliacion,6,-3.6952901,40.4191858,Alcalá Street
22,24,-3.7064995,40.4201452,calle de Jacometrezo
23,24,-3.7082901,40.4202137,Fuente de la plaza de Santo Domingo
24,24,-3.7105866,40.417906,"Calle de Carlos III, Madrid"
025_a,24,-3.7059978,40.4173416,PLAZA CELENQUE
025_b,24,-3.7060243,40.4172593,PLAZA CELENQUE
26,24,-3.6945421,40.4238308,PLAZA LAS SALESAS
27,27,-3.6955803,40.4132831,Carrer de Jesús
28,24,-3.6983662,40.4180695,Alcalá Street
29,24,-3.6958008,40.416244,calle del Marqués de Cubas
30,27,-3.7115428,40.4193355,"Calle de Pavía, Madrid"
31,27,-3.706625,40.4163446,Calle Mayor
32,18,-3.7061355,40.4148511,PLAZA LA PROVINCIA
33,21,-3.7032096,40.4164757,calle de Carretas
34,24,-3.7035044,40.4144117,PLAZA JACINTO BENAVENTE
35,24,-3.7103676,40.4141792,PLAZA CORDON
36,24,-3.711764,40.4168229,PLAZA RAMALES
37,24,-3.7141234,40.4108606,PLAZA SAN FRANCISCO
38,24,-3.7114443,40.4112961,carrera de San Francisco
39,27,-3.7090043,40.4112662,PLAZA LA CEBADA
40,24,-3.7047463,40.4137865,"Calle del Conde de Romanones, Madrid"
41,18,-3.6989898,40.412228,Calle de Atocha
42,24,-3.6982294,40.4107714,calle de Santa Isabel
43,24,-3.7025446,40.4100889,Calle de Lavapiés
44,21,-3.7039138,40.4098162,calle de Mesón de Paredes
45,21,-3.7111381,40.4069486,GLORIETA LA PUERTA DE TOLEDO
46,24,-3.7071178,40.4054496,Calle de la Ribera de Curtidores
47,24,-3.702755,40.4046233,GLORIETA EMBAJADORES
48,24,-3.7020997,40.4054473,GLORIETA EMBAJADORES
49,24,-3.6992427,40.4060497,Ronda de Atocha
50,24,-3.69322,40.4083102,calle de Santa Isabel
51,27,-3.6935934,40.4077234,PLAZA EMPERADOR CARLOS V
52,24,-3.7007838,40.4145181,PLAZA SANTA ANA
53,24,-3.7007295,40.4082802,calle de Valencia
54,21,-3.7003435,40.4266233,calle de Barceló
55,24,-3.7019295,40.4240716,PLAZA SAN ILDEFONSO
56,24,-3.7032875,40.418484,PLAZA CARMEN
57,24,-3.7128181,40.4296363,calle de Santa Cruz de Marcenado
58,24,-3.6979458,40.4222601,"Calle de Augusto Figueroa, Madrid"
59,21,-3.7041167,40.4254802,"Calle del Espíritu Santo, Madrid"
60,24,-3.6881994,40.4194508,Plaza de la Independencia
61,24,-3.675206,40.4214379,"Calle de O'Donnell, Madrid"
62,24,-3.6724223,40.4212986,"Calle de O'Donnell, Madrid"
63,24,-3.6706508,40.4178926,"Calle de Ibiza, Madrid"
65,24,-3.6893825,40.4166859,"Calle de Antonio Maura, Madrid"
67,24,-3.6931349,40.410829,CALLE ALMADEN
68,21,-3.6911649,40.412781,CALLE ESPALTER
69,27,-3.6888669,40.4100609,Calle de Alfonso XII
