IdBiciMad,numPlaces,longitude,latitude,PostalAddress
001 a,30,-3.701998,40.4171107, CALLE  DE ALCALA  2
001 b,30,-3.7015636,40.4172132, CALLE  DE ALCALA  6
2,24,-3.7056739,40.42058, CALLE  DE MIGUEL MOYA  1
3,18,-3.7072122,40.4303224, PLAZA  DEL CONDE DEL VALLE DE SUCHIL  2
4,24,-3.7026739,40.4285905, CALLE  DE MANUELA MALASAÑA  3
5,27,-3.7020743,40.428362, CALLE  DE FUENCARRAL  106
6,24,-3.6984093,40.4241633, CALLE  DE HORTALEZA  63
7,21,-3.6977399,40.4252161, CALLE  DE HORTALEZA  75
8,24,-3.6953067,40.4277143, PLAZA  DE ALONSO MARTINEZ  6
9,24,-3.7094093,40.4156134, PLAZA  DE SAN MIGUEL  9
10,24,-3.6920816,40.4254027, CALLE  DEL MARQUES DE LA ENSENADA  16
11,24,-3.7036192,40.4270517, CALLE  DE SAN ANDRES  20
12,24,-3.7062202,40.4285271, CALLE  DE SAN BERNARDO  87
13,24,-3.7104727,40.4273652, CALLE  DEL CONDE DUQUE  22
14,24,-3.7133768,40.4259913, CALLE  DE VENTURA RODRIGUEZ  1
15,21,-3.7073611,40.4262937, CALLE  DEL NORTE  10
16,21,-3.7074955,40.4229421, CALLE  DE SAN BERNARDO  22
17,24,-3.7041859,40.4231675, PLAZA  DE CARLOS CAMBRONERO  2
18,24,-3.6995679,40.4209206, PLAZA  DE PEDRO ZEROLO  1
19,24,-3.6953951,40.4218997, CALLE  DE PRIM  4
20,24,-3.6952095,40.4191989, CALLE  DE ALCALA  49
020 ampliacion,6,-3.6952901,40.4191858, CALLE  DE ALCALA  49
22,24,-3.7064995,40.4201452, CALLE  DE JACOMETREZO  1
23,24,-3.7082901,40.4202137, PLAZA  DE SANTO DOMINGO  S/N
24,24,-3.7105866,40.417906, CALLE  DE CARLOS III  1
025 a,24,-3.7059978,40.4173416, PLAZA  DEL CELENQUE  1
025 b,24,-3.7060243,40.4172593, PLAZA  DEL CELENQUE  1
26,24,-3.6945421,40.4238308, PLAZA  DE LAS SALESAS  8
27,27,-3.6955803,40.4132831, CALLE  DE JESUS  frente 6
28,24,-3.6983662,40.4180695, CALLE  DE ALCALA  26
29,24,-3.6958008,40.416244, CALLE  DEL MARQUES DE CUBAS  25
30,27,-3.7115428,40.4193355, CALLE  DE PAVIA  6
31,27,-3.706625,40.4163446, CALLE MAYOR  18
32,18,-3.7061355,40.4148511, PLAZA  DE LA PROVINCIA  1
33,21,-3.7032096,40.4164757, CALLE  DE LAS CARRETAS  3
34,24,-3.7035044,40.4144117, PLAZA  DE JACINTO BENAVENTE  S/N
35,24,-3.7103676,40.4141792, PLAZA  DEL CORDON  1
36,24,-3.711764,40.4168229, PLAZA  DE RAMALES  5
37,24,-3.7141234,40.4108606, PLAZA  DE SAN FRANCISCO  5
38,24,-3.7114443,40.4112961, CARRERA  DE SAN FRANCISCO  1
39,27,-3.7090043,40.4112662, PLAZA  DE LA CEBADA  16
40,24,-3.7047463,40.4137865, CALLE  DEL CONDE DE ROMANONES  2
41,18,-3.6989898,40.412228, CALLE  DE ATOCHA  56
42,24,-3.6982294,40.4107714, CALLE  DE SANTA ISABEL  32
43,24,-3.7025446,40.4100889, CALLE  DE LAVAPIES  36
44,21,-3.7039138,40.4098162, CALLE  DEL MESON DE PAREDES  35
45,21,-3.7111381,40.4069486, GLORIETA  DE LA PUERTA DE TOLEDO  1
46,24,-3.7071178,40.4054496, CALLE  DE LA RIBERA DE CURTIDORES  28
47,24,-3.702755,40.4046233, GLORIETA  DE EMBAJADORES  7 B
48,24,-3.7020997,40.4054473, GLORIETA  DE EMBAJADORES  2
49,24,-3.6992427,40.4060497, RONDA  DE ATOCHA  36
50,24,-3.69322,40.4083102, CALLE  DE SANTA ISABEL  57
51,27,-3.6935934,40.4077234, PLAZA  DEL EMPERADOR CARLOS V  7
52,24,-3.7007838,40.4145181, PLAZA  DE SANTA ANA  9
53,24,-3.7007295,40.4082802, CALLE  DE VALENCIA  frente 2
54,21,-3.7003435,40.4266233, CALLE  DE BARCELO  7
55,24,-3.7019295,40.4240716, PLAZA  DE SAN ILDEFONSO  8
56,24,-3.7032875,40.418484, PLAZA  DEL CARMEN  1
57,24,-3.7128181,40.4296363, CALLE  DE SANTA CRUZ DE MARCENADO  24
58,24,-3.6979458,40.4222601, CALLE  DE AUGUSTO FIGUEROA  33
59,21,-3.7041167,40.4254802, CALLE  DEL ESPIRITU SANTO  30
60,24,-3.6881994,40.4194508, PLAZA  DE LA INDEPENDENCIA  7
61,24,-3.675206,40.4214379, CALLE  DE O'DONNELL  30
62,24,-3.6724223,40.4212986, CALLE  DE O'DONNELL  48
63,24,-3.6706508,40.4178926, CALLE  DE IBIZA  64
65,24,-3.6893825,40.4166859, CALLE  DE ANTONIO MAURA  15
67,24,-3.6931349,40.410829, CALLE  DE ALMADEN  28
68,21,-3.6911649,40.412781, CALLE  DE ESPALTER  1
69,27,-3.6888669,40.4100609, CALLE  DE ALFONSO XII  54
70,24,-3.6777994,40.4152203, AVENIDA  DE MENENDEZ PELAYO  frente 63
71,24,-3.674021,40.4160054, CALLE  DEL DOCE DE OCTUBRE  28
72,24,-3.669623,40.415721, CALLE  DEL DOCTOR ESQUERDO  62
73,24,-3.669099,40.411463, PLAZA  DE LOS ASTROS  S/N
74,24,-3.6765768,40.4117601, AVENIDA  DE MENENDEZ PELAYO  S/N
75,24,-3.6784149,40.4083387, AVENIDA  DE MENENDEZ PELAYO  S/N
76,24,-3.6751544,40.4072851, AVENIDA  DEL MEDITERRANEO  19
