distrito,NumeroHabitantes,unidad_indicador,valor_indicador
Centro,Número de Habitantes,Habitantes,134.881
Centro,Número de Habitantes,Habitantes,67.829
Centro,Número de Habitantes,Porcentaje,"50,29"
Centro,Número de Habitantes,Habitantes,67.052
Centro,Número de Habitantes,Porcentaje,"49,71"
Centro,Número de Habitantes,Personas,10.554
Centro,Número de Habitantes,Porcentaje,"7,82"
Centro,Número de Habitantes,Personas,21.800
Centro,Número de Habitantes,Porcentaje,"16,16"
Centro,Número de Habitantes,Personas,42.857
Centro,Número de Habitantes,Porcentaje,"31,77"
Centro,Número de Habitantes,Personas,38.025
Centro,Número de Habitantes,Porcentaje,"28,19"
Centro,Número de Habitantes,Personas,14.196
Centro,Número de Habitantes,Porcentaje,"10,52"
Centro,Número de Habitantes,Personas,7.449
Centro,Número de Habitantes,Porcentaje,"5,52"
Centro,Número de Habitantes,Personas,21.645
Centro,Número de Habitantes,Porcentaje,"16,05"
Centro,Número de Habitantes,Personas,8.659
Centro,Número de Habitantes,Porcentaje,"6,42"
Centro,Número de Habitantes,Personas,11.171
Centro,Número de Habitantes,Proporción,"8,28"
Centro,Número de Habitantes,Proporción,"16,05"
Centro,Número de Habitantes,Proporción,"34,41"
Centro,Número de Habitantes,Índice,"32,15"
Centro,Número de Habitantes,Personas,104.041
Centro,Número de Habitantes,Porcentaje,"77,14"
Centro,Número de Habitantes,Personas,51.264
Centro,Número de Habitantes,Porcentaje,"49,27"
Centro,Número de Habitantes,Personas,52.777
Centro,Número de Habitantes,Porcentaje,"50,73"
Centro,Número de Habitantes,Personas,30.837
Centro,Número de Habitantes,Porcentaje,"22,86"
Centro,Número de Habitantes,Personas,16.564
Centro,Número de Habitantes,Porcentaje,"53,71"
Centro,Número de Habitantes,Personas,14.273
Centro,Número de Habitantes,Porcentaje,"46,29"
Centro,Número de Habitantes,Proporción,"12,54"
Centro,Número de Habitantes,Personas,3.194
Centro,Número de Habitantes,Porcentaje,"10,36"
Centro,Número de Habitantes,Personas,2935
Centro,Número de Habitantes,Porcentaje,"9,52"
Centro,Número de Habitantes,Personas,1561
Centro,Número de Habitantes,Porcentaje,"5,06"
Centro,Número de Habitantes,Personas,1.736
Centro,Número de Habitantes,Porcentaje,"5,63"
Centro,Número de Habitantes,Personas,801
Centro,Número de Habitantes,Porcentaje,"2,6"
Centro,Número de Habitantes,Personas,284
Centro,Número de Habitantes,Porcentaje,"0,92"
Centro,Número de Habitantes,Personas,653
