CODIGO,DISTRITO,same_as_wikidata_distrito,DIRECCION,ESTADO,LONGITUD,LATITUD
FUE_01_0001,Centro,https://wikidata.org/entity/Q1763376,PLAZA COMENDADORAS,FUERA DE SERVICIO,-3.7086003,40.4272429
FUE_01_0002,Centro,https://wikidata.org/entity/Q1763376,JARDINES CONDE DUQUE,EN SERVICIO,-3.7101008,40.4287238
FUE_01_0003,Centro,https://wikidata.org/entity/Q1763376,PLAZA DE LAS SALESAS,FUERA DE SERVICIO,-3.6946026,40.4242464
FUE_01_0004,Centro,https://wikidata.org/entity/Q1763376,PLAZA VILLA DE PARIS,EN SERVICIO,-3.6922023,40.4252981
FUE_01_0005,Centro,https://wikidata.org/entity/Q1763376,PLAZA VILLA DE PARIS,EN SERVICIO,-3.6931763,40.4255618
FUE_01_0006,Centro,https://wikidata.org/entity/Q1763376,PLAZA CRISTINO MARTOS,FUERA DE SERVICIO,-3.7120169,40.4256456
FUE_01_0007,Centro,https://wikidata.org/entity/Q1763376,PLAZA SAN ILDEFONSO,EN SERVICIO,-3.7018126,40.4241421
FUE_01_0008,Centro,https://wikidata.org/entity/Q1763376,PARQUE CASINO DE LA REINA,FUERA DE SERVICIO,-3.7049195,40.4059482
FUE_01_0009,Centro,https://wikidata.org/entity/Q1763376,PLAZA DE LOS CARROS,EN SERVICIO,-3.711455,40.4116737
FUE_01_0012,Centro,https://wikidata.org/entity/Q1763376,PARQUE DE LA CORNISA,FUERA DE SERVICIO,-3.7153448,40.4098378
FUE_01_0017,Centro,https://wikidata.org/entity/Q1763376,PASEO DEL PRADO,EN SERVICIO,-3.6931979,40.4127243
FUE_01_0018,Centro,https://wikidata.org/entity/Q1763376,CAPITAN SALAZAR MARTINEZ Nº 11,EN SERVICIO,-3.7102162,40.4071271
FUE_01_0020,Centro,https://wikidata.org/entity/Q1763376,PLAZA DOS DE MAYO,FUERA DE SERVICIO,-3.7044044,40.4269465
FUE_01_0021,Centro,https://wikidata.org/entity/Q1763376,PARQUE DE ATENAS,CERRADA TEMPORALMENTE,-3.7205578,40.4150604
FUE_01_0024,Centro,https://wikidata.org/entity/Q1763376,JARDINES PLAZA GABRIEL MIRO,EN SERVICIO,-3.7148802,40.412665
FUE_01_0027,Centro,https://wikidata.org/entity/Q1763376,"CALLE SEGOVIA, 30",EN SERVICIO,-3.7189277,40.4147755
FUE_01_0028,Centro,https://wikidata.org/entity/Q1763376,PARQUE DE ATENAS,FUERA DE SERVICIO,-3.7201468,40.4147606
FUE_01_0029,Centro,https://wikidata.org/entity/Q1763376,PARQUE CASINO DE LA REINA,FUERA DE SERVICIO,-3.7046006,40.4066592
FUE_01_0030,Centro,https://wikidata.org/entity/Q1763376,PARQUE CASINO DE LA REINA,EN SERVICIO,-3.7057139,40.4425058
FUE_01_0031,Centro,https://wikidata.org/entity/Q1763376,CL ARGANZUELA Nº:1,EN SERVICIO,-3.7102571,40.4088482
FUE_01_0032,Centro,https://wikidata.org/entity/Q1763376,"CL MESON DE PAREDES, Nº 48",EN SERVICIO,-3.7039254,40.4093894
FUE_01_0033,Centro,https://wikidata.org/entity/Q1763376,CL SAN JUSTO Nº:1,EN SERVICIO,-3.7090393,40.4138188
FUE_01_0034,Centro,https://wikidata.org/entity/Q1763376,PLAZA JESUS Nº:4,EN SERVICIO,-3.7072101,40.4099264
FUE_01_0036,Centro,https://wikidata.org/entity/Q1763376,PLAZA CASCORRO Nº:11,EN SERVICIO,-3.6959374,40.4093572
FUE_01_0037,Centro,https://wikidata.org/entity/Q1763376,PLAZA ISABEL II Nº:8,EN SERVICIO,-3.7091416,40.4181182
FUE_01_0038,Centro,https://wikidata.org/entity/Q1763376,"PZA. GENERAL VARA DE REY, Nº 3",EN SERVICIO,-3.7083933,40.4092552
FUE_01_0039,Centro,https://wikidata.org/entity/Q1763376,"PZA. GABRIEL MIRO, Nº 8",EN SERVICIO,-3.7149769,40.4120067
FUE_01_0041,Centro,https://wikidata.org/entity/Q1763376,"C/ SANTA CRUZ DE MARCENADO, 18",EN SERVICIO,-3.7096543,40.4288758
FUE_01_0042,Centro,https://wikidata.org/entity/Q1763376,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,FUERA DE SERVICIO,-3.7054888,40.4218322
FUE_01_0043,Centro,https://wikidata.org/entity/Q1763376,"CALLE DEL ALMENDRO, 3",EN SERVICIO,-3.709017,40.4128691
FUE_01_0044,Centro,https://wikidata.org/entity/Q1763376,"CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR",FUERA DE SERVICIO,-3.7086386,40.4157493
FUE_01_0045,Centro,https://wikidata.org/entity/Q1763376,JARDINES ARQUITECTO RIBERA,EN SERVICIO,-3.6996383,40.4258724
FUE_01_0046,Centro,https://wikidata.org/entity/Q1763376,CALLE ARENAL Nº 18,EN SERVICIO,-3.7068608,40.4173694
FUE_01_0047,Centro,https://wikidata.org/entity/Q1763376,PLAZA DE LAVAPIES,EN SERVICIO,-3.7010206,40.4089076
FUE_01_0048,Centro,https://wikidata.org/entity/Q1763376,PLAZA DEL PRINCIPE ALFONSO Nº5,EN SERVICIO,-3.7004943,40.414841
FUE_01_0049,Centro,https://wikidata.org/entity/Q1763376,PASEO DE RECOLETOS Nº 17,EN SERVICIO,-3.6924701,40.4214908
FUE_01_0051,Centro,https://wikidata.org/entity/Q1763376,"CALLE TRES CRUCES, 1",EN SERVICIO,-3.7032599,40.419109
FUE_01_0052,Centro,https://wikidata.org/entity/Q1763376,C/ AUGUSTO FIGUEROA Nº 41,EN SERVICIO,-3.6967302,40.4220373
FUE_01_0053,Centro,https://wikidata.org/entity/Q1763376,"PLAZA GUARDIAS DE CORPS, 4",EN SERVICIO,-3.7104941,40.4271838
FUE_01_0054,Centro,https://wikidata.org/entity/Q1763376,"GRAN VIA, 69",EN SERVICIO,-3.7103794,40.4229586
FUE_01_0055,Centro,https://wikidata.org/entity/Q1763376,"CABALLERO DE GRACIA, 40",EN SERVICIO,-3.6975217,40.4189242
FUE_01_0056,Centro,https://wikidata.org/entity/Q1763376,PASEO DE RECOLETOS 1,EN SERVICIO,-3.6932761,40.4198082
FUE_01_0057,Centro,https://wikidata.org/entity/Q1763376,TIRSO DE MOLINA 2,EN SERVICIO,-3.7036965,40.412335
FUE_01_0058,Centro,https://wikidata.org/entity/Q1763376,TOLEDO 40,EN SERVICIO,-3.7076008,40.4125395
FUE_01_0059,Centro,https://wikidata.org/entity/Q1763376,PLAZA PLATERIA DE MARTINEZ 3,EN SERVICIO,-3.6938653,40.4127372
FUE_01_0060,Centro,https://wikidata.org/entity/Q1763376,CALLE ALCALA 48,EN SERVICIO,-3.6948494,40.4189354
FUE_01_0061,Centro,https://wikidata.org/entity/Q1763376,CALLE HUERTAS 71,EN SERVICIO,-3.6953848,40.4131045
FUE_01_0062,Centro,https://wikidata.org/entity/Q1763376,CALLE SAN LUCAS 1,EN SERVICIO,-3.6971036,40.4238133
FUE_02_0001,Arganzuela,https://wikidata.org/entity/Q2000929,ED 3/3 MENDEZ ALVARO - DELICIAS,EN SERVICIO,-3.6848763,40.399242
FUE_02_0002,Arganzuela,https://wikidata.org/entity/Q2000929,RAMIREZ DE PRADO,EN SERVICIO,-3.6873947,40.3989978
FUE_02_0003,Arganzuela,https://wikidata.org/entity/Q2000929,Z.V. PUERTO DE  BEJAR,EN SERVICIO,-3.6865894,40.3886234
FUE_02_0005,Arganzuela,https://wikidata.org/entity/Q2000929,PARQUE DEL BRONCE PVF,EN SERVICIO,-3.6874734,40.390326
FUE_02_0007,Arganzuela,https://wikidata.org/entity/Q2000929,PARQUE DE DELICIAS,EN SERVICIO,-3.6883302,40.395487
FUE_02_0009,Arganzuela,https://wikidata.org/entity/Q2000929,PZA. LUCA DE TENA,EN SERVICIO,-3.6935279,40.4020595
FUE_02_0010,Arganzuela,https://wikidata.org/entity/Q2000929,PZA  LUCA DE TENA N º13,EN SERVICIO,-3.6940827,40.4020505
FUE_02_0012,Arganzuela,https://wikidata.org/entity/Q2000929,C/PALOS DE LA FRONTERA Nº 42,EN SERVICIO,-3.6947118,40.4029032
FUE_02_0013,Arganzuela,https://wikidata.org/entity/Q2000929,C/CANARIAS Nº 22,EN SERVICIO,-3.6950381,40.4022005
FUE_02_0014,Arganzuela,https://wikidata.org/entity/Q2000929,PZA. RUTILIO GACIS,EN SERVICIO,-3.696825,40.3942707
FUE_02_0015,Arganzuela,https://wikidata.org/entity/Q2000929,PZA. PEÑUELAS,EN SERVICIO,-3.702649,40.4010498
FUE_02_0016,Arganzuela,https://wikidata.org/entity/Q2000929,PARQUE PEÑUELAS,EN SERVICIO,-3.7052867,40.4010743
FUE_02_0017,Arganzuela,https://wikidata.org/entity/Q2000929,POL. DE YESERIAS FASES II Y III,EN SERVICIO,-3.7076552,40.3993583
FUE_02_0019,Arganzuela,https://wikidata.org/entity/Q2000929,JARDIN DEL RASTRO,EN SERVICIO,-3.7090263,40.4054215
FUE_02_0021,Arganzuela,https://wikidata.org/entity/Q2000929,JARDIN MAESTRO PADILLA,EN SERVICIO,-3.7218641,40.4043948
FUE_02_0022,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS - PASILLO VERDE,EN SERVICIO,-3.7082319,40.4026585
FUE_02_0023,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS - PASILLO VERDE,EN SERVICIO,-3.7082319,40.4026585
FUE_02_0024,Arganzuela,https://wikidata.org/entity/Q2000929,PARQUE IMPERIAL PVF,EN SERVICIO,-3.7181203,40.404843
FUE_02_0025,Arganzuela,https://wikidata.org/entity/Q2000929,MED. C/ TOLEDO,EN SERVICIO,-3.7585523,40.4020631
FUE_02_0027,Arganzuela,https://wikidata.org/entity/Q2000929,MED. C/ TOLEDO,EN SERVICIO,-3.7118895,40.4061637
FUE_02_0028,Arganzuela,https://wikidata.org/entity/Q2000929,ED 2/8 VALDELASIERRA,EN SERVICIO,-3.7049079,40.3973753
