ESTACION,MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
8,1,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,6,2021,10,03,000.3,000.3,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,7,2021,10,03,00005,00004,00004,00004,00003,00003,00003,00003,00004,00004,00004,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,8,2021,10,03,00035,00027,00020,00014,00012,00011,00010,00010,00010,00014,00014,00018,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,9,2021,10,03,00006,00012,00007,00005,00011,00014,00010,00007,00009,00015,00020,00026,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,10,2021,10,03,00013,00018,00012,00009,00014,00016,00013,00010,00012,00020,00025,00025,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,12,2021,10,03,00043,00033,00025,00019,00017,00015,00014,00015,00016,00020,00020,00028,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,14,2021,10,03,64.36,64.19,55.79,43.75,40.26,40.30,43.33,41.78,40.40,35.50,30.72,24.41,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,20,2021,10,03,001.4,001.1,000.8,000.7,000.4,000.5,000.5,000.4,000.4,000.4,000.4,000.6,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,30,2021,10,03,000.3,000.2,000.1,000.3,000.4,000.3,000.4,000.6,000.5,000.2,000.6,000.3,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
8,35,2021,10,03,000.4,000.3,000.2,000.2,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
11,7,2021,10,03,00001,00001,00002,00001,00001,00001,00001,00001,00001,00001,00002,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
