Año;Mes;Conjunto;Interior 1er  cinturón;En el 1er  cinturón;Entre 1er y 2º cinturón;En el 2er  cinturón;Entre  2º cinturón y M-30;M-30;Entre M-30 y M-40;M-40;Exterior a M-40
2021;1;1.256.393;74.730;156.336;245.694;124.815;284.763;121.532;229.084;;19.439
2021;2;1.679.471;87.692;216.794;316.431;167.985;391.636;175.112;299.229;;24.592
2021;3;1.759.087;91.020;224.400;336.439;177.010;416.263;172.148;315.432;;26.375
2021;4;1.792.404;93.416;226.234;344.172;180.541;423.275;181.425;317.344;;25.997
2021;5;2.045.884;119.160;266.690;389.193;224.524;460.850;204.013;353.684;;27.770
2021;6;1.865.638;95.163;235.135;361.688;188.613;437.599;181.476;338.675;;27.289
2021;7;1.745.562;98.560;223.691;348.275;168.194;392.413;172.713;317.407;;24.309
2020;1;2.089.662;123.979;252.751;402.912;238.212;475.504;208.241;360.727;;27.336
2020;2;2.100.511;119.812;251.478;403.145;242.096;490.721;204.690;360.623;;27.946
2020;3;1.208.089;72.526;147.075;222.018;136.463;276.375;122.115;214.518;;16.999
2020;4;493.537;27.547;57.060;80.146;56.362;112.021;51.953;100.097;;8.351
2020;5;879.359;46.987;106.302;160.166;87.279;202.421;90.235;172.454;;13.515
2020;6;1.417.039;86.743;170.021;262.240;159.561;316.029;132.068;269.274;;21.103
2020;7;1.626.887;100.050;207.675;301.234;166.239;371.313;170.304;287.521;;22.551
2020;8;1.204.839;86.230;149.446;228.749;114.669;256.775;122.256;228.559;;18.155
2020;9;1.695.207;103.455;216.830;331.825;166.541;397.789;151.980;303.692;;23.095
2020;10;1.669.370;94.327;211.330;331.679;166.488;391.859;143.201;306.715;;23.771
2020;11;1.759.492;90.699;221.128;343.444;174.242;421.637;170.558;313.471;;24.313
2020;12;1.717.157;87.318;216.419;346.631;175.525;410.775;150.379;306.283;;23.827
2019;1;2.014.450;109.734;247.874;383.059;232.154;452.101;198.198;363.924;;27.406
2019;2;2.111.581;117.076;264.029;401.341;244.479;475.109;205.721;375.926;;27.900
2019;3;2.118.285;121.196;269.820;407.452;244.400;478.034;198.725;370.585;;28.073
2019;4;2.141.767;120.195;268.455;407.798;249.735;484.976;202.247;380.106;;28.555
2019;5;2.139.252;117.080;275.160;411.948;250.026;481.983;200.824;373.054;;29.177
2019;6;2.148.382;118.268;276.335;409.238;251.671;487.298;207.692;368.998;;28.882
2019;7;2.010.936;119.818;261.472;393.449;233.816;454.507;188.223;333.845;;25.806
2019;8;1.502.398;99.375;194.211;292.110;157.408;318.996;149.372;271.028;;19.898
2019;9;2.090.558;120.669;272.483;404.074;242.693;474.367;188.492;359.879;;27.901
2019;10;2.167.229;125.386;277.042;417.418;253.601;492.317;200.005;372.528;;28.932
2019;11;2.135.911;120.565;258.787;419.500;250.129;487.574;212.601;358.584;;28.171
2019;12;2.155.380;120.986;275.678;410.829;251.454;496.389;200.672;370.637;;28.735
2018;1;2.097.808;122.005;265.399;398.520;241.114;469.215;201.014;372.416;;28.125
2018;2;2.161.276;124.810;271.589;410.967;250.104;482.300;212.400;380.911;;28.195
2018;3;2.169.820;125.726;272.174;410.928;250.408;485.155;212.825;384.354;;28.250
2018;4;2.178.533;124.242;276.149;410.056;253.945;488.675;208.205;388.126;;29.135
2018;5;2.207.129;122.957;278.417;416.459;257.663;493.726;219.469;389.013;;29.425
2018;6;2.203.174;123.766;280.889;415.405;255.022;491.587;219.433;388.376;;28.696
2018;7;2.027.411;120.636;263.698;395.909;231.674;448.407;191.840;349.396;;25.851
2018;8;1.518.041;101.474;197.820;285.143;165.647;316.093;150.850;280.420;;20.594
2018;9;2.118.775;120.639;277.821;404.229;248.852;467.503;192.523;379.037;;28.171
2018;10;2.171.434;119.702;277.069;414.643;25.378;488.179;199.673;389.310;;29.070
2018;11;2.147.727;118.410;275.366;406.953;252.355;482.988;198.155;384.718;;28.782
2018;12;2.124.272;111.607;272.078;405.427;248.266;480.457;197.618;380.112;;28.707
2017;1;2.115.067;126.074;270.450;394.787;240.076;468.957;200.626;385.826;;28.271
2017;2;2.235.329;138.448;283.747;421.589;252.582;494.453;213.211;401.712;;29.587
2017;3;2.247.535;140.460;286.529;422.556;253.461;501.428;211.340;401.571;;30.190
2017;4;2.184.235;138.455;278.017;411.297;243.906;483.223;204.929;395.058;;29.350
2017;5;2.248.822;139.287;281.864;430.562;256.626;496.817;209.743;403.779;;30.144
2017;6;2.272.777;141.816;288.956;431.147;255.107;499.185;215.259;411.314;;29.993
2017;7;2.100.178;138.664;273.975;409.954;232.082;453.022;198.909;366.965;;26.607
2017;8;1.549.122;118.644;190.600;296.129;166.427;322.186;158.218;275.870;;21.048
2017;9;2.158.149;144.010;272.910;415.650;248.940;478.235;202.650;367.578;;28.176
2017;10;2.180.872;140.472;268.589;417.883;252.567;482.507;204.136;385.784;;28.934
2017;11;2.179.638;138.390;267.598;417.632;249.947;485.765;204.766;386.319;;29.221
2017;12;2.142.279;118.492;276.652;409.202;247.214;486.908;200.193;375.350;;28.268
2016;1;2.165.305;131.638;275.749;414.852;243.193;477.251;202.472;391.856;;28.294
2016;2;2.214.596;133.933;283.272;423.789;247.562;486.180;211.839;399.332;;28.689
2016;3;2.176.946;134.170;277.097;423.571;237.333;477.383;207.729;391.702;;27.961
2016;4;2.266.398;138.020;281.646;432.241;255.708;501.061;216.325;411.928;;29.469
2016;5;2.284.640;137.494;291.330;436.586;257.621;504.434;218.307;408.967;;29.901
2016;6;2.283.203;138.881;293.338;432.622;257.485;502.628;218.690;410.305;;29.254
2016;7;2.134.960;139.194;276.025;418.244;237.513;462.122;201.695;373.169;;26.998
2016;8;1.587.887;112.721;202.748;311.289;167.517;323.032;155.928;294.048;;20.604
2016;9;2.219.167;140.811;286.837;428.129;250.096;484.614;205.292;394.629;;28.759
2016;10;2.250.691;139.712;284.920;425.960;256.032;498.039;207.095;409.121;;29.691
2016;11;2.257.422;136.692;287.253;426.193;256.278;498.512;212.849;409.952;;29.693
2016;12;2.175.137;117.641;285.979;403.550;248.770;487.281;204.473;398.246;;29.197
2015;1;2.186.502;134.486;293.008;420.891;244.225;478.311;198.936;387.059;;29.586
2015;2;2.276.544;143.986;299.484;440.858;252.246;499.602;208.125;402.037;;30.206
2015;3;2.252.769;142.493;294.613;440.203;249.604;490.314;204.760;400.524;;30.258
2015;4;2.271.683;139.345;289.823;449.331;251.935;496.037;209.919;404.794;;30.499
2015;5;2.301.420;139.868;286.455;456.232;258.159;510.861;206.456;412.315;;31.074
2015;6;2.286.793;136.915;288.929;454.642;256.535;505.219;210.438;403.728;;30.387
2015;7;2.127.950;132.953;273.136;427.151;231.735;459.882;202.200;373.743;;27.150
