PK,Name,Schedule,hasBusNear,hasMetroNear,hasCercaniasNear,hasTranviaNear,Description,Accesibility,Url,StreetName,StreetType,StreetNumber,PostalCode,Neighborhood,same_as_wikidata_neighborhood,District,same_as_wikidata_district,CoorX,CoorY,Latitude,Longitude,Telephone,Email,Public
11483771,Aparcamiento disuasorio Aviación Española,Abierto 24 horas,"Autobuses: Línea 17, 39 y N19",Metro: Aviación Española (L10),,,"Plazas:  para automóviles: 344 (de las cuales, 10 para coche eléctrico) para motocicletas: 25 para bicicletas: 10   Código del aparcamiento: 1024",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ec084bc6763c710VgnVCM1000001d4a900aRCRD,FUENTE DE LIMA,CALLE FUENTE DE LIMA,5,28024,Las Águilas,http://www.wikidata.org/entity/Q5971372,Latina,http://www.wikidata.org/entity/Q794954,4334,44706,40.383353,-3.783593,,,true
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,Horario de apertura de 6:00 h a 22:00 h los días laborables excepto los días de partido en el estadio Metropolitano,,,,,Plazas:  para automóviles: 1719 para motocicletas: 61,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=975b89a80c49e510VgnVCM1000001d4a900aRCRD,ARCENTALES,AVENIDA ARCENTALES,37,28022,Rosas,http://www.wikidata.org/entity/Q18880469,San Blas,http://www.wikidata.org/entity/Q2001937,448768,4476134,40.434154,-3.598831,,,true
11413444,Aparcamiento disuasorio Fuente de la Mora,Abierto 24 horas,Autobuses:     EMT:  150,,"Cercanias: Estación de cercanias Fuente de la Mora C1, C10",ML1,"Plazas:  para automóviles: 368 (de las cuales, 10 para coche eléctrico y 12 para coches adaptados PMR) para motocicletas: 35   Código del aparcamiento: 1626",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbb3ed735e9f9710VgnVCM1000001d4a900aRCRD,DULCE CHACON,CALLE DULCE CHACON,,28050,Valdefuentes,http://www.wikidata.org/entity/Q10388714,Hortaleza,http://www.wikidata.org/entity/Q1928529,,,40.48444286881538,-3.664502512734404,,,true
11413620,Aparcamiento disuasorio Pitis,Abierto 24 horas,"Autobuses: 64, 82",Metro: Línea 7,"Cercanias: Estación de cercanias Pitis C3, C8",,"Plazas:  para automóviles: 402 (de las cuales, 10 para coche eléctrico y 12 para coches adaptados PMR) para motocicletas: 34   Código del aparcamiento: 828",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1642e9887f9f9710VgnVCM2000001f4a900aRCRD,GLORIA FUERTES,CALLE GLORIA FUERTES,,28049,Fuentelarreina,http://www.wikidata.org/entity/Q10286156,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,,,40.494192950973726,-3.727236000896534,,,true
13470,Aparcamiento mixto. Arquitecto Ribera,,,,,,Plazas: 318 públicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD,BARCELO,CALLE BARCELO,2,28004,Justicia,http://www.wikidata.org/entity/Q1992319,Centro,http://www.wikidata.org/entity/Q1763376,440764,4475560,40.426687899755734,-3.6996173701222492,,,false
59060,Aparcamiento mixto. Avenida de América (intercambiador),,,,,,"Información sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de América, 9 Tiene aseos accesibles Plazas para minusválidos    Plazas: 269 públicas y 392 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD,PRADENA DEL RINCON,CALLE PRADENA DEL RINCON,4,28002,Prosperidad,http://www.wikidata.org/entity/Q4776,Chamartín,http://www.wikidata.org/entity/Q1766348,442725,4476896,40.43886083125741,-3.6766217383743345,917 376 257,intercambiador@intercambiador.net,false
5898885,Aparcamiento mixto. Avenida de Portugal,Horario de apertura de 6:00 h a 22:00 h los días laborables.,,,,,"Plazas: 432 públicas y 437 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada Tiene ascensor de salida a Avenida de Portugal, s/n 1 aseo accesible (nivel-3) Plazas para minusválidos residentes: 20   Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c313e26f2b3fc210VgnVCM2000000c205a0aRCRD,PORTUGAL,AVENIDA PORTUGAL,155,28011,Barrio de Puerta del Ángel,http://www.wikidata.org/entity/Q31142,Latina,http://www.wikidata.org/entity/Q794954,437399,4473658,40.411180021966345,-3.7378318857463158,917 877 292 (grúa municipal),aparcamientos@madridmovilidad.es,true
13475,Aparcamiento mixto. Brasil,,,,,,Plazas: 226 públicas y 400 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD,GENERAL YAG&amp;Uuml;E,CALLE GENERAL YAG&amp;Uuml;E,11,28020,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,Tetuán,http://www.wikidata.org/entity/Q1773540,441255,4478822,40.45610834965894,-3.694131675088486,,,false
183747,Aparcamiento mixto. Casino de la Reina,,,,,,Plazas: 135 públicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD,CASINO,CALLE CASINO,3,28005,Embajadores,http://www.wikidata.org/entity/Q2449844,Centro,http://www.wikidata.org/entity/Q1763376,440213,4473147,40.406792648617134,-3.7046086019457167,,,false
13477,Aparcamiento mixto. Condesa de Gavia,,,,,,Plazas: 73 públicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD,CONDESA DE GAVIA,PLAZA CONDESA DE GAVIA,0,28020,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,Tetuán,http://www.wikidata.org/entity/Q1773540,440479,4477874,40.44938567948415,-3.7019164121880888,,,false
24103,Aparcamiento mixto. Corazón de María II,,,,,,Plazas: 327 públicas y 750 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada No tiene ascensor de salida a calle 2 aseos accesibles (1&amp;ordf; planta)  Plazas para minusválidos residentes: 6    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b74e6545f951c010VgnVCM2000000c205a0aRCRD,CORAZON DE MARIA,CALLE CORAZON DE MARIA,46,28002,Prosperidad,http://www.wikidata.org/entity/Q4776,Chamartín,http://www.wikidata.org/entity/Q1766348,443554,4477507,40.444421820483264,-3.666902094780133,915 563 165 / 915 195 280,aparcamientocorazondemaria@grupocogesa.es,false
