Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S000047;01/01/2021;11:38;CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL;-;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02
2021S000142;04/01/2021;11:30;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;14
2021S000142;04/01/2021;11:30;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;14
2021S000142;04/01/2021;11:30;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;14
2021S000142;04/01/2021;11:30;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;06
2021S000225;04/01/2021;10:40;PASEO. PRADO / PLAZA. MURILLO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2021S000204;05/01/2021;16:35;PLAZA EMPERADOR V; Nº11;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;
2021S000391;11/01/2021;22:45;CALL. MIGUEL SERVET;13;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Hombre;01
2021S000393;11/01/2021;14:15;CALL. SAN DALMACIO;39;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 60 A 64 AÑOS;Mujer;01
2021S000511;16/01/2021;18:50;AVDA. CIUDAD DE BARCELONA;144;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;03
2021S000669;17/01/2021;20:45;PASEO. SANTA MARIA DE LA CABEZA / PASEO. ESPERANZA;-;ARGANZUELA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Mujer;01
2021S000675;18/01/2021;22:42;RONDA. VALENCIA;5;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01
2021S000806;22/01/2021;23:25;CALL. BRAVO MURILLO;97;CHAMBERÍ;Caída;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S000853;23/01/2021;22:00;CALL. SANTA ENGRACIA;33;CHAMBERÍ;Colisión fronto-lateral;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Hombre;07
2021S000933;23/01/2021;11:40;PASEO. YESERIAS / CALL. MELILLA;-;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S000898;24/01/2021;15:35;CALL. ALMIRANTE / PASEO. RECOLETOS;-;CENTRO;Colisión fronto-lateral;;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;
2021S000931;24/01/2021;1:30;PLAZA. CANOVAS DEL CASTILLO;5;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S000931;24/01/2021;1:30;PLAZA. CANOVAS DEL CASTILLO;5;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 60 A 64 AÑOS;Mujer;07
2021S000957;25/01/2021;19:20;CALL. JORGE JUAN / CALL. CASTELLO;-;SALAMANCA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Hombre;06
2021S001084;26/01/2021;23:10;CALL. GRAN VIA;66;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DESCONOCIDA;;
2021S001066;26/01/2021;22:30;CALL. ARENAL / CALL. DONADOS;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 18 A 20 AÑOS;Hombre;01
2021S001062;26/01/2021;20:25;CALL. PRINCIPE DE VERGARA;113;CHAMARTÍN;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 35 A 39 AÑOS;Mujer;07
2021S001043;26/01/2021;7:25;GTA. SANTA MARIA DE LA CABEZA / GTA. EMBAJADORES;-;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;06
