NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Contenedor de ropa Puerto de la Cruz Verde ,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Puerto de la Cruz Verde,Número,,2,Arganzuela,441692.88,4470660.84
Contenedor de ropa Puerto Bejar 14,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Puerto Bejar,Número,14,2,Arganzuela,441626.3,4471034.3
Contenedor de ropa Bronce 32,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Bronce,Número,32,2,Arganzuela,441417.6,4471046
Contenedor de ropa Teniente Coronel Noreña 49,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Teniente Coronel Noreña,Número,49,2,Arganzuela,441278.7,4470976
Contenedor de ropa Ricardo Damas 4,Contenedor de ropa,"Instalación Deportiva Municipal Básica ""Ricardo Damas""",,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Ricardo Damas,Número,4,2,Arganzuela,441260.37,4470773.85
Contenedor de ropa Molino 19,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Paseo,Molino,Número,19,2,Arganzuela,441230.1,4471276.1
Contenedor de ropa Antracita 14,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Antracita,Número,14,2,Arganzuela,441577.3,4471387.7
Contenedor de ropa Parroco Eusebio Cuenca 44,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Parroco Eusebio Cuenca,Número,44,2,Arganzuela,441530.2,4471883.2
Contenedor de ropa Alicante 14,Contenedor de ropa,"Centro Deportivo Municipal Arganzuela ""La Fundi""",,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Alicante,Número,14,2,Arganzuela,441334.8,4471754.8
Contenedor de ropa Del  Granito 6,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Del  Granito,Número,6,2,Arganzuela,441142.4,4471568.7
Contenedor de ropa Delicias 123,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Paseo,Delicias,Número,123,2,Arganzuela,441044.1,4471590.6
Contenedor de ropa Paseo de la Chopera - Reloj 10,Contenedor de ropa,"Junta Municipal Distrito ""Casa del Reloj""",Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Paseo,Paseo de la Chopera - Reloj,Número,10,2,Arganzuela,440670.1,4471725.6
Contenedor de ropa Jaime El Conquistador 33,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Jaime El Conquistador,Número,33,2,Arganzuela,440743.4,4471768.4
Contenedor de ropa Fernando Poo 44,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Fernando Poo,Número,44,2,Arganzuela,440571.7,4471949.5
Contenedor de ropa Delicias 38,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Paseo,Delicias,Número,38,2,Arganzuela,441120.7,4472157.2
Contenedor de ropa Embajadores 124,Contenedor de ropa,Vía Pública,,"Ropa y calzado usados
Bolsos, cinturones y complementos de vestir
Muñecos de peluche",Calle,Embajadores,Número,124,2,Arganzuela,440718.1,4472322.5
