COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;DIRECCIONHORARIO
;Contenedor de ropa;;;;Calle  Puerto de la Cruz Verde ,  esquina calle Puerto de Miravete;esquina calle Puerto de Miravete;;;Calle;;Puerto de la Cruz Verde ;número;;;;2;Arganzuela;441692,88;4470660,84;403.845.000.160.118;-368.694.128.893.409;;;Calle  Puerto de la Cruz Verde ,  esquina calle Puerto de Miravete 
;Contenedor de ropa;;;;Calle  Puerto Bejar , 14 frente;frente;;;Calle;;Puerto Bejar ;número;14;;;2;Arganzuela;441626,3;4471034,3;403.878.596.868.337;-368.775.986.303.264;;;Calle  Puerto Bejar , 14 frente 
;Contenedor de ropa;;;;Calle  Bronce , 32 esquina calle Embajadores;esquina calle Embajadores;;;Calle;;Bronce ;número;32;;;2;Arganzuela;441417,6;4471046;403.879.504.368.629;-369.021.967.689.308;;;Calle  Bronce , 32 esquina calle Embajadores 
;Contenedor de ropa;;;;Calle  Teniente Coronel Noreña , 49 ;;;;Calle;;Teniente Coronel Noreña ;número;49;;;2;Arganzuela;441278,7;4470976;403.873.100.598.576;-369.184.963.534.151;;;Calle  Teniente Coronel Noreña , 49  
;Contenedor de ropa;;;;Calle  Ricardo Damas, 4 ;;"Instalación Deportiva Municipal Básica ""Ricardo Damas""";;Calle;;Ricardo Damas;número;4;;;2;Arganzuela;441260,37;4470773,85;403.854.876.910.624;-369.204.694.375.639;;;Calle  Ricardo Damas, 4  
;Contenedor de ropa;;;;Paseo  Molino , 19 ;;;;Paseo;;Molino ;número;19;;;2;Arganzuela;441230,1;4471276,1;403.900.100.946.791;-369.244.988.511.658;;;Paseo  Molino , 19  
;Contenedor de ropa;;;;Calle  Antracita , 14 ;;;;Calle;;Antracita ;número;14;;;2;Arganzuela;441577,3;4471387,7;403.910.398.711.294;-368.836.955.671.932;;;Calle  Antracita , 14  
;Contenedor de ropa;;;;Calle  Parroco Eusebio Cuenca , 44 ;;;;Calle;;Parroco Eusebio Cuenca ;número;44;;;2;Arganzuela;441530,2;4471883,2;403.955.002.960.187;-368.896.997.111.207;;;Calle  Parroco Eusebio Cuenca , 44  
;Contenedor de ropa;;;;Calle  Alicante , 14 ;;"Centro Deportivo Municipal Arganzuela ""La Fundi""";;Calle;;Alicante ;número;14;;;2;Arganzuela;441334,8;4471754,8;403.943.298.598.878;-369.126.044.942.258;;;Calle  Alicante , 14  
;Contenedor de ropa;;;;Calle  Del  Granito , 6 ;;;;Calle;;Del  Granito ;número;6;;;2;Arganzuela;441142,4;4471568,7;40.392.639.798.735;-369.351.016.904.421;;;Calle  Del  Granito , 6  
;Contenedor de ropa;;;;Paseo  Delicias , 123 ;;;;Paseo;;Delicias ;número;123;;;2;Arganzuela;441044,1;4471590,6;403.928.301.334.359;-369.467.036.974.546;;;Paseo  Delicias , 123  
;Contenedor de ropa;;;;Paseo  Paseo de la Chopera - Reloj, 10 ;;"Junta Municipal Distrito ""Casa del Reloj"" ";;Paseo;;Paseo de la Chopera - Reloj;número;10;;;2;Arganzuela;440670,1;4471725,6;40.394.019.726.768;-36.990.894.344.816;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Paseo  Paseo de la Chopera - Reloj, 10  Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.
;Contenedor de ropa;;;;Calle  Jaime El Conquistador, 33 ;;;;Calle;;Jaime El Conquistador;número;33;;;2;Arganzuela;440743,4;4471768,4;403.944.105.095.216;-36.982.297.776.378;;;Calle  Jaime El Conquistador, 33  
;Contenedor de ropa;;;;Calle  Fernando Poo , 44 ;;;;Calle;;Fernando Poo ;número;44;;;2;Arganzuela;440571,7;4471949,5;40.396.029.717.341;-370.026.970.405.517;;;Calle  Fernando Poo , 44  
;Contenedor de ropa;;;;Paseo  Delicias , 38 ;;;;Paseo;;Delicias ;número;38;;;2;Arganzuela;441120,7;4472157,2;403.979.397.813.361;-369.382.025.496.439;;;Paseo  Delicias , 38  
;Contenedor de ropa;;;;Calle  Embajadores , 124 ;;;;Calle;;Embajadores ;número;124;;;2;Arganzuela;440718,1;4472322,5;403.994.003.257.314;-36.985.794.600.477;;;Calle  Embajadores , 124  
;Contenedor de ropa;;;;Calle  Del Ferrocarril , 25 ;;;;Calle;;Del Ferrocarril ;número;25;;;2;Arganzuela;440878,96;4472468,89;40.400.730.517.688;-369.669.760.949.369;;;Calle  Del Ferrocarril , 25  
;Contenedor de ropa;;;;Calle  Palos de la Frontera , 42 ;;;;Calle;;Palos de la Frontera ;número;42;;;2;Arganzuela;441104,4;4472669,1;40.402.550.087.876;-369.405.967.498.256;;;Calle  Palos de la Frontera , 42  
;Contenedor de ropa;;;;Paseo  Santa María de la Cabeza , 33 ;;;;Paseo;;Santa María de la Cabeza ;número;33;;;2;Arganzuela;440945;4472900,1;404.046.197.627.249;-369.595.943.731.644;;;Paseo  Santa María de la Cabeza , 33  
;Contenedor de ropa;;;;Paseo  Santa María de la Cabeza, 3 ;;;;Paseo;;Santa María de la Cabeza;número;3;;;2;Arganzuela;441130,1;4473130,7;404.067.102.332.167;-369.379.952.762.466;;;Paseo  Santa María de la Cabeza, 3  
;Contenedor de ropa;;;;Calle  General Lacy , 14 ;;;;Calle;;General Lacy ;número;14;;;2;Arganzuela;441414,1;4472886,5;404.045.303.882.056;-369.043.025.380.567;;;Calle  General Lacy , 14  
;Contenedor de ropa;;;;Calle  Ancora , 22 ;;;;Calle;;Ancora ;número;22;;;2;Arganzuela;441328,5;4472676,2;40.402.629.869.628;-36.914.195.886.158;;;Calle  Ancora , 22  
;Contenedor de ropa;;;;Calle  Canarias , 54 ;;;;Calle;;Canarias ;número;54;;;2;Arganzuela;441465;4472560,8;40.401.599.893.594;-368.980.049.097.715;;;Calle  Canarias , 54  
;Contenedor de ropa;;;;Calle  Bustamante , 26 esquina calle Villa del Prado;esquina calle Villa del Prado;;;Calle;;Bustamante ;número;26;;;2;Arganzuela;441695,44;4472412,35;404.002.787.453.193;-368.707.148.049.293;;;Calle  Bustamante , 26 esquina calle Villa del Prado 
;Contenedor de ropa;;;;Calle  Ramírez de Prado , 7 frente;frente;;;Calle;;Ramírez de Prado ;número;7;;;2;Arganzuela;441706,6;4472411,3;404.002.700.676.939;-368.693.988.185.138;;;Calle  Ramírez de Prado , 7 frente 
;Contenedor de ropa;;;;Calle  Mendez Alvaro  , 62 ;;;;Calle;;Mendez Alvaro  ;número;62;;;2;Arganzuela;442159;4471980,4;403.964.198.342.583;-368.156.993.142.487;;;Calle  Mendez Alvaro  , 62  
;Contenedor de ropa;;;;Calle  Mendez Alvaro  , 74 ;;;;Calle;;Mendez Alvaro  ;número;74;;;2;Arganzuela;442357,3;4471721,4;403.941.003.682.319;-367.920.997.202.497;;;Calle  Mendez Alvaro  , 74  
;Contenedor de ropa;;;;Calle  Estrella Denébola, 5 ;;Punto Limpio Fijo;;Calle;;Estrella Denébola;número;5;;;2;Arganzuela;441979,2;4471772;403.945.299.470.293;-368.366.947.449.796;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Estrella Denébola, 5  Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.
;Contenedor de ropa;;;;Paseo  Yeserias , 41 ;;;;Paseo;;Yeserias ;número;41;;;2;Arganzuela;440033,4;4472143,6;40.397.739.681.068;-370.663.055.393.406;;;Paseo  Yeserias , 41  
;Contenedor de ropa;;;;Calle  Arganda , 38 ;;;;Calle;;Arganda ;número;38;;;2;Arganzuela;440027,3;4472437,9;404.003.904.413.033;-370.673.015.265.747;;;Calle  Arganda , 38  
;Contenedor de ropa;;;;Paseo  Esperanza , 47 ;;;;Paseo;;Esperanza ;número;47;;;2;Arganzuela;440358,7;4472278,7;403.989.800.902.596;-37.028.102.346.393;;;Paseo  Esperanza , 47  
;Contenedor de ropa;;;;Calle  Ribera de Curtidores, 30 frente;frente;;;Calle;;Ribera de Curtidores;número;30;;;2;Arganzuela;440377,9;4472552,7;404.014.497.939.391;-370.260.966.034.203;;;Calle  Ribera de Curtidores, 30 frente 
;Contenedor de ropa;;;;Calle  Embajadores , 75 ;;;;Calle;;Embajadores ;número;75;;;2;Arganzuela;440533,9;4472746,9;404.032.104.000.578;-370.078.956.928.545;;;Calle  Embajadores , 75  
;Contenedor de ropa;;;;Calle  Martín de Vargas , 1 ;;;;Calle;;Martín de Vargas ;número;1;;;2;Arganzuela;440353,3;4472883,7;404.044.298.437.659;-370.293.055.228.994;;;Calle  Martín de Vargas , 1  
;Contenedor de ropa;;;;Calle  Ronda de Toledo , 36 ;;;;Calle;;Ronda de Toledo ;número;36;;;2;Arganzuela;440193,7;4472974,9;404.052.399.687.293;-370.481.985.768.237;;;Calle  Ronda de Toledo , 36  
;Contenedor de ropa;;;;Paseo  Esperanza , 8 ;;;;Paseo;;Esperanza ;número;8;;;2;Arganzuela;440075,1;4472678,4;404.025.604.244.978;-370.618.954.842.203;;;Paseo  Esperanza , 8  
;Contenedor de ropa;;;;Calle  Arganda, 18 frente;frente;"Centro Deportivo Municipal ""Peñuelas""";;Calle;;Arganda;número;18;;;2;Arganzuela;440177,7;4472243,5;403.986.500.082.276;-370.493.966.967.206;;;Calle  Arganda, 18 frente 
;Contenedor de ropa;;;;Paseo  Juan Antonio Vallejo - Nájera Botas, 31 ;;;;Paseo;;Juan Antonio Vallejo - Nájera Botas;número;31;;;2;Arganzuela;439756,6;4472649,8;404.022.797.986.108;-370.993.995.669.054;;;Paseo  Juan Antonio Vallejo - Nájera Botas, 31  
;Contenedor de ropa;;;;Calle  Melilla , 10 ;;;;Calle;;Melilla ;número;10;;;2;Arganzuela;439734,2;4472612,3;404.019.403.595.757;-371.020.036.055.038;;;Calle  Melilla , 10  
;Contenedor de ropa;;;;Calle  Carmen Cobeña , 3 ;;;;Calle;;Carmen Cobeña ;número;3;;;2;Arganzuela;439684,5;4472547,2;404.013.503.088.011;-37.107.798.375.855;;;Calle  Carmen Cobeña , 3  
;Contenedor de ropa;;;;Paseo  Imperial , 87 ;;;;Paseo;;Imperial ;número;87;;;2;Arganzuela;439296;4472570,3;404.015.301.725.565;-371.535.992.873.238;;;Paseo  Imperial , 87  
;Contenedor de ropa;;;;Calle  Toledo , 171 ;;;;Calle;;Toledo ;número;171;;;2;Arganzuela;439480,3;4472688,7;404.026.101.916.917;-371.319.948.120.218;;;Calle  Toledo , 171  
;Contenedor de ropa;;;;Calle  Toledo , 122 ;;;;Calle;;Toledo ;número;122;;;2;Arganzuela;439551,8;4473042,2;404.057.998.811.019;-371.239.051.767.261;;;Calle  Toledo , 122  
;Contenedor de ropa;;;;Paseo  Olmos , 4 ;;;;Paseo;;Olmos ;número;4;;;2;Arganzuela;439647,5;4473010,4;404.055.203.545.856;-371.125.974.668.742;;;Paseo  Olmos , 4  
;Contenedor de ropa;;;;Paseo  Pontones , 14 ;;;;Paseo;;Pontones ;número;14;;;2;Arganzuela;439148,04;4472902,84;404.045.150.481.517;-371.713.520.937.777;;;Paseo  Pontones , 14  
;Contenedor de ropa;;;;Paseo  Pontones, 19 ;;;;Paseo;;Pontones;número;19;;;2;Arganzuela;439085,6;4472893,9;404.044.299.465.237;-371.787.014.915.836;;;Paseo  Pontones, 19  
;Contenedor de ropa;;;;Paseo  Melancolicos , 43 ;;;;Paseo;;Melancolicos ;número;43;;;2;Arganzuela;438877,8;4473008,8;404.054.497.890.516;-372.032.990.258.772;;;Paseo  Melancolicos , 43  
;Contenedor de ropa;;;;Paseo  Imperial , 20 ;;"Centro Deportivo Municipal ""Marqués de Samaranch""";;Paseo;;Imperial ;número;20;;;2;Arganzuela;439131,8;4473247,7;404.076.205.190.029;-371.735.956.468.061;;;Paseo  Imperial , 20  
;Contenedor de ropa;;;;Paseo  Imperial , 12 ;;;;Paseo;;Imperial ;número;12;;;2;Arganzuela;439094,9;4473405,6;404.090.402.555.524;-371.780.952.815.947;;;Paseo  Imperial , 12  
;Contenedor de ropa;;;;Paseo  Melancolicos , 1 ;;;;Paseo;;Melancolicos ;número;1;;;2;Arganzuela;438981,7;4473469,8;404.096.103.083.867;-3.719.149.726.622;;;Paseo  Melancolicos , 1  
;Contenedor de ropa;;;;Calle  Juan Duque , 25 ;;;;Calle;;Juan Duque ;número;25;;;2;Arganzuela;438963,1;4473684,2;404.115.403.565.067;-37.193.894.929.356;;;Calle  Juan Duque , 25  
;Contenedor de ropa;;;;Paseo  Virgen del Puerto , 59 esquina calle Mármol;esquina calle Mármol;;;Paseo;;Virgen del Puerto ;número;59;;;2;Arganzuela;438732,94;4472984,62;40.405.221.317.126;-372.203.463.296.194;;;Paseo  Virgen del Puerto , 59 esquina calle Mármol 
;Contenedor de ropa;;;;Paseo  Virgen Puerto , 11 ;;;;Paseo;;Virgen Puerto ;número;11;;;2;Arganzuela;438838,9;4473860,6;404.131.203.294.681;-372.087.017.928.945;;;Paseo  Virgen Puerto , 11  
;Contenedor de ropa;;;;Calle  Plomo, 5 frente;frente;;;Calle;;Plomo;número;5;;;2;Arganzuela;441475,06;4471471,93;403.917.914.831.513;-368.958.186.402.113;;;Calle  Plomo, 5 frente 
;Contenedor de ropa;;;;Calle  Bolivar, 13 ;;;;Calle;;Bolivar;número;13;;;2;Arganzuela;441313,07;4471543,41;403.924.240.156.067;-369.149.699.891.048;;;Calle  Bolivar, 13  
;Contenedor de ropa;;;;Calle  Sebastian El Cano, 12 frente;frente;;;Calle;;Sebastian El Cano;número;12;;;2;Arganzuela;440603,37;4472877,29;404.043.899.768.886;-36.999.831.124.976;;;Calle  Sebastian El Cano, 12 frente 
;Contenedor de ropa;;;;Calle  Moratines, 15 ;;;;Calle;;Moratines;número;15;;;2;Arganzuela;440334,71;4472715,06;404.029.093.195.379;-370.313.380.984.292;;;Calle  Moratines, 15  
;Contenedor de ropa;;;;Calle  Embajadores, 157 ;;;;Calle;;Embajadores;número;157;;;2;Arganzuela;440967,89;4471922;403.958.101.598.255;-369.559.900.148.618;;;Calle  Embajadores, 157  
;Contenedor de ropa;;;;Calle  Estrella Denébola, 8 ;;;;Calle;;Estrella Denébola;número;8;;;2;Arganzuela;441884,44;4471905,47;403.957.257.103.119;-368.479.815.417.192;;;Calle  Estrella Denébola, 8  
;Contenedor de ropa;;;;Calle  Planeta Tierra esq c/ Nereida, 4 ;;;;Calle;;Planeta Tierra esq c/ Nereida;número;4;;;2;Arganzuela;442347,32;4471516,79;403.922.564.371.395;-367.930.903.631.078;;;Calle  Planeta Tierra esq c/ Nereida, 4  
;Contenedor de ropa;;;;Calle  Ronda de Segovia, 20 ;;;;Calle;;Ronda de Segovia;número;20;;;2;Arganzuela;439205,67;4473333,88;404.084.022.658.617;-371.649.727.062.726;;;Calle  Ronda de Segovia, 20  
;Contenedor de ropa;;;;Calle  Cobos de Segovia, 5 ;;;;Calle;;Cobos de Segovia;número;5;;;2;Arganzuela;438994,83;4473082,99;404.061.267.101.504;-371.895.790.937.641;;;Calle  Cobos de Segovia, 5  
;Contenedor de ropa;;;;Calle  Juan Antonio Vallejo - Nájera Botas, 59 ;;;;Calle;;Juan Antonio Vallejo - Nájera Botas;número;59;;;2;Arganzuela;439306,57;4472832,76;404.038.953.062.841;-371.526.040.234.224;;;Calle  Juan Antonio Vallejo - Nájera Botas, 59  
;Contenedor de ropa;;;;Paseo  de la Chopera   , 21 ;;;;Paseo;;de la Chopera   ;número;21;;;2;Arganzuela;440571,7;4471949,5;40.396.029.717.341;-370.026.970.405.517;;;Paseo  de la Chopera   , 21  
;Contenedor de ropa;;;;Paseo  Santa María de la Cabeza, 3 ;;;;Paseo;;Santa María de la Cabeza;número;3;;;2;Arganzuela;441130,1;4473130,7;404.067.102.332.167;-369.379.952.762.466;;;Paseo  Santa María de la Cabeza, 3  
;Contenedor de ropa;;;;Calle  Embajadores, 75 ;;;;Calle;;Embajadores;número;75;;;2;Arganzuela;440526,81;4472747,39;4.040.321.430.782;-370.087.316.259.507;;;Calle  Embajadores, 75  
;Contenedor de ropa;;;;Calle  Fray Luis de León, 11 ;;;;Calle;;Fray Luis de León;número;11;;;2;Arganzuela;440750,72;4472859,89;404.042.437.278.898;-369.824.511.075.042;;;Calle  Fray Luis de León, 11  
;Contenedor de ropa;;;;Paseo  Melancolicos , 23 frente;frente;;;Paseo;;Melancolicos ;número;23;;;2;Arganzuela;438873,41;4473081,3;404.061.025.797.881;-372.038.859.845.266;;;Paseo  Melancolicos , 23 frente 
;Contenedor de ropa;;;;calle  Embajadores, 294 frente;frente;;;calle;;Embajadores;número;294;;;2;Arganzuela;441525,55;4470735,27;403.851.587.953.557;-368.891.937.211.073;;;calle  Embajadores, 294 frente 
;Contenedor de ropa;;;;calle  Algete, 2 ;;;;calle;;Algete;número;2;;;2;Arganzuela;441061,33;4471172,72;403.890.668.685.762;-369.442.869.485.523;;;calle  Algete, 2  
;Contenedor de ropa;;;;Paseo  Chopera, 39 ;;;;Paseo;;Chopera;número;39;;;2;Arganzuela;440620,45;4471795,56;403.946.464.241.659;-369.968.094.698.343;;;Paseo  Chopera, 39  
;Contenedor de ropa;;;;Paseo  Alameda de Osuna, 65 ;;;;Paseo;;Alameda de Osuna;número;65;;;21;Barajas;449896,4;4478683,83;404.573;-359.093;;;Paseo  Alameda de Osuna, 65  
;Contenedor de ropa;;;;Plaza  Navio, 4 ;;Centro Integrado Teresa De Calcuta;;Plaza;;Navio;número;4;;;21;Barajas;450182,68;4478453,34;404.552;-358.754;;;Plaza  Navio, 4  
;Contenedor de ropa;;;;Calle  Pinos de Osuna, 7 ;;;;Calle;;Pinos de Osuna;número;7;;;21;Barajas;449741,76;4478132,11;404.533;-359.271;;;Calle  Pinos de Osuna, 7  
;Contenedor de ropa;;;;Calle  Balandro, 37 esq calle Batel;esq calle Batel;Mercado de Alameda de Osuna;;Calle;;Balandro;número;37;;;21;Barajas;449929,8;4478353,9;404.544;-359.051;;;Calle  Balandro, 37 esq calle Batel 
;Contenedor de ropa;;;;Avenida de Logroño, 235 ;;Centro Deportivo Municipal de Barajas;;Avenida;de;Logroño;número;235;;;21;Barajas;4501940,22;4479293,55;404.628;-358.746;Lunes a Viernes 08:30 a 21:00. Sábados, domingos y festivos 08:30 a 14:30;;Avenida de Logroño, 235  Lunes a Viernes 08:30 a 21:00. Sábados, domingos y festivos 08:30 a 14:30
;Contenedor de ropa;;;;Avenida  General, 34 ;;Hiber;;Avenida;;General;número;34;;;21;Barajas;450757,51;4480198,11;40.470.306;-3.580.859;;;Avenida  General, 34  
;Contenedor de ropa;;;;Plaza  Mayor de Barajas, 11 ;;;;Plaza;;Mayor de Barajas;número;11;;;21;Barajas;451072,5;4480605,33;40.473.993;-3.577.175;;;Plaza  Mayor de Barajas, 11  
;Contenedor de ropa;;;;Calle de la  Botica, 7 ;;Centro Cultural Villa de Barajas;;Calle;de la ;Botica;número;7;;;21;Barajas;450961,99;4480468,1;404.744;-35.785;Lunes a Viernes  9:00 a 14:00 y de 17:00 a 19:00;;Calle de la  Botica, 7  Lunes a Viernes  9:00 a 14:00 y de 17:00 a 19:00
;Contenedor de ropa;;;;Calle de Ayerbe, 22 ;;Mercadillo en la vía pública de la calle Ayerbe ;;Calle;de;Ayerbe;número;22;;;21;Barajas;451050,39;4480271,45;40.470.984;-357.741;;;Calle de Ayerbe, 22  
;Contenedor de ropa;;;;Avenida de Logroño, 132 ;;;;Avenida;de;Logroño;número;132;;;21;Barajas;450698,8;4480461,14;40.472.672;-3.581.572;;;Avenida de Logroño, 132  
