NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Arganzuela,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,ESTRELLA DENEBOLA,Número,5,2,ARGANZUELA,442110,4471943
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Barajas,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,ALHAURIN,Número,5,21,BARAJAS,450367,4480523
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Carabanchel,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,CIDRO,Número,5,11,CARABANCHEL,436678,4468888
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Chamartín,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",AVENIDA,ALFONSO XIII,Número,128,5,CHAMARTIN,443493,4478903
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Ciudad Lineal,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",AVENIDA,DAROCA,Número,104,15,CIUDAD LINEAL,446583,4474581
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Fuencarral - El Pardo,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,UBEDA,Número,6,8,FUENCARRAL-EL PARDO,439385,4481739
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Hortaleza,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,TOMAS REDONDO,Número,8,16,HORTALEZA,446782,4480121
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Latina,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",AVENIDA,ANGEL SANZ BRIZ,Número,4,10,LATINA,437528,4472442
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moncloa - Aravaca,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",PASEO,SENDA DEL REY,Número,0,9,MONCLOA-ARAVACA,437223,4478185
Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moratalaz,Punto Limpio Fijo,Vía pública,De lunes a sábados de 8 a 20 horas. Domingos y festivos de 9 a 14 horas. Los días 24 y 31 de diciembre de 9 a 14 horas. Cerrado días 25 de diciembre y 1 y 6 de enero.,"Aceite vegetal de cocina (producción doméstica)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (10 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (50 unidades)
Cintas de video (50 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) 
Envases  (producción doméstica)
Envases contaminados (producción doméstica)
Baterías de automovil (2 unidades)
Pintura y disolventes (5 Kg)
Aceite mineral o sintético de motor (10 Litros)
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades
Neumáticos de bicicleta: 3 unidades
Tapones de plástico de recipientes domésticos.
Metales (producción doméstica)
Vidrio  (producción doméstica)
Papel y cartón (producción doméstica)
Cristal plano de ventanas, cuadros, vitrocerámicas o espejos
Frigoríficos y aires acondicionados (1 unidad)
Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)
Maderas (hasta 150 Kg)
Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños)
Restos de poda (producción doméstica)
Termómetros (2 unidades)
Medicamentos y sus envases (1 Kg)
Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad
Porexpán  de grandes embalajes domésticos.",CALLE,ARROYO DE LA MEDIA LEGUA,Número,72,14,MORATALAZ,444742,4473981
