NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Punto Limpio de Proximidad Galileo 39,Punto Limpio de Proximidad,Centro Cultural Galileo *,Lunes a Viernes 8:30 a 21:30. Sábados y Domingos 9:30 a 20:30.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Galileo,Número,39,7,Chamberí,439737.14,4476140.05
Punto Limpio de Proximidad Concejo de Teverga 1,Punto Limpio de Proximidad,Centro Cultural Lope de Vega *,Lunes a Viernes 9:00 a 13:30 y de 17:00 a 19:00.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Concejo de Teverga,Número,1,13,Puente Vallecas,442995.89,4470873.96
Punto Limpio de Proximidad Princesa de Éboli 29,Punto Limpio de Proximidad,Centro Cultural Sanchinarro *,Lunes a Viernes 9:00 a 22:00. Sábados y Domingos 10:00 a 22:00.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Princesa de Éboli,Número,29,16,Hortaleza,444462.27,4482376.5
Punto Limpio de Proximidad Monseñor Oscar Romero 41,Punto Limpio de Proximidad,Centro Deportivo Municipal La Mina *,Lunes a Viernes 9:00 a 20:30. Sábados y Domingos  9:00 a 14:30.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Monseñor Oscar Romero,Número,41,11,Carabanchel,436628.76,4470466.57
Punto Limpio de Proximidad Puerto de Reinosa 2,Punto Limpio de Proximidad,Instalación Deportiva Básica Virgen de la Torre *,Lunes a Viernes 17:00 a 21:00. Sábados y Domingos 9:00 a 18:00.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Puerto de Reinosa,Número,2,18,Villa de Vallecas,447619.64,4469935.59
Punto Limpio de Proximidad Moncloa 1,Punto Limpio de Proximidad,Junta Municipal de Distrito de Moncloa-Aravaca *,Lunes a Jueves 8:30 a 15:00. Viernes 8:30 a 14:00. Sábados y Domingos cerrado,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Plaza,Moncloa,Número,1,9,Moncloa-Aravaca,439054.11,4476324.29
Punto Limpio de Proximidad Alameda 15,Punto Limpio de Proximidad,Medialab-Prado *,Lunes 16:00 a 21:00. Martes a Viernes 10:00 a 21:00. Sábados 11:00 a 21:00.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Alameda,Número,15,1,Centro,441152.05,4473553.45
Punto Limpio de Proximidad Barceló 4,Punto Limpio de Proximidad,Parque Jardines Arquitecto Ribera *,"Todos los días, 24 horas. Situado en vía pública","Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Barceló,Número,4,1,Centro,440719.17,4475360.72
Punto Limpio de Proximidad Zarza 20,Punto Limpio de Proximidad,Oficina auxiliar Atención a la Ciudadanía de Aravaca *,"Lunes a Viernes 8:30 a 14:00. Cerrado el mes de agosto, los sábados y los días 24 y 31 de diciembre","Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Zarza,Número,20,9,Moncloa-Aravaca,433370.48,4478937
Punto Limpio de Proximidad Casino 3,Punto Limpio de Proximidad,Parque Casino de la Reina *,Lunes a Viernes 8:30 a 21:30. Sábados 10:00 a 15:00 y de 16:00 a 21:30.,"Aceite vegetal de cocina (5 Litros)
Ropa y calzado usado (producción doméstica)
Cápsulas de café (producción doméstica)
Radiografías (50 unidades)
Aerosoles (5 unidades)
Pilas alcalinas, salinas y baterías usadas (producción doméstica)
Cartuchos de tinta y tóner (4 unidades)
Bombillas de bajo consumo y tubos fluorescentes (3 unidades)
CD´s, DVD´s, casetes... y sus embalajes (20 unidades)
Cintas de video (20 unidades)
Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",Calle,Casino,Número,3,1,Centro,440177.22,4473143.78
