NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Contenedor de Aceite Estrella Denébola 5,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Estrella Denébola,Número,5,21,Arganzuela,442002.3,4471733.89
Contenedor de Aceite Alfonso XIII (Entrada junto gasolinera) 128,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Alfonso XIII (Entrada junto gasolinera),Número,128,5,Chamartín,443406.0,4478883.97
Contenedor de Aceite Daroca 104,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Daroca,Número,104,15,Ciudad Lineal,446492.29,4474351.57
Contenedor de Aceite Tomas Redondo 8,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Tomas Redondo,Número,8,16,Hortaleza,446787.13,4480107.77
Contenedor de Aceite Ángel Sanz Briz 4,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Ángel Sanz Briz,Número,4,10,Latina,437576.84,4472480.74
Contenedor de Aceite Senda Del Rey 20,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Paseo,Senda Del Rey,Número,20,9,Moncloa - Aravaca,437241.29,4478163.57
Contenedor de Aceite Arroyo de la Media Legua 72,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Arroyo de la Media Legua,Número,72,14,Moratalaz,444743.35,4473976.82
Contenedor de Aceite José Paulete 43,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,José Paulete,Número,43,13,Puente de Vallecas,444457.54,4471703.42
Contenedor de Aceite San Romualdo 20,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,San Romualdo,Número,20,20,San Blas - Canillejas,447149.39,4476848.66
Contenedor de Aceite Cristo de la Victoria 245,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Cristo de la Victoria,Número,245,12,Usera,439780.29,4470024.57
Contenedor de Aceite Sepiolita 6,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Sepiolita,Número,6,19,Vicálvaro,449197.47,4473082.5
Contenedor de Aceite Luis I 36,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Luis I,Número,36,18,Villa de Vallecas,445357.98,4469698.39
Contenedor de Aceite Bascuñuelos 3,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Bascuñuelos,Número,3,17,Villaverde,439669.92,4465584.15
Contenedor de Aceite Úbeda 6,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Úbeda,Número,6,8,Fuencarral - El Pardo,439270.21,4481531.53
Contenedor de Aceite Alhaurín 5,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Alhaurín,Número,5,21,Barajas,450379.25,4480535.38
Contenedor de Aceite Cidro 5,Contenedor de Aceite,Vía Pública,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Cidro,Número,5,11,Carabanchel,436684.01,4468898.8
Contenedor de Aceite San Miguel 7,Contenedor de Aceite,Mercado de San Miguel,"Todos los días, 24 horas.",Aceite vegetal de cocina,Plaza,San Miguel,Número,7,1,Centro,439829,4474082
