COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;SITUADO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;DIR_HORIO
;contenedor de aceite;;;;Calle  Estrella Denébola, 5;;;Punto Limpio Fijo;;Calle;;Estrella Denébola;número;5;;;21;Arganzuela;442002,30;4471733,89;40.39418;-3.6833972;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Estrella Denébola, 5 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Avenida  Alfonso XIII (Entrada junto gasolinera), 128;;;Punto Limpio Fijo;;Avenida;;Alfonso XIII (Entrada junto gasolinera);número;128;;;05;Chamartin;443406,00;4478883,97;40.458687;-3.6674913;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Avenida  Alfonso XIII (Entrada junto gasolinera), 128 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Avenida  Daroca, 104;;;Punto Limpio Fijo;;Avenida;;Daroca;número;104;;;15;Ciudad Lineal;446492,29;4474351,57;40.418065;-3.6307143;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Avenida  Daroca, 104 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Tomas Redondo, 8;;;Punto Limpio Fijo;;Calle;;Tomas Redondo;número;8;;;16;Hortaleza;446787,13;4480107,77;40.469937;-3.6277195;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Tomas Redondo, 8 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Avenida  Ángel Sanz Briz , 4 (junto entrada Selur);(junto entrada Selur);;Punto Limpio Fijo;;Avenida;;Ángel Sanz Briz ;número;4;;;10;Latina;437576,84;4472480,74;40,40059616;-3,73560889571633;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Avenida  Ángel Sanz Briz , 4 (junto entrada Selur) (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Paseo  Senda Del Rey, 20;;;Punto Limpio Fijo;;Paseo;;Senda Del Rey;número;20;;;09;Moncloa - Aravaca;437241,29;4478163,57;40.451758;-3.740127;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Paseo  Senda Del Rey, 20 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Arroyo de la Media Legua, 72;;;Punto Limpio Fijo;;Calle;;Arroyo de la Media Legua;número;72;;;14;Moratalaz;444743,35;4473976,82;40.414572;-3.6512965;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Arroyo de la Media Legua, 72 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  José Paulete, 43;;;Punto Limpio Fijo;;Calle;;José Paulete;número;43;;;13;Puente de Vallecas;444457,54;4471703,42;40.394077;-3.6544689;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  José Paulete, 43 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  San Romualdo, 20;;;Punto Limpio Fijo;;Calle;;San Romualdo;número;20;;;20;San Blas - Canillejas;447149,39;4476848,66;40.440601;-3.6231781;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  San Romualdo, 20 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Cristo de la Victoria, 245;;;Punto Limpio Fijo;;Calle;;Cristo de la Victoria;número;245;;;12;Usera;439780,29;4470024,57;40.378626;-3.7094159;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Cristo de la Victoria, 245 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
