NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
CA-Estrella-Denebola-5,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Estrella Denebola,Numero,5,21,Arganzuela,442002.3,4471733.89
CA-Alfonso-XIII-(Entrada-junto-gasolinera)-128,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Alfonso XIII (Entrada junto gasolinera),Numero,128,5,Chamartin,443406.0,4478883.97
CA-Daroca-104,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Daroca,Numero,104,15,Ciudad Lineal,446492.29,4474351.57
CA-Tomas-Redondo-8,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Tomas Redondo,Numero,8,16,Hortaleza,446787.13,4480107.77
CA-Angel-Sanz-Briz-4,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Angel Sanz Briz,Numero,4,10,Latina,437576.84,4472480.74
CA-Senda-Del-Rey-20,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Paseo,Senda Del Rey,Numero,20,9,Moncloa - Aravaca,437241.29,4478163.57
CA-Arroyo-de-la-Media-Legua-72,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Arroyo de la Media Legua,Numero,72,14,Moratalaz,444743.35,4473976.82
CA-Jose-Paulete-43,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Jose Paulete,Numero,43,13,Puente de Vallecas,444457.54,4471703.42
CA-San-Romualdo-20,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,San Romualdo,Numero,20,20,San Blas - Canillejas,447149.39,4476848.66
CA-Cristo-de-la-Victoria-245,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Cristo de la Victoria,Numero,245,12,Usera,439780.29,4470024.57
CA-Sepiolita-6,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Sepiolita,Numero,6,19,Vicalvaro,449197.47,4473082.5
CA-Luis-I-36,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Luis I,Numero,36,18,Villa de Vallecas,445357.98,4469698.39
CA-Bascuñuelos-3,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Bascuñuelos,Numero,3,17,Villaverde,439669.92,4465584.15
CA-Ubeda-6,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Ubeda,Numero,6,8,Fuencarral - El Pardo,439270.21,4481531.53
CA-Alhaurin-5,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Alhaurin,Numero,5,21,Barajas,450379.25,4480535.38
CA-Cidro-5,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Cidro,Numero,5,11,Carabanchel,436684.01,4468898.8
CA-San-Miguel-7,Contenedor de Aceite,Mercado de San Miguel,Todos los dias 24 horas.,Aceite vegetal de cocina,Plaza,San Miguel,Numero,7,1,Centro,439829,4474082
CA-Campillo-del-Mundo-Nuevo-8,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Plaza,Campillo del Mundo Nuevo,Numero,8,1,Centro,439839,4473128
CA-Arganda-12,Contenedor de Aceite,Biblioteca Municipal Pio Baroja,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Arganda,Numero,12,2,Arganzuela,439915,4472452
CA-Santa-Maria-de-la-Cabeza-45,Contenedor de Aceite,Mercado Municipal,Todos los dias 24 horas.,Aceite vegetal de cocina,Paseo,Santa Maria de la Cabeza,Numero,45,2,Arganzuela,440757,4472644
