ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
1,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,USERA,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
2,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,USERA,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
3,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,HORTALEZA,Choque contra obstáculo fijo,Conductor,DE 21 A 24 AÑOS,Hombre,0
4,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,HORTALEZA,Choque contra obstáculo fijo,Pasajero,DE 6 A 9 AÑOS,Mujer,14
5,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,HORTALEZA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
6,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,HORTALEZA,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
7,2021S000116,2021-01-01T22:40:00Z,CALL. RAMON ARECES / AUTOV. M-30,0,MORATALAZ,Choque contra obstáculo fijo,Conductor,DE 40 A 44 AÑOS,Hombre,0
8,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,PUENTE DE VALLECAS,Alcance,Conductor,DE 25 A 29 AÑOS,Hombre,14
9,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,PUENTE DE VALLECAS,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,2
10,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,CIUDAD LINEAL,Colisión lateral,Conductor,DE 21 A 24 AÑOS,Hombre,7
11,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,CIUDAD LINEAL,Colisión lateral,Conductor,DE 35 A 39 AÑOS,Hombre,14
12,2021S000163,2021-01-01T18:50:00Z,CALL. MENDEZ ALVARO,83,ARGANZUELA,Choque contra obstáculo fijo,Conductor,DE 65 A 69 AÑOS,Hombre,14
13,2021S000163,2021-01-01T18:50:00Z,CALL. MENDEZ ALVARO,83,ARGANZUELA,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Mujer,14
14,2021S000037,2021-01-01T14:36:00Z,CALL. CAPITAN BLANCO ARGIBAY,210,TETUAN,Colisión lateral,Conductor,DE 25 A 29 AÑOS,Mujer,0
15,2021S000037,2021-01-01T14:36:00Z,CALL. CAPITAN BLANCO ARGIBAY,210,TETUAN,Colisión lateral,Conductor,DESCONOCIDA,Desconocido,0
16,2021S000133,2021-01-01T13:30:00Z,AVDA. MONFORTE DE LEMOS,189,FUENCARRAL - EL PARDO,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Hombre,0
17,2021S000133,2021-01-01T13:30:00Z,AVDA. MONFORTE DE LEMOS,189,FUENCARRAL - EL PARDO,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,0
18,2021S000018,2021-01-01T12:30:00Z,CALL. COBALTO / CALL. SARGENTO BARRIGA,0,VILLAVERDE,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Mujer,14
19,2021S000409,2021-01-01T11:50:00Z,AVDA. PUERTA DE HIERRO,5,MONCLOA - ARAVACA,Atropello a animal,Conductor,DE 45 A 49 AÑOS,Mujer,0
20,2021S000047,2021-01-01T11:38:00Z,CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL,0,MORATALAZ,Caída,Conductor,DE 45 A 49 AÑOS,Hombre,2
