MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
16686;01032-Infantil-CUESTA DE SANTO DOMINGO 16;1;CENTRO;11;PALACIO;16/07/2007;;;;11000193;INFANTIL;5;ACTIVO
16670;01017-Infantil-CALLE GRAN VIA DE SAN FRANCISCO 9;1;CENTRO;11;PALACIO;01/01/2004;;;;31024773;INFANTIL;22;ACTIVO
16671;01018-Infantil-CALLE VENTOSA;1;CENTRO;11;PALACIO;01/01/2004;;;;31041624;INFANTIL;10;ACTIVO
16667;01014-Infantil-CALLE DE ALGECIRAS;1;CENTRO;11;PALACIO;01/01/2004;;;;31002275;INFANTIL;9;ACTIVO
16668;01015-Infantil-CALLE CUESTA DE LOS CIEGOS 2;1;CENTRO;11;PALACIO;01/01/2004;;;;31040708;INFANTIL;25;ACTIVO
16665;01012-Infantil-PARQUE DE ATENAS;1;CENTRO;11;PALACIO;01/01/2004;;;;31047537;INFANTIL;4;ACTIVO
16663;01010-Infantil-PARQUE DE ATENAS;1;CENTRO;11;PALACIO;01/01/2004;PASEO;VIRGEN DEL PUERTO;3 B;31044315;INFANTIL;26;ACTIVO
16672;01019-Infantil-CALLE ROSARIO;1;CENTRO;11;PALACIO;01/01/2004;;;;31041105;INFANTIL;17;ACTIVO
16664;01011-Infantil-PARQUE DE ATENAS;1;CENTRO;11;PALACIO;01/01/2004;;;;31044315;INFANTIL;18;ACTIVO
16687;01033-Infantil-CUESTA DE SANTO DOMINGO 22;1;CENTRO;11;PALACIO;16/07/2007;;;;20003768;INFANTIL;5;ACTIVO
16693;01039-Infantil-CALLE MINISTRILES 19;1;CENTRO;12;EMBAJADORES;12/01/2011;CALLE;MINISTRILES CHICA;1;20004678;INFANTIL;8;ACTIVO
16689;01035-Infantil- PLAZA LAVAPIES;1;CENTRO;12;EMBAJADORES;21/12/2007;;;;20004788;INFANTIL;14;ACTIVO
16669;01016-Infantil-PLAZA PUERTA DE TOLEDO;1;CENTRO;12;EMBAJADORES;01/01/2004;;;;31009298;INFANTIL;14;ACTIVO
16679;01025-Infantil-PLAZA CAMPILLO DEL MUNDO NUEVO;1;CENTRO;12;EMBAJADORES;01/01/2004;PLAZA;CAMPILLO DEL MUNDO NUEVO;3 B;31035660;INFANTIL;9;ACTIVO
16676;01022-Infantil-PLAZA ARTURO BAREA;1;CENTRO;12;EMBAJADORES;01/01/2004;;;;11002132;INFANTIL;22;ACTIVO
16684;01030-Infantil-PARQUE CASINO REINA;1;CENTRO;12;EMBAJADORES;24/04/2007;;;;11002264;INFANTIL;35;ACTIVO
5132777;01045-Infantil-PARQUE CASINO REINA (PEQUEÑA);1;CENTRO;12;EMBAJADORES;03/06/2019;CALLE;CASINO;5;11002264;INFANTIL;12;ACTIVO
5133174;01046-Infantil-PARQUE CASINO REINA (TOBOGANES);1;CENTRO;12;EMBAJADORES;03/06/2019;CALLE;CASINO;16 B;31009380;INFANTIL;6;ACTIVO
16674;01020-Infantil-PLAZA NELSON MANDELA;1;CENTRO;12;EMBAJADORES;17/05/2007;CALLE;AMPARO;28;11002104;INFANTIL;13;ACTIVO
16685;01031-Infantil-PLAZA TIRSO DE MOLINA;1;CENTRO;12;EMBAJADORES;01/01/2004;;;;11001682;INFANTIL;17;ACTIVO
16677;01023-Infantil-PLAZA SANTA ANA 8;1;CENTRO;13;CORTES;28/06/2007;;;;11003717;INFANTIL;6;ACTIVO
16678;01024-Infantil-PLAZA SANTA ANA;1;CENTRO;13;CORTES;28/06/2007;;;;11003874;INFANTIL;5;ACTIVO
16680;01027-Infantil- PASEO PRADO 6;1;CENTRO;13;CORTES;01/01/2004;;;;31047833;INFANTIL;15;ACTIVO
16682;01029-Infantil-CALLE HUERTAS 70;1;CENTRO;13;CORTES;28/06/2007;;;;11003476;INFANTIL;7;ACTIVO
7127775;01047-Infantil- ALAMEDA 15;1;CENTRO;13;CORTES;15/06/2020;CALLE;ALAMEDA;15;31041444;INFANTIL;6;ACTIVO
16692;01038-Infantil-PLAZA SANTA BARBARA;1;CENTRO;14;JUSTICIA;15/04/2011;PLAZA;SANTA BARBARA;8;11005154;INFANTIL;5;ACTIVO
52031;01042-Infantil-PLAZA VILLA DE PARIS;1;CENTRO;14;JUSTICIA;20/06/2007;;;;20103450;INFANTIL;11;ACTIVO
16661;01009-Infantil-PLAZA DE LA VILLA DE PARIS;1;CENTRO;14;JUSTICIA;20/06/2007;;;;20128851;INFANTIL;19;ACTIVO
16666;01013-Infantil_PLAZA PEDRO ZEROLO;1;CENTRO;14;JUSTICIA;30/09/2004;;;;11004540;INFANTIL;5;ACTIVO
