ID_BARRIO,DISTRITO,BARRIO,AREA
60,CENTRO,PALACIO,1469905.684
50,CENTRO,EMBAJADORES,1033724.698
55,CENTRO,CORTES,591874.1219
64,CENTRO,JUSTICIA,739414.338
66,CENTRO,UNIVERSIDAD,948027.0773
56,CENTRO,SOL,445300.8221
49,ARGANZUELA,IMPERIAL,967678.602
40,ARGANZUELA,ACACIAS,1073437.937
31,ARGANZUELA,CHOPERA,567786.5291
24,ARGANZUELA,LEGAZPI,1414470.497
32,ARGANZUELA,DELICIAS,1054679.159
42,ARGANZUELA,PALOS DE MOGUER,648442.3062
44,ARGANZUELA,ATOCHA,735680.5995
41,RETIRO,PACIFICO,758250.3574
39,RETIRO,ADELFAS,640789.3292
57,RETIRO,ESTRELLA,1025524.32
59,RETIRO,IBIZA,491968.9088
58,RETIRO,JERONIMOS,1906397.625
52,RETIRO,NINO JESUS,643280.6232
65,SALAMANCA,RECOLETOS,873144.6521
62,SALAMANCA,GOYA,770293.6532
67,SALAMANCA,FUENTE DEL BERRO,852575.7519
80,SALAMANCA,GUINDALERA,1602789.629
71,SALAMANCA,LISTA,520214.543
73,SALAMANCA,CASTELLANA,773385.1981
90,CHAMARTIN,EL VISO,1709232.753
92,CHAMARTIN,PROSPERIDAD,1040058.18
91,CHAMARTIN,CIUDAD JARDIN,762309.5546
97,CHAMARTIN,HISPANOAMERICA,1712523.615
105,CHAMARTIN,NUEVA ESPANA,1790094.356
117,CHAMARTIN,CASTILLA,2161263.419
96,TETUAN,BELLAS VISTAS,715169.6587
94,TETUAN,CUATRO CAMINOS,1185033.992
102,TETUAN,CASTILLEJOS,704681.2648
110,TETUAN,ALMENARA,999367.231
109,TETUAN,VALDEACEDERAS,1163408.913
100,TETUAN,BERRUGUETE,607063.3868
77,CHAMBERI,GAZTAMBIDE,506477.7286
76,CHAMBERI,ARAPILES,578229.6215
75,CHAMBERI,TRAFALGAR,611878.1102
74,CHAMBERI,ALMAGRO,937940.695
82,CHAMBERI,RIOS ROSAS,975419.8536
83,CHAMBERI,VALLEHERMOSO,1069239.038
129,FUENCARRAL - EL PARDO,EL PARDO,1.875833774E8
122,FUENCARRAL - EL PARDO,FUENTELAREINA,1382643.627
120,FUENCARRAL - EL PARDO,PENAGRANDE,2887271.929
119,FUENCARRAL - EL PARDO,PILAR,1363211.522
121,FUENCARRAL - EL PARDO,LA PAZ,2154754.781
127,FUENCARRAL - EL PARDO,VALVERDE,8981228.485
126,FUENCARRAL - EL PARDO,MIRASIERRA,6992795.517
128,FUENCARRAL - EL PARDO,EL GOLOSO,2.649308714E7
89,MONCLOA - ARAVACA,CASA DE CAMPO,1.746061737E7
70,MONCLOA - ARAVACA,ARGUELLES,757530.9266
113,MONCLOA - ARAVACA,CIUDAD UNIVERSITARIA,1.425085324E7
108,MONCLOA - ARAVACA,VALDEZARZA,1397455.733
111,MONCLOA - ARAVACA,VALDEMARIN,3302462.343
114,MONCLOA - ARAVACA,EL PLANTIO,3528175.095
103,MONCLOA - ARAVACA,ARAVACA,5834041.441
45,LATINA,CARMENES,1291998.544
53,LATINA,PUERTA DEL ANGEL,1375298.049
47,LATINA,LUCERO,1678995.603
33,LATINA,ALUCHE,2849809.707
30,LATINA,CAMPAMENTO,9191379.465
9,LATINA,CUATRO VIENTOS,5430118.612
21,LATINA,AGUILAS,3609602.617
29,CARABANCHEL,COMILLAS,666096.1285
26,CARABANCHEL,OPANEL,1107286.044
36,CARABANCHEL,SAN ISIDRO,1899332.06
19,CARABANCHEL,VISTA ALEGRE,1589225.482
16,CARABANCHEL,PUERTA BONITA,1608625.387
8,CARABANCHEL,BUENAVISTA,5613180.402
15,CARABANCHEL,ABRANTES,1564570.609
6,USERA,ORCASITAS,1356362.732
12,USERA,ORCASUR,1387349.575
10,USERA,SAN FERMIN,1475399.064
17,USERA,ALMENDRALES,780140.8801
25,USERA,MOSCARDO,908787.6515
13,USERA,ZOFIO,774025.5366
14,USERA,PRADOLONGO,1095651.854
20,PUENTE DE VALLECAS,ENTREVIAS,5971941.777
27,PUENTE DE VALLECAS,SAN DIEGO,1069868.7
23,PUENTE DE VALLECAS,PALOMERAS BAJAS,1723868.314
22,PUENTE DE VALLECAS,PALOMERAS SURESTE,3108597.48
28,PUENTE DE VALLECAS,PORTAZGO,1245260.691
38,PUENTE DE VALLECAS,NUMANCIA,1849069.192
34,MORATALAZ,PAVONES,1009652.016
48,MORATALAZ,HORCAJO,745946.3219
51,MORATALAZ,MARROQUINA,1790050.431
54,MORATALAZ,MEDIA LEGUA,998967.7103
43,MORATALAZ,FONTARRON,964573.8875
46,MORATALAZ,VINATEROS,593977.2816
68,CIUDAD LINEAL,VENTAS,3198035.685
72,CIUDAD LINEAL,PUEBLO NUEVO,2319216.423
78,CIUDAD LINEAL,QUINTANA,723117.3281
81,CIUDAD LINEAL,CONCEPCION,885910.7502
84,CIUDAD LINEAL,SAN PASCUAL,1052724.597
93,CIUDAD LINEAL,SAN JUAN BAUTISTA,1010844.475
99,CIUDAD LINEAL,COLINA,559698.965
104,CIUDAD LINEAL,ATALAYA,248882.7483
118,CIUDAD LINEAL,COSTILLARES,1427246.848
95,HORTALEZA,PALOMAS,1129769.724
98,HORTALEZA,PIOVERA,3139649.512
106,HORTALEZA,CANILLAS,2522508.915
115,HORTALEZA,PINAR DEL REY,2664766.715
116,HORTALEZA,APOSTOL SANTIAGO,1205069.875
125,HORTALEZA,VALDEFUENTES,1.675799681E7
5,VILLAVERDE,VILLAVERDE ALTO. CASCO HISTORICO DE VILLAVERDE,9253553.841
1,VILLAVERDE,SAN CRISTOBAL,1082492.472
2,VILLAVERDE,BUTARQUE,6375521.776
4,VILLAVERDE,LOS ROSALES,1540746.761
3,VILLAVERDE,LOS ANGELES,1935271.49
11,VILLA DE VALLECAS,CASCO HISTORICO DE VALLECAS,4.304588611E7
18,VILLA DE VALLECAS,SANTA EUGENIA,2080233.339
7,VILLA DE VALLECAS,ENSANCHE DE VALLECAS,6341118.962
130,VICALVARO,CASCO HISTORICO DE VICALVARO,2.149422032E7
37,VICALVARO,VALDEBERNARDO,2555072.515
35,VICALVARO,VALDERRIVAS,643168.463
131,VICALVARO,EL CANAVERAL,1.057425179E7
79,SAN BLAS - CANILLEJAS,SIMANCAS,2276342.64
69,SAN BLAS - CANILLEJAS,HELLIN,550556.0793
63,SAN BLAS - CANILLEJAS,AMPOSTA,370249.9945
61,SAN BLAS - CANILLEJAS,ARCOS,1305194.038
86,SAN BLAS - CANILLEJAS,ROSAS,9296501.191
88,SAN BLAS - CANILLEJAS,REJAS,5015732.122
85,SAN BLAS - CANILLEJAS,CANILLEJAS,1597706.227
87,SAN BLAS - CANILLEJAS,SALVADOR,1880110.04
101,BARAJAS,ALAMEDA DE OSUNA,1970335.16
124,BARAJAS,AEROPUERTO,2.962607871E7
112,BARAJAS,CASCO HISTORICO DE BARAJAS,549393.8312
123,BARAJAS,TIMON,5094466.328
107,BARAJAS,CORRALEJOS,4682537.436
