PROVINCIA,CÓDIGO PROVINCIA,AYUNTAMIENTO,CÓDIGO AYUNTAMIENTO,PLAYA,UBICACIÓN,LONGITUD PLAYA,TIPO PLAYA,TIPO DE ARENA,LATITUD,LONGITUD,MÁS INFORMACIÓN
"Coruña, A",15,Arteixo,15005,A Salsa,,20,Praia resgardada,Cantos rodados,43.320555,-8.525277,http://www.turgalicia.es/ficha-recurso?cod_rec=268679921
"Coruña, A",15,Arteixo,15005,Area Grande ou Valcovo,Valcovo - Arteixo (Santiago),300,Praia aberta,Fina,43.315444,-8.533555,http://www.turgalicia.es/ficha-recurso?cod_rec=10268
"Coruña, A",15,Arteixo,15005,Area Pequena - A Hucha,Arteixo (Santiago),90,Praia aberta,Fina,43.317583,-8.53011,http://www.turgalicia.es/ficha-recurso?cod_rec=10267
"Coruña, A",15,Arteixo,15005,Areal das Combouzas,Barrañán (San Xián),300,Praia aberta,Fina,43.312667,-8.544277,http://www.turgalicia.es/ficha-recurso?cod_rec=10269
"Coruña, A",15,Arteixo,15005,Areal do Reiro,,50,Praia aberta,Fina,43.311889,-8.559806,http://www.turgalicia.es/ficha-recurso?cod_rec=11436
"Coruña, A",15,Arteixo,15005,Barrañán,Barrañán (San Xián),1200,Praia aberta,Fina,43.311556,-8.552,http://www.turgalicia.es/ficha-recurso?cod_rec=9861
"Coruña, A",15,Arteixo,15005,Alba-Sabón,Oseiro (San Tirso),900,Praia aberta,Fina,43.327694,-8.508833,http://www.turgalicia.es/ficha-recurso?cod_rec=9859
"Coruña, A",15,Boiro,15011,A Ladeira do Chazo,O Chazo - Abanqueiro (San Cristovo),940,Praia resgardada,Fina,42.608056,-8.857111,http://www.turgalicia.es/ficha-recurso?cod_rec=268678131
"Coruña, A",15,Boiro,15011,A Retorta,A Pesqueira - Castro (Santa María),250,Praia resgardada,Grosa,42.607667,-8.865278,http://www.turgalicia.es/ficha-recurso?cod_rec=260662698
"Coruña, A",15,Boiro,15011,Barraña,Boiro (Santa Baia),3000,Praia resgardada,Fina,42.639611,-8.883889,http://www.turgalicia.es/ficha-recurso?cod_rec=9904
"Coruña, A",15,Boiro,15011,Barraña-Saltiño,Boiro (Santa Baia),620,Praia resgardada,Fina,42.639496,-8.884501,http://www.turgalicia.es/ficha-recurso?cod_rec=276130117
"Coruña, A",15,Boiro,15011,Carragueiros,"Pesqueira, A - Castro (Santa María)",1510,Praia resgardada,Grosa,42.610361,-8.869833,http://www.turgalicia.es/ficha-recurso?cod_rec=9900
"Coruña, A",15,Boiro,15011,Piñeirón,,,,,42.614845,-8.884986,
"Coruña, A",15,Carballo,15019,Pedra do Sal,,3600,Praia aberta,Fina,43.301889,-8.658278,http://www.turgalicia.es/ficha-recurso?cod_rec=268882051
"Coruña, A",15,Carballo,15019,Saíñas,,3600,Praia aberta,Fina,43.298027,-8.680305,http://www.turgalicia.es/ficha-recurso?cod_rec=268649359
"Coruña, A",15,"Coruña, A",15030,As Lapas,Paseo Marítimo,70,Praia resgardada,Grosa,43.383666,-8.40575,http://www.turgalicia.es/ficha-recurso?cod_rec=11435
"Coruña, A",15,"Coruña, A",15030,Orzán-Matadero,Orzán,600,Praia aberta,Grosa,43.371055,-8.404972,http://www.turgalicia.es/ficha-recurso?cod_rec=9856
"Coruña, A",15,"Coruña, A",15030,Riazor,Paseo Marítimo,600,Praia aberta,Grosa,43.368472,-8.411639,http://www.turgalicia.es/ficha-recurso?cod_rec=9857
"Coruña, A",15,"Coruña, A",15030,San Amaro,Adormideras,210,Praia resgardada,Fina,43.381833,-8.397055,http://www.turgalicia.es/ficha-recurso?cod_rec=9855
"Coruña, A",15,Dumbría,15034,Ézaro,O Ézaro (Santa Uxía),730,Praia aberta,Fina,42.908278,-9.129083,http://www.turgalicia.es/ficha-recurso?cod_rec=11460
"Coruña, A",15,Ferrol,15036,Doniños,Doniños (San Román),1700,Praia aberta,Fina,43.495916,-8.319194,http://www.turgalicia.es/ficha-recurso?cod_rec=10112
"Coruña, A",15,Ferrol,15036,San Xurxo,Vila da Area - San Xurxo da Mariña (San Xurxo),2100,Praia aberta,Fina,43.526222,-8.301806,http://www.turgalicia.es/ficha-recurso?cod_rec=10111
"Coruña, A",15,Ferrol,15036,Esmelle,Esmelle,160,Praia aberta,Fina,43.53425,-8.295527,http://www.turgalicia.es/ficha-recurso?cod_rec=265393177
"Coruña, A",15,Ferrol,15036,A Fragata-Paxeiral (Covas),Esmelle,161,Praia aberta,Fina,43.5385,-8.296833,http://www.turgalicia.es/ficha-recurso?cod_rec=10216
"Coruña, A",15,"Laracha, A",15041,Caión-Salseiras,Caión (Santa María do Socorro),800,Praia resgardada,Fina,43.315639,-8.610333,http://www.turgalicia.es/ficha-recurso?cod_rec=11438
"Coruña, A",15,Laxe,15040,Praia de Laxe,Laxe (Santa María),1320,Praia resgardada,Fina,43.217722,-9.001944,http://www.turgalicia.es/ficha-recurso?cod_rec=9867
"Coruña, A",15,Mañón,15044,Bares,Bares,1500,Praia resgardada,Fina,43.771944,-7.668333,http://www.turgalicia.es/ficha-recurso?cod_rec=10183
"Coruña, A",15,Mañón,15044,Esteiro,O Esteiro,185,Praia resgardada,Fina,43.749166,-7.72236,http://www.turgalicia.es/ficha-recurso?cod_rec=9851
"Coruña, A",15,Miño,15048,Grande de Miño,Miño (Santa María),1400,Praia resgardada,Fina,43.359278,-8.209444,http://www.turgalicia.es/ficha-recurso?cod_rec=10119
"Coruña, A",15,Miño,15048,Perbes,Perbes,500,Praia resgardada,Fina,43.376027,-8.214917,http://www.turgalicia.es/ficha-recurso?cod_rec=10117
"Coruña, A",15,Miño,15048,Praia da Ribeira,Miño (Santa María),700,Praia resgardada,Fina,43.351111,-8.211389,http://www.turgalicia.es/ficha-recurso?cod_rec=10242
"Coruña, A",15,Muros,15053,San Francisco,San Francisco,800,Praia resgardada,Fina,42.758833,-9.073722,http://www.turgalicia.es/ficha-recurso?cod_rec=10128
"Coruña, A",15,Oleiros,15058,Bastiagueiro,Perillo (Santa Locaia),580,Praia aberta,Fina,43.340722,-8.362361,http://www.turgalicia.es/ficha-recurso?cod_rec=10258
"Coruña, A",15,Oleiros,15058,Espiñeiro,,310,Praia resgardada,Fina,43.382777,-8.3425,http://www.turgalicia.es/ficha-recurso?cod_rec=265406054
"Coruña, A",15,Oleiros,15058,Mera-Penatouro,,178,Praia resgardada,Fina,42.295583,-8.820249,http://www.turgalicia.es/ficha-recurso?cod_rec=272074841
"Coruña, A",15,Oleiros,15058,Santa Cristina,Perillo (Santa Locaia),1800,Praia aberta,Fina,43.339777,-8.380083,http://www.turgalicia.es/ficha-recurso?cod_rec=9877
"Coruña, A",15,Ortigueira,15061,A Concha,O Porto de Espasante - Espasante (San Xoán),105,Praia aberta,Fina,43.71911,-7.809694,http://www.turgalicia.es/ficha-recurso?cod_rec=15771
"Coruña, A",15,Ortigueira,15061,Morouzos,San Martiño,2100,Praia aberta,Fina,43.703528,-7.848361,http://www.turgalicia.es/ficha-recurso?cod_rec=9848
"Coruña, A",15,"Pobra do Caramiñal, A",15067,A Illa da Laxe,"A Laxe - Xobre, O ou Maño, O (Santa María)",400,Praia resgardada,Fina,42.584639,-8.935889,http://www.turgalicia.es/ficha-recurso?cod_rec=10408
"Coruña, A",15,"Pobra do Caramiñal, A",15067,Cabío-Lombiña,"A Lombiña - Xobre, O ou Maño, O (Santa María)",600,Praia resgardada,Fina,42.587111,-8.929944,http://www.turgalicia.es/ficha-recurso?cod_rec=9914
"Coruña, A",15,Porto do Son,15071,Aguieira,Cans e Quintans,1300,Praia aberta,Fina,42.7415,-8.965889,http://www.turgalicia.es/ficha-recurso?cod_rec=10087
"Coruña, A",15,Porto do Son,15071,Cabeiro,Cabeiro - Noal (San Vicente),750,Praia aberta,Fina,42.735666,-8.991584,http://www.turgalicia.es/ficha-recurso?cod_rec=10088
"Coruña, A",15,Porto do Son,15071,Ornanda,Linteiros - Miñortos (San Martiño),330,Praia resgardada,Fina,42.767277,-8.939833,http://www.turgalicia.es/ficha-recurso?cod_rec=10362
