PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
"Coruna, A",15,Arteixo,15005,A Salsa,,20,Playa resguardada,Cantos rodados,43.320555,-8.525277,http://www.turismo.gal/ficha-recurso?cod_rec=268679921
"Coruna, A",15,Arteixo,15005,Area Grande ou Valcovo,Valcovo - Arteixo (Santiago),300,Playa abierta,Fina,43.315444,-8.533555,http://www.turismo.gal/ficha-recurso?cod_rec=10268
"Coruna, A",15,Arteixo,15005,Area Pequena - A Hucha,Arteixo - Arteixo (Santiago),90,Playa abierta,Fina,43.317583,-8.53011,http://www.turismo.gal/ficha-recurso?cod_rec=10267
"Coruna, A",15,Arteixo,15005,Areal das Combouzas,Barranan - Barranan (San Xian),300,Playa abierta,Fina,43.312667,-8.544277,http://www.turismo.gal/ficha-recurso?cod_rec=10269
"Coruna, A",15,Arteixo,15005,Areal de Barranan,Barranan - Barranan (San Xian),1200,Playa abierta,Fina,43.311556,-8.552,http://www.turismo.gal/ficha-recurso?cod_rec=9861
"Coruna, A",15,Arteixo,15005,Areal do Reiro,,50,Playa abierta,Fina,43.311889,-8.559806,http://www.turismo.gal/ficha-recurso?cod_rec=11436
"Coruna, A",15,Arteixo,15005,Sabon,Sabon - Oseiro (San Tirso),900,Playa abierta,Fina,43.327694,-8.508833,http://www.turismo.gal/ficha-recurso?cod_rec=9859
"Coruna, A",15,Bergondo,15008,Gandario,Gandario - Ouces (San Xoan),800,Playa resguardada,Fina,43.342715,-8.2424927,http://www.turismo.gal/ficha-recurso?cod_rec=10120
"Coruna, A",15,Boiro,15011,Barrana,Boiro - Boiro (Santa Baia),3000,Playa resguardada,Fina,42.639611,-8.883889,http://www.turismo.gal/ficha-recurso?cod_rec=9904
"Coruna, A",15,Boiro,15011,Barrana-Saltino,Boiro - Boiro (Santa Baia),620,Playa resguardada,Fina,42.639496,-8.884501,http://www.turismo.gal/ficha-recurso?cod_rec=276130117
"Coruna, A",15,Boiro,15011,Carragueiros,"Pesqueira, A - Castro (Santa Maria)",1510,Playa resguardada,Gruesa,42.610361,-8.869833,http://www.turismo.gal/ficha-recurso?cod_rec=9900
"Coruna, A",15,Camarinas,15016,Arou,Arou - Camelle (O Espirito Santo),400,Playa abierta,Fina,43.184723,-9.105,http://www.turismo.gal/recurso/-/detalle/10290/arou
"Coruna, A",15,Carballo,15019,Baldaio-Sainas,,3600,Playa abierta,Fina,43.298027,-8.680305,http://www.turismo.gal/ficha-recurso?cod_rec=268649359
"Coruna, A",15,Carballo,15019,Pedra do Sal,,3600,Playa abierta,Fina,43.301889,-8.658278,http://www.turismo.gal/ficha-recurso?cod_rec=268882051
"Coruna, A",15,Carballo,15019,Razo,Razo da Costa - Razo (San Martino),1300,Playa abierta,Fina,43.289696,-8.708778,http://www.turismo.gal/recurso/-/detalle/9863
"Coruna, A",15,"Coruna, A",15030,As Lapas,Paseo Maritimo,70,Playa resguardada,Gruesa,43.383666,-8.40575,http://www.turismo.gal/ficha-recurso?cod_rec=11435
"Coruna, A",15,"Coruna, A",15030,Orzan,Orzan,600,Playa abierta,Gruesa,43.371055,-8.404972,http://www.turismo.gal/ficha-recurso?cod_rec=9856
"Coruna, A",15,"Coruna, A",15030,Oza,,110,Playa resguardada,Fina,43.34675,-8.383083,http://www.turismo.gal/recurso?cod_rec=30564
"Coruna, A",15,"Coruna, A",15030,Riazor,Paseo Maritimo,600,Playa abierta,Gruesa,43.368472,-8.411639,http://www.turismo.gal/ficha-recurso?cod_rec=9857
"Coruna, A",15,"Coruna, A",15030,San Amaro,Adormideras,210,Playa resguardada,Fina,43.381833,-8.397055,http://www.turismo.gal/ficha-recurso?cod_rec=9855
"Coruna, A",15,Dumbria,15034,Ezaro,O Ezaro - O Ezaro (Santa Uxia),730,Playa abierta,Fina,42.908278,-9.129083,http://www.turismo.gal/ficha-recurso?cod_rec=11460
"Coruna, A",15,Ferrol,15036,A Fragata,Covas (San Martino),160,Playa abierta,Fina,43.5385,-8.296833,http://www.turismo.gal/ficha-recurso?cod_rec=10216
"Coruna, A",15,Ferrol,15036,Doninos,Doninos - Doninos (San Roman),1700,Playa abierta,Fina,43.495916,-8.319194,http://www.turismo.gal/ficha-recurso?cod_rec=10112
"Coruna, A",15,Ferrol,15036,Esmelle,Esmelle - Esmelle (San Xoan),160,Playa abierta,Fina,43.53425,-8.295527,http://www.turismo.gal/ficha-recurso?cod_rec=265393177
"Coruna, A",15,Ferrol,15036,San Xurxo,Vila da Area - San Xurxo da Marina (San Xurxo),2100,Playa abierta,Fina,43.526222,-8.301806,http://www.turismo.gal/ficha-recurso?cod_rec=10111
"Coruna, A",15,"Laracha, A",15041,Caion-Salseiras,Caion - Caion (Santa Maria do Socorro),800,Playa resguardada,Fina,43.315639,-8.610333,http://www.turismo.gal/ficha-recurso?cod_rec=11438
"Coruna, A",15,Laxe,15117,Laxe,Laxe (Santa Maria),1320,Playa resguardada,Fina,43.217206,-9.0029587,http://www.turismo.gal/ficha-recurso?cod_rec=9867
"Coruna, A",15,Mino,15048,Perbes,Mino,500,Playa resguardada,Fina,43.376026,-8.214917,http://www.turismo.gal/recurso/-/detalle/10117/perbes
"Coruna, A",15,Oleiros,15058,Bastiagueiro,Perillo - Perillo (Santa Locaia),580,Playa abierta,Fina,43.340722,-8.362361,http://www.turismo.gal/ficha-recurso?cod_rec=10258
"Coruna, A",15,Oleiros,15058,Espineiro,,310,Playa resguardada,Fina,43.382777,-8.3425,http://www.turismo.gal/ficha-recurso?cod_rec=265406054
"Coruna, A",15,Oleiros,15058,Mera,A Lagoa - Maianca (San Cosme),200,Playa resguardada,Fina,43.379055,-8.33775,http://www.turismo.gal/ficha-recurso?cod_rec=10254
"Coruna, A",15,Oleiros,15058,Porto Naval,A Aguieira - Dorneda (San Martino),180,Playa resguardada,Cantos rodados,43.353389,-8.346555,http://www.turismo.gal/ficha-recurso?cod_rec=11434
"Coruna, A",15,Oleiros,15058,Santa Cristina,Perillo - Perillo (Santa Locaia),1800,Playa abierta,Fina,43.339777,-8.380083,http://www.turismo.gal/ficha-recurso?cod_rec=9877
"Coruna, A",15,Ponteceso,15068,Balares,Balares - Cospindo (San Tirso),350,Playa resguardada,Fina,43.241665,-8.945277,http://www.turismo.gal/recurso/-/detalle/11448/balares
"Coruna, A",15,Ponteceso,15068,Ermida,Gondomil - Corme Aldea (Santo Adran),200,Playa resguardada,Fina,43.26389,-8.95,http://www.turismo.gal/recurso/-/detalle/10286/ermida
"Coruna, A",15,Ponteceso,15068,Osmo,O Porto de Corme - Corme Porto (Nosa Senora dos Remedios),150,Playa resguardada,Fina,43.294167,-8.902778,http://www.turismo.gal/recurso/-/detalle/10284/osmo
"Coruna, A",15,Ribeira,15073,Coroso,Santa Uxia de Ribeira,700,Playa resguardada,Fina,42.5675533,-8.9877643,http://www.turismo.gal/ficha-recurso?cod_rec=10401
Lugo,27,Barreiros,27005,Acantilado-Remior,Remior - San Cosme de Barreiros,850,Playa abierta,Fina,43.565628,-7.2278317,http://www.turismo.gal/ficha-recurso?cod_rec=10158
Lugo,27,Barreiros,27005,Coto,San Cosme - San Cosme de Barreiros,800,Playa abierta,Fina,43.564465,-7.2200447,http://www.turismo.gal/ficha-recurso?cod_rec=10157
Lugo,27,Barreiros,27005,Fontela-Balea,,700,Playa abierta,Fina,43.561422,-7.1993807,http://www.turismo.gal/ficha-recurso?cod_rec=9830
Lugo,27,Burela,27902,A Marosa,Burela (Santa Maria),300,Playa abierta,Fina,43.67486,-7.372333,http://www.turismo.gal/ficha-recurso?cod_rec=9841
Lugo,27,Burela,27902,O Portelo,Burela (Santa Maria),700,Playa resguardada,Fina,43.664399,-7.3592247,http://www.turismo.gal/ficha-recurso?cod_rec=10169
Lugo,27,Burela,27902,Ril,Burela (Santa Maria),,Playa abierta,Fina,43.671444,-7.364583,http://www.turismo.gal/ficha-recurso?cod_rec=258852442
Lugo,27,Cervo,27013,O Torno,San Cibrao - Lieiro (Santa Maria),700,Playa resguardada,Fina,43.698333,-7.438889,http://www.turismo.gal/ficha-recurso?cod_rec=10174
Lugo,27,Foz,27019,A Rapadoira,Foz - Foz (Santiago),270,Playa resguardada,Fina,43.572025,-7.248555,http://www.turismo.gal/recurso?cod_rec=9833
Lugo,27,Foz,27019,Areoura,,120,Playa resguardada,Fina,43.64,-7.344166,http://www.turismo.gal/recurso?cod_rec=11411
Lugo,27,Foz,27019,As Polas,,280,Playa abierta,Fina,43.620277,-7.318333,http://www.turismo.gal/ficha-recurso?cod_rec=10163
Lugo,27,Foz,27019,Llas,,760,Playa abierta,Fina,43.580277,-7.262778,http://www.turismo.gal/ficha-recurso?cod_rec=9836
