PROVINCIA;CÓDIGO PROVINCIA;CONCELLO;CÓDIGO CONCELLO;PRAIA;LUGAR E PARROQUIA ;LONXITUDE ;TIPO;TIPO DE AREA;COORDENADAS ;MÁIS INFORMACIÓN EN TURGALICIA
Coruña, A;15;Arteixo;15005;A Salsa;;20;Praia resgardada;Cantos rodados;43.320555,-8.525277;http://www.turismo.gal/ficha-recurso?cod_rec=268679921
Coruña, A;15;Arteixo;15005;Area Grande ou Valcovo;Valcovo - Arteixo (Santiago);300;Praia aberta;Fina;43.315444,-8.533555;http://www.turismo.gal/ficha-recurso?cod_rec=10268
Coruña, A;15;Arteixo;15005;Area Pequena - A Hucha;Arteixo - Arteixo (Santiago);90;Praia aberta;Fina;43.317583,-8.53011;http://www.turismo.gal/ficha-recurso?cod_rec=10267
Coruña, A;15;Arteixo;15005;Areal das Combouzas ;Barrañán - Barrañán (San Xián);300;Praia aberta;Fina;43.312667,-8.544277;http://www.turismo.gal/ficha-recurso?cod_rec=10269
Coruña, A;15;Arteixo;15005;Areal de Barrañán;Barrañán - Barrañán (San Xián);1200;Praia aberta;Fina;43.311556,-8.552;http://www.turismo.gal/ficha-recurso?cod_rec=9861
Coruña, A;15;Arteixo;15005;Areal do Reiro;;50;Praia aberta;Fina;43.311889,-8.559806;http://www.turismo.gal/ficha-recurso?cod_rec=11436
Coruña, A;15;Arteixo;15005;Sabón;Sabón - Oseiro (San Tirso);900;Praia aberta;Fina;43.327694,-8.508833;http://www.turismo.gal/ficha-recurso?cod_rec=9859
Coruña, A;15;Bergondo;15008;Gandarío;Gandarío – Ouces (San Xoán);800;Praia resgardada;Fina;43.342715,-8.2424927;http://www.turismo.gal/ficha-recurso?cod_rec=10120
Coruña, A;15;Boiro;15011;Barraña;Boiro - Boiro (Santa Baia);3000;Praia resgardada;Fina;42.639611,-8.883889;http://www.turismo.gal/ficha-recurso?cod_rec=9904  
Coruña, A;15;Boiro;15011;Barraña-Saltiño;Boiro - Boiro (Santa Baia);620;Praia resgardada;Fina;42.639496,-8.884501;http://www.turismo.gal/ficha-recurso?cod_rec=276130117  
Coruña, A;15;Boiro;15011;Carragueiros;Pesqueira, A - Castro (Santa María) ;1510;Praia resgardada;Grosa;42.610361,-8.869833;http://www.turismo.gal/ficha-recurso?cod_rec=9900
Coruña, A;15;Camariñas;15016;Arou;Arou - Camelle (O Espírito Santo);400;Praia aberta;Fina;43.18472300,-9.10500000;http://www.turismo.gal/recurso/-/detalle/10290/arou
Coruña, A;15;Carballo;15019;Baldaio-Saíñas;;3600;Praia aberta;Fina;43.298027,-8.680305;http://www.turismo.gal/ficha-recurso?cod_rec=268649359  
Coruña, A;15;Carballo;15019;Pedra do Sal;;3600;Praia aberta;Fina;43.301889,-8.658278;http://www.turismo.gal/ficha-recurso?cod_rec=268882051  
Coruña, A;15;Carballo;15019;Razo;Razo da Costa - Razo (San Martiño);1300;Praia aberta;Fina;43.28969600,-8.70877800;http://www.turismo.gal/recurso/-/detalle/9863
Coruña, A;15;Coruña, A;15030;As Lapas;Paseo Marítimo;70;Praia resgardada;Grosa;43.383666,-8.40575;http://www.turismo.gal/ficha-recurso?cod_rec=11435
Coruña, A;15;Coruña, A;15030;Orzán ;Orzán;600;Praia aberta;Grosa;43.371055,-8.404972;http://www.turismo.gal/ficha-recurso?cod_rec=9856
