Bus_ID,BusStation_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District,X,Y,Bus_Lines
1,OFELIA NIETO-FRANCOS RODRIGUEZ,Calle,de,Ofelia Nieto,N,5,28039,9,439802,4479051,"44, 128"
2,DR.FEDERICO RUBIO-FCO.DIEGO,Avda,del,Doctor Federico Rubio y Galí,N,67,28040,9,439532,4478792,44
3,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,Avda,del,Doctor Federico Rubio y Galí,N,82,28040,9,439579,4478530,44
4,DR.FEDERICO RUBIO-JERONIMA LLORENTE,Avda,del,Doctor Federico Rubio y Galí,N,45,28039,6,439928,4478397,"44, 127, N21"
5,DR.FEDERICO RUBIO-ABEL,Avda,del,Doctor Federico Rubio y Galí,N,21,28039,6,439938,4478216,"44, 127"
6,SAN FCO.DE SALES-GUZMAN EL BUENO,Paseo,de,San Francisco de Sales,N,33,28003,7,439623,4477308,"44, N21"
7,LAGO CALAFATE,Calle,del,Lago Calafate,N,18,28018,13,444969,4470785,310
8,GTA.PTE.GARCIA MORENO,Gta,del,Presidente García Moreno,N,2,28003,7,439473,4477679,45
9,AV.REINA VICTORIA-GRAL.I.IBERO,Avda,de la,Reina Victoria,N,39,28003,7,439827,4477777,"45, C1, F"
10,"CALLE DE MIRABEL, 3",Calle,de,Mirabel,N,4,28044,10,433789,4470000,N19
11,MARQUESADO STA.MARTA-FERNANDO MIJARES,Calle,del,Marquesado de Santa Marta,N,12,28027,20,447315,4477842,"114, N4"
12,STA.ENGRACIA-CARACAS,Calle,de,Santa Engracia,N,20,28010,7,441012,4475985,3
13,AV.NIZA-LAS MUSAS,Avda,de,Niza,N,59,28022,20,448562,4476153,"38, E2"
14,DR.GARCIA TAPIA-FTE.CARRANTONA,Avda,del,Doctor García Tapia,N,155,28030,14,446485,4473434,30
15,AV.BETANZOS-CHANTADA,Avda,de,Betanzos,N,18,28029,8,439782,4480761,42
16,INDALECIO PRIETO-LOS PINILLAS,Blvr,de,Indalecio Prieto,N,27,28032,19,447380,4472529,"8, 71, 130"
17,INDALECIO PRIETO-JUGLARES,Blvr,de,Indalecio Prieto,N,13,28032,19,447448,4472749,"8, 71, 130"
18,PZA.CORR.ALONSO AGUILAR,Avda,de,Moratalaz,N,40,28030,14,444175,4473367,20
19,JUAN ESPLANDIU Nº 9,Calle,de,Juan Esplandiu,N,18,28007,3,443907,4474597,215
20,JUAN ESPLANDIU Nº 4,Calle,de,Juan Esplandiu,N,4,28007,3,443890,4474407,215
21,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,Paseo,de,Alberto Palacios,N,84,28021,17,439255,4466328,"22, N14"
22,GASCUEÑA-FUENSAVIÑAN,Calle,de,Gascueña,N,21,28022,20,451705,4477847,77
23,DR.GARCIA TAPIA-M40,Avda,del,Doctor García Tapia,N,232,28030,14,447024,4473242,"100, N8"
24,JOAQUIN LORENZO-ISLA MALAITA,Calle,de,Joaquín Lorenzo,N,2,28035,8,438848,4480692,42
25,ISLA MALAITA-JOAQUIN LORENZO,Calle,de la,Isla Malaita,N,2,28035,8,438891,4480709,137
26,ISLA MALAITA-CESAR MANRIQUE,Calle,de la,Isla Malaita,N,10,28035,8,438935,4480830,137
27,GRAL.YAGUE-ORENSE,Calle,del,General Yagüe,N,26,28020,6,441180,4478864,126
28,AV.PABLO NERUDA-MALGRAT MAR,Avda,de,Pablo Neruda,N,2,28038,13,445669,4471747,"54, 142, 144"
29,SAN CLAUDIO-RAFAEL FERNANDEZ,Calle,de,San Claudio,S/N,S/N,28038,13,446155,4471557,54
30,CERRO DEL CASTAÑAR-MORALZARZAL,Calle,del,Cerro del Castañar,N,167,28034,8,439614,4483041,134
31,ANDALUCES-SAN CLAUDIO,Calle,de los,Andaluces,N,9,28038,13,446036,4471456,54
32,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,Ctra,de,Villaverde a Vallecas,N,33,28041,17,442127,4468163,"23, 130"
33,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,Ctra,de,Carabanchel a Villaverde,N,82,28021,17,439692,4467487,131
34,RAFAELA YBARRA-UNIDAD,Avda,de,Rafaela Ybarra,N,109,28041,12,439640,4469245,131
35,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,Avda,de las,Moreras,S/N,S/N,28040,9,439130,4478314,132
36,ALMIRANTE FCO.MORENO-MORERAS,Calle,del,Almirante Francisco Moreno,N,2,28040,9,439361,4478496,132
37,CESAR MANRIQUE-JUAN SANCHEZ,Calle,de,César Manrique,S/N,S/N,28035,8,439023,4480815,"127, 132, N21"
38,ALMIRANTE FCO.MORENO-MORERAS,Calle,del,Almirante Francisco Moreno,N,3,28040,9,439333,4478492,132
39,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,Avda,de las,Moreras,N,5,28040,9,439107,4478301,132
40,AV.MORERAS-RAMIRO DE MAEZTU,Avda,de las,Moreras,S/N,S/N,28040,9,438953,4478072,132
41,J.JOSE MTNEZ.SECO-DIAMANTE,Calle,de,Juan José Martínez Seco,N,61,28021,17,441767,4467234,"85, 123"
42,J.JOSE MTNEZ.SECO-BENITA LOPEZ,Calle,de,Juan José Martínez Seco,N,7,28021,17,441565,4467231,"85, 123"
43,VIRGEN DE LOS DESAMPARADOS-TOTANES,Calle,de la,Virgen de los Desamparados,N,4,28041,17,440759,4467209,"18, 86, 116, N14"
44,VIRGEN DE LOS DESAMPARADOS,Calle,de la,Virgen de los Desamparados,N,4,28041,17,440777,4467203,"18, 86, 116, N14"
45,ARROYO POZUELO-HINOJO,Calle,de la,Pasionaria,N,24,28023,9,434394,4478425,160
46,EMILIO RUBIN-ARTURO SORIA,Calle,de,Emilio Rubín,N,2,28033,15,444011,4479338,87
47,MONTEARAGON Nº 8,Calle,de,Montearagón,N,8,28033,16,444216,4479566,87
48,Cº DE MONTORO-Cº VIEJO DE BURGOS,Cmno,de,Montoro,N,1,28050,16,446447,4481437,"87, N2"
49,Cº DEL OLIVAR-GRAMA,Cmno,del,Olivar,N,8,28050,16,446782,4481118,87
50,GREGORIO SANCHEZ HERRAEZ,Calle,de,Gregorio Sánchez Herráez,N,14,28033,16,446137,4481189,"87, N2"
51,AV.BUCARAMANGA-GTA.CHARALA,Gta,de,Charala,S/N,S/N,28033,16,445889,4480621,87
52,GRAN VIA HORTALEZA-HARO,G.v.,de,Hortaleza,N,48,28043,16,444870,4480015,87
53,ARROYOFRESNO-AV.C.HERRERA ORIA,Calle,de,Arroyofresno,N,29,28035,8,437273,4481198,82
54,CANTALEJO-ARROYOFRESNO,Calle,de,Cantalejo,N,2,28035,8,437247,4480982,82
55,AV.MIRAFLORES-CTRA.DEHESA VILLA,Avda,de,Miraflores,N,1,28035,9,438221,4479001,"82, N20"
