Ward_ID,Ward_Name,Same_As_Wikidata_Ward,District_Name,Same_As_Wikidata_District,District_ID,Shape_Leng,Shape_Area
60,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,1,"5754,822748","1469905,684"
50,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,1,"4275,227681","1033724,698"
55,Cortes,https://wikidata.org/entity/Q2535637,Centro,https://wikidata.org/entity/Q1763376,1,"3731,07903","591874,1219"
64,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,1,"3597,421427","739414,338"
66,Universidad,https://wikidata.org/entity/Q10387767,Centro,https://wikidata.org/entity/Q1763376,1,"4060,075813","948027,0773"
56,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,1,"2719,287883","445300,8221"
49,Imperial,https://wikidata.org/entity/Q3773740,Arganzuela,https://wikidata.org/entity/Q2000929,2,"4557,937642","967678,602"
40,Las Acacias,https://wikidata.org/entity/Q3319190,Arganzuela,https://wikidata.org/entity/Q2000929,2,"3950,326025","1073437,937"
31,La Chopera,https://wikidata.org/entity/Q3773750,Arganzuela,https://wikidata.org/entity/Q2000929,2,"3203,407974","567786,5291"
24,Legazpi,https://wikidata.org/entity/Q3773990,Arganzuela,https://wikidata.org/entity/Q2000929,2,"5141,642671","1414470,497"
32,Las Delicias,https://wikidata.org/entity/Q3773736,Arganzuela,https://wikidata.org/entity/Q2000929,2,"4818,003355","1054679,159"
42,Palos de Moguer,https://wikidata.org/entity/Q521009,Arganzuela,https://wikidata.org/entity/Q2000929,2,"3647,746883","648442,3062"
44,Atocha,https://wikidata.org/entity/Q3814594,Arganzuela,https://wikidata.org/entity/Q2000929,2,"4957,686882","735680,5995"
41,Pacífico,https://wikidata.org/entity/Q3773753,Retiro,https://wikidata.org/entity/Q2002296,3,"4017,277733","758250,3574"
39,Adelfas,https://wikidata.org/entity/Q3774001,Retiro,https://wikidata.org/entity/Q2002296,3,"3584,886515","640789,3292"
57,Estrella,https://wikidata.org/entity/Q3773738,Retiro,https://wikidata.org/entity/Q2002296,3,"4441,309869","1025524,32"
59,Ibiza,https://wikidata.org/entity/Q15249910,Retiro,https://wikidata.org/entity/Q2002296,3,"2912,816977","491968,9088"
58,Jerónimos,https://wikidata.org/entity/Q10306766,Retiro,https://wikidata.org/entity/Q2002296,3,"5287,484774","1906397,625"
52,Niño Jesús,https://wikidata.org/entity/Q3773746,Retiro,https://wikidata.org/entity/Q2002296,3,"3545,833199","643280,6232"
65,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,4,"3926,67638","873144,6521"
62,Goya,https://wikidata.org/entity/Q3814578,Salamanca,https://wikidata.org/entity/Q1773521,4,"3473,084308","770293,6532"
