FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/05/2021;ES01;1-;58;73;39;37;63;203;203;265;374;468;446;770
01/05/2021;ES01;1=;1016;1041;650;815;1015;992;1170;1216;966;1115;1092;166
01/05/2021;ES01;2-;124;58;52;27;45;126;165;241;373;616;947;921
01/05/2021;ES01;2=;1181;1092;825;933;1204;1220;1311;1122;740;816;817;260
01/05/2021;ES02;1-;355;125;85;70;53;64;113;156;181;277;434;510
01/05/2021;ES02;1=;605;688;673;598;572;683;747;703;670;555;531;544
01/05/2021;ES02;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES02;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES03;1-;239;121;94;99;68;72;160;307;429;510;798;835
01/05/2021;ES03;1=;1054;1230;1224;804;671;914;1037;1007;1028;920;799;674
01/05/2021;ES03;2-;206;94;75;55;50;57;75;154;243;257;452;565
01/05/2021;ES03;2=;859;904;916;734;555;651;718;773;795;742;629;561
01/05/2021;ES04;1-;162;69;65;56;70;58;94;137;218;313;451;548
01/05/2021;ES04;1=;708;858;902;506;448;585;799;876;843;715;510;569
01/05/2021;ES04;2-;103;44;47;37;58;24;70;124;151;204;336;468
01/05/2021;ES04;2=;571;532;484;288;238;341;345;366;357;362;291;350
01/05/2021;ES05;1-;1239;404;220;199;167;154;286;433;562;843;1190;1551
01/05/2021;ES05;1=;1653;1995;1949;1716;1624;1900;1878;1950;1993;1806;2144;2402
01/05/2021;ES05;2-;285;143;112;83;103;125;353;486;580;734;920;1245
01/05/2021;ES05;2=;1509;1708;1705;1050;951;1264;1565;1620;1318;987;867;736
01/05/2021;ES06;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES06;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES06;2-;28;27;12;22;24;41;81;127;224;349;429;506
01/05/2021;ES06;2=;525;494;311;344;393;455;414;427;358;338;273;74
01/05/2021;ES07;1-;900;2333;2004;968;573;450;576;652;448;377;454;661
01/05/2021;ES07;1=;1126;1995;2194;1095;970;1611;2126;2168;1914;1530;1059;683
01/05/2021;ES07;2-;1153;2343;1705;959;538;458;669;656;434;464;554;726
01/05/2021;ES07;2=;1132;1815;1773;861;1185;1741;2162;2025;1793;1455;1017;620
01/05/2021;ES08;1-;431;197;143;132;112;96;162;247;271;390;518;535
01/05/2021;ES08;1=;333;692;820;800;792;901;886;906;828;788;716;559
01/05/2021;ES08;2-;527;197;166;134;115;143;129;208;234;324;460;399
01/05/2021;ES08;2=;18;538;764;769;654;797;794;797;886;845;831;752
01/05/2021;ES09;1-;551;228;179;142;144;162;147;242;297;467;535;750
01/05/2021;ES09;1=;92;137;906;795;735;875;921;846;738;782;785;848
01/05/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES10;2-;173;85;44;48;41;54;133;221;289;65;528;620
01/05/2021;ES10;2=;648;657;593;505;504;590;564;565;536;530;545;417
01/05/2021;ES11;1-;878;0;103;55;51;61;257;765;1285;1607;2060;2850
01/05/2021;ES11;1=;3474;3962;3963;3254;1661;1828;2486;2706;2582;2342;2060;1908
01/05/2021;ES11;2-;1297;0;138;103;73;63;119;451;802;1147;1536;1453
01/05/2021;ES11;2=;526;688;1740;1903;366;334;587;648;613;834;480;1725
01/05/2021;ES12;1-;211;120;119;115;186;357;420;590;965;1317;1635;1835
01/05/2021;ES12;1=;1988;2066;1476;1465;1818;1941;2039;1924;1675;1743;1345;492
01/05/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES13;1-;146;111;70;61;74;145;187;336;511;703;834;1477
01/05/2021;ES13;1=;1282;1270;887;871;1123;1292;1330;1253;940;937;836;256
01/05/2021;ES13;2-;155;124;89;102;90;174;219;329;535;725;1061;1348
01/05/2021;ES13;2=;1328;1406;1039;1023;1231;1353;1347;1462;1166;1348;1121;361
01/05/2021;ES14;1-;25;15;22;12;7;23;47;63;119;188;214;308
01/05/2021;ES14;1=;331;296;193;180;207;220;254;227;186;203;154;44
01/05/2021;ES14;2-;18;12;8;1;8;17;23;36;64;129;143;194
01/05/2021;ES14;2=;252;251;154;143;135;162;213;230;179;126;127;39
01/05/2021;ES15;1-;38;25;21;36;31;81;132;153;268;364;438;544
01/05/2021;ES15;1=;507;477;272;328;359;381;360;365;327;368;306;67
01/05/2021;ES15;2-;32;32;24;21;29;59;85;118;195;234;377;407
01/05/2021;ES15;2=;529;504;239;260;334;370;373;399;296;312;204;33
01/05/2021;ES16;1-;150;89;84;77;59;134;217;325;566;748;1022;1299
01/05/2021;ES16;1=;1229;1220;827;940;1142;1191;1165;1210;914;1194;1027;307
01/05/2021;ES16;2-;99;91;58;67;60;121;181;263;393;583;924;1103
01/05/2021;ES16;2=;1235;1155;702;705;919;1079;1075;1093;747;743;616;206
01/05/2021;ES17;1-;170;120;126;122;166;302;462;684;1054;1369;1975;2315
01/05/2021;ES17;1=;2705;2614;1525;1572;2157;2474;2658;2356;1712;1687;1397;359
01/05/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES18;1-;28;18;19;24;20;46;98;133;302;374;583;737
01/05/2021;ES18;1=;811;581;350;359;427;524;554;547;379;366;325;88
01/05/2021;ES18;2-;40;16;20;13;17;24;43;107;180;298;455;680
01/05/2021;ES18;2=;769;717;516;477;599;737;767;680;514;494;451;114
01/05/2021;ES19;1-;112;74;63;66;47;126;184;220;346;503;657;683
01/05/2021;ES19;1=;524;547;531;540;653;663;757;710;590;550;527;223
01/05/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES20;1-;4389;0;533;325;267;274;443;1275;2116;3006;4140;5630
01/05/2021;ES20;1=;7594;8552;8880;7757;5780;5647;7003;7370;6676;6406;5610;6785
01/05/2021;ES20;2-;3197;0;392;288;239;320;809;2234;3280;4000;5161;6374
01/05/2021;ES20;2=;7979;9138;9763;8457;5260;5569;6979;7566;7528;6734;5958;6220
01/05/2021;ES21;1-;38;24;24;21;31;59;88;199;340;481;605;716
01/05/2021;ES21;1=;803;718;426;439;543;568;629;719;550;504;471;86
01/05/2021;ES21;2-;33;35;21;29;34;79;143;222;410;605;857;1072
01/05/2021;ES21;2=;1093;954;510;516;717;861;838;855;547;468;430;95
01/05/2021;ES22;1-;281;113;94;72;70;105;149;216;260;472;579;699
01/05/2021;ES22;1=;939;951;989;657;565;734;853;882;827;683;678;682
01/05/2021;ES22;2-;424;157;115;86;75;109;120;193;280;446;596;932
01/05/2021;ES22;2=;1443;1379;1066;877;755;869;909;965;972;799;778;880
01/05/2021;ES23;1-;517;230;187;185;138;174;399;432;618;709;1072;115
01/05/2021;ES23;1=;104;1704;1680;1259;1154;1544;1903;1950;1751;1242;1053;1086
01/05/2021;ES23;2-;1296;403;270;220;189;185;311;439;496;720;1004;1214
01/05/2021;ES23;2=;565;1414;1667;1582;1545;1721;1732;1809;1921;1828;2070;2413
01/05/2021;ES24;1-;136;42;41;39;28;35;44;55;77;157;282;410
01/05/2021;ES24;1=;578;610;595;328;278;347;368;415;412;379;415;414
01/05/2021;ES24;2-;98;63;46;25;36;32;50;76;92;147;254;382
01/05/2021;ES24;2=;699;667;423;228;183;270;312;354;338;231;192;193
01/05/2021;ES25;1-;101;45;40;37;30;26;38;55;64;88;116;230
01/05/2021;ES25;1=;390;257;163;159;176;182;183;174;196;181;168;127
01/05/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/2021;ES26;1-;229;89;93;63;57;52;67;72;92;130;204;272
01/05/2021;ES26;1=;305;355;308;282;221;273;325;356;300;314;293;243
01/05/2021;ES26;2-;220;90;100;88;60;48;59;83;91;135;210;257
01/05/2021;ES26;2=;276;327;371;350;286;327;344;378;370;357;330;324
01/05/2021;ES27;1-;787;317;213;223;159;209;274;432;431;611;942;1277
01/05/2021;ES27;1=;1743;1647;1585;1278;1188;1454;1578;1717;1612;1287;1086;1169
01/05/2021;ES27;2-;136;98;70;108;139;123;159;226;300;414;294;163
01/05/2021;ES27;2=;834;891;745;778;897;1032;997;1066;849;1080;845;289
01/05/2021;ES28;1-;57;26;32;20;24;61;117;195;268;356;504;618
01/05/2021;ES28;1=;697;561;372;406;421;457;480;430;479;547;404;107
01/05/2021;ES28;2-;37;30;18;31;56;113;192;233;355;426;623;653
01/05/2021;ES28;2=;704;638;382;384;529;607;598;483;393;376;295;91
01/05/2021;ES29;1-;615;271;202;304;194;229;380;507;626;1131;1059;1672
01/05/2021;ES29;1=;2150;1852;1628;1328;1142;1443;1463;1523;1399;1308;1398;1429
01/05/2021;ES29;2-;487;194;131;132;99;138;286;403;517;898;1017;1388
01/05/2021;ES29;2=;1775;1724;1746;1276;1096;1532;1610;1644;1485;1147;1161;1144
01/05/2021;ES30;1-;162;61;31;45;31;32;65;87;121;167;222;314
01/05/2021;ES30;1=;406;400;376;315;222;340;321;310;337;319;286;291
01/05/2021;ES30;2-;138;90;65;44;67;60;101;120;228;315;454;516
01/05/2021;ES30;2=;684;786;807;592;425;623;711;815;686;538;498;450
01/05/2021;ES31;1-;52;43;26;20;23;18;32;47;67;94;128;208
01/05/2021;ES31;1=;246;269;275;164;126;165;191;197;226;191;150;167
01/05/2021;ES31;2-;34;24;34;19;39;24;40;58;59;86;130;172
01/05/2021;ES31;2=;250;296;222;117;122;177;210;199;182;147;104;124
01/05/2021;ES32;1-;134;71;61;43;44;56;98;134;204;265;409;510
01/05/2021;ES32;1=;648;671;629;467;358;498;628;713;626;475;404;357
01/05/2021;ES32;2-;175;53;54;47;55;45;43;70;115;178;223;380
01/05/2021;ES32;2=;450;421;435;398;292;367;392;392;408;394;497;495
01/05/2021;ES33;1-;189;76;37;39;40;73;154;263;362;506;755;1003
