OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS
1,6_1514,20190912,6,1514,OFELIA NIETO-FRANCOS RODRIGUEZ,,S,,1677,"Ofelia Nieto, 5",,,U,28,079,07901,0790101,04394,Calle,de,Ofelia Nieto,N,5,,,28039,09,69,4,,,1,6,A,1,079-09-211,211,,,2,3,20010709,19861001,,439802,4479051,T,,,,,"44, 128"
2,6_1516,20190912,6,1516,DR.FEDERICO RUBIO-FCO.DIEGO,,S,,2399,Av Dr. Federico Rubio con Fco de Diego,,,U,28,079,07901,,01738,Avda,del,Doctor Federico Rubio y Galí,N,67,,,28040,09,,,,,5,6,A,2,079-09-217,217,,,2,3,20010709,19861001,,439532,4478792,T,,,,,44
3,6_1517,20190912,6,1517,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,,S,,2397,"Av. Dr. Federico Rubio y Galí, 57",,,U,28,079,07901,,01738,Avda,del,Doctor Federico Rubio y Galí,N,82,,,28040,09,,,,,5,6,A,2,079-09-217,217,,,2,3,20010709,19861001,,439579,4478530,T,,,,,44
4,6_1518,20190912,6,1518,DR.FEDERICO RUBIO-JERONIMA LLORENTE,,S,,1671,"Av. Doctor Federico Rubio y Galí, 45",,,U,28,079,07901,,01738,Avda,del,Doctor Federico Rubio y Galí,N,45,,,28039,06,,,,,1,6,A,1,079-06-117,117,,,2,3,20010709,19861001,,439928,4478397,T,,,,,"44, 127, N21"
5,6_1519,20190912,6,1519,DR.FEDERICO RUBIO-ABEL,,S,,1669,"Av. Doctor Federico Rubio y Galí, 27",,,U,28,079,07901,,01738,Avda,del,Doctor Federico Rubio y Galí,N,21,,,28039,06,,,,,5,6,A,1,079-06-117,117,,,2,3,20010709,19861001,,439938,4478216,T,,,,,"44, 127"
6,6_1522,20190912,6,1522,SAN FCO.DE SALES-GUZMAN EL BUENO,,S,,2393,"San Francisco de Sales, 33",,,U,28,079,07901,,05449,Paseo,de,San Francisco de Sales,N,33,,,28003,07,,,,,1,6,A,1,079-07-126,126,,,2,3,20010709,19861001,,439623,4477308,T,,,,,"44, N21"
7,6_1527,20190912,6,1527,LAGO CALAFATE,,S,,2101,,,,U,28,079,07901,0790101,11626,Calle,del,Lago Calafate,N,18,,,28018,13,153,135,T07913152,,3,3,A,2,079-13-364,364,,,2,3,20010709,19861001,,444969,4470785,T,,,,,310
8,6_1528,20190912,6,1528,GTA.PTE.GARCIA MORENO,,S,,1413,"Gta. Presidente García Moreno, 2",,,U,28,079,07901,,04926,Gta,del,Presidente García Moreno,N,2,,,28003,07,,,,,1,6,A,1,079-07-121,121,,,2,3,20010709,19861001,,439473,4477679,T,,,,,45
9,6_1530,20190912,6,1530,AV.REINA VICTORIA-GRAL.I.IBERO,,S,,1415,"Reina Victoria, 41",93,225,U,28,079,07901,,05140,Avda,de la,Reina Victoria,N,39,,,28003,07,001,071,,,,6,A,1,079-07-121,121,,,2,3,20010709,19861001,,439827,4477777,T,,,,,"45, C1, F"
10,6_5430,20190912,6,5430,"CALLE DE MIRABEL, 3",,S,,5215,,,,U,28,079,07901,0790101,04091,Calle,de,Mirabel,N,4,A,,28044,10,180,107,T07913903,0790101A01,3,5,A,2,079-10-242,242,,,2,3,20060519,20030603,,433789,4470000,T,,,,,N19
11,6_3534,20190912,6,3534,MARQUESADO STA.MARTA-FERNANDO MIJARES,,S,,3119,Marquesado de Sta Marta con Fdo Mijares,,,U,28,079,07901,,11669,Calle,del,Marquesado de Santa Marta,N,12,,,28027,20,099,208,,,4,2,A,2,079-20-545,545,,,2,3,20010709,19861001,,447315,4477842,T,,,,,"114, N4"
12,6_3539,20190912,6,3539,STA.ENGRACIA-CARACAS,,S,,4675,"Santa Engracia, 20 esquina a C/ Caracas",,,U,28,079,07901,0790101,03075,Calle,de,Santa Engracia,N,20,,,28010,07,79,4,,,1,6,A,1,079-07-140,140,,,2,3,20010709,19861001,,441012,4475985,T,,,,,3
13,6_3543,20190912,6,3543,AV.NIZA-LAS MUSAS,,S,,3409,Av. de Niza con C/ María Sevilla Diago,93,255,U,28,079,07901,0790101,45474,Avda,de,Niza,N,59,,,28022,20,066,205,T0797274,0790101A01,,2,A,2,079-20-566,566,,,2,3,20010709,19861001,,448562,4476153,T,,,,,"38, E2"
14,6_3545,20190912,6,3545,DR.GARCIA TAPIA-FTE.CARRANTONA,,S,,1327,Dr. García Tapia con  Fuente Carrantona,,,U,28,079,07901,,10651,Avda,del,Doctor García Tapia,N,155,,,28030,14,081,143,T07910083,,,3,A,1,079-14-387,387,,559-4,2,3,20010709,19861001,,446485,4473434,T,,,,,30
15,6_3558,20190912,6,3558,AV.BETANZOS-CHANTADA,,S,,1501,"Av. de Betanzos, 18",,,U,28,079,07901,,08173,Avda,de,Betanzos,N,18,,,28029,08,,,,,1,7,A,2,079-08-180,180,,,2,3,20010709,19861001,,439782,4480761,T,,,,,42
16,6_3560,20190912,6,3560,INDALECIO PRIETO-LOS PINILLAS,,S,,1826,Indalecio Prieto con Pza Juán Rof,93,361,U,28,079,07901,0790101,45424,Bulv,de,Indalecio Prieto,N,27,,,28032,19,035,191,T07910915,0790101A01,,3,A,2,079-19-522,522,,,2,3,20010709,19861001,,447380,4472529,T,,,,,"8, 71, 130"
17,6_3561,20190912,6,3561,INDALECIO PRIETO-JUGLARES,,S,,1828,Indalecio Prieto-Pza Juan Carlos Onetti,93,361,U,28,079,07901,,45424,Bulv,de,Indalecio Prieto,N,13,B,,28032,19,038,191,T07910893,,,3,A,2,079-19-522,522,,,2,3,20010709,19861001,,447448,4472749,T,,,,,"8, 71, 130"
18,6_3565,20190912,6,3565,PZA.CORR.ALONSO AGUILAR,,S,,832,"Av de Moratalaz, 40",,,U,28,079,07901,,04198,Avda,de,Moratalaz,N,40,,,28030,14,043,145,,,3,3,A,2,079-14-386,386,,,2,3,20010709,19861001,,444175,4473367,T,,,,,20
19,6_3566,20190912,6,3566,JUAN ESPLANDIU Nº 9,,S,,4361,Juan Esplandiú frente al Nº 9,,,U,28,079,07901,,10840,Calle,de,Juan Esplandiu,N,18,,,28007,03,,,,,1,3,A,1,079-03-051,51,,,2,3,20010709,19861001,,443907,4474597,T,,,,,215
20,6_3568,20190912,6,3568,JUAN ESPLANDIU Nº 4,,S,,4365,"Juan Esplandiú, 4",,,U,28,079,07901,,10840,Calle,de,Juan Esplandiu,N,4,,,28007,03,,,,,1,3,A,1,079-03-051,51,,,2,3,20010709,19861001,,443890,4474407,T,,,,,215
21,6_3501,20190912,6,3501,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,,S,,5211,"Alberto Palacios, 73",,,U,28,079,07901,0790101,00127,Paseo,de,Alberto Palacios,N,84,,,28021,17,015,171,T07915847,0790101A01,3,4,A,2,079-17-474,474,,,2,3,20010709,19861001,,439255,4466328,T,,,,,"22, N14"
22,6_3573,20190912,6,3573,GASCUEÑA-FUENSAVIÑAN,,S,,3528,"Gascueña, 35",,,U,28,079,07901,0790101,10464,Calle,de,Gascueña,N,21,B,,28022,20,120,206,T0795578,,,2,A,1,079-20-558,558,,559-2,2,3,20010709,19861001,,451705,4477847,T,,,,,77
