Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
1,Plaza de España / Noviciado,https://wikidata.org/entity/Q2219895,Calle,de,San Bernardo,N,49,28015,1,Centro,https://wikidata.org/entity/Q1763376,440100,4475360
2,Estrella,https://wikidata.org/entity/Q2464797,Calle,del,Camino de los Vinateros,N,1,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,443960,4473846
3,Ríos Rosas,https://wikidata.org/entity/Q2479349,Calle,de,Ríos Rosas,N,22,28003,7,Chamberí,https://wikidata.org/entity/Q1763370,440632,4477258
4,Campamento,https://wikidata.org/entity/Q2481364,Avda,del,Padre Piquer,N,7,28024,10,Latina,https://wikidata.org/entity/Q794954,434921,4472069
5,Usera,https://wikidata.org/entity/Q643209,Calle,de,Amparo Usera,N,44,28026,12,Usera,https://wikidata.org/entity/Q953368,440111,4471170
6,O'Donnell,https://wikidata.org/entity/Q2479913,Calle,del,Doctor Esquerdo,N,47,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443392,4475118
7,Puerta del Ángel,https://wikidata.org/entity/Q2482152,Paseo,de,Extremadura,N,26,28011,10,Latina,https://wikidata.org/entity/Q794954,438409,4474159
8,El Bercial,https://wikidata.org/entity/Q2485050,Avda,,Comandante José Manuel Ripollés,N,4,28905,3,Retiro,https://wikidata.org/entity/Q2002296,438128,4464745
9,Hospital 12 de Octubre,https://wikidata.org/entity/Q929500,Avda,de,Córdoba,N,49,28041,12,Usera,https://wikidata.org/entity/Q953368,441038,4469823
10,Almendrales,https://wikidata.org/entity/Q543261,Avda,de,Córdoba,N,21,28026,12,Usera,https://wikidata.org/entity/Q953368,440873,4470831
11,Lavapiés,https://wikidata.org/entity/Q388743,Plaza,de,Lavapiés,N,7,28012,1,Centro,https://wikidata.org/entity/Q1763376,440638,4473543
12,Tres Olivos,https://wikidata.org/entity/Q608766,Acces,,M-607,SN,S/N,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,441203,4483828
13,San Fermín-Orcasur,https://wikidata.org/entity/Q2057787,Avda,de,Andalucía,N,9,28041,12,Usera,https://wikidata.org/entity/Q953368,441176,4469263
