Underground_ID,Underground_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,X,Y
1,NOVICIADO,Calle,de,San Bernardo,N,49,28015,1,440100,4475360
2,ESTRELLA,Calle,del,Camino de los Vinateros,N,1,28030,14,443960,4473846
3,RIOS ROSAS,Calle,de,Ríos Rosas,N,22,28003,7,440632,4477258
4,CAMPAMENTO,Avda,del,Padre Piquer,N,7,28024,10,434921,4472069
5,USERA,Calle,de,Amparo Usera,N,44,28026,12,440111,4471170
6,O'DONNELL,Calle,del,Doctor Esquerdo,N,47,28028,4,443392,4475118
7,PUERTA DEL ANGEL,Paseo,de,Extremadura,N,26,28011,10,438409,4474159
8,EL BERCIAL,Avda,,Comandante José Manuel Ripollés,N,4,28905,3,438128,4464745
9,HOSPITAL 12 DE OCTUBRE,Avda,de,Córdoba,N,49,28041,12,441038,4469823
10,ALMENDRALES,Avda,de,Córdoba,N,21,28026,12,440873,4470831
11,LAVAPIES,Plaza,de,Lavapiés,N,7,28012,1,440638,4473543
12,TRES OLIVOS,Acces,,M-607,SN,S/N,28034,8,441203,4483828
13,SAN FERMIN-ORCASUR,Avda,de,Andalucía,N,9,28041,12,441176,4469263
14,GARCIA NOBLEJAS,Calle,de,Luis del Campo,N,1,28017,15,446390,4475710
15,GREGORIO MARAÑON,Calle,de,José Abascal,N,65,28003,7,441463,4476838
16,PEÑAGRANDE,Cmno,de,Ganapanes,N,35,28029,8,439433,4481036
17,HERRERA ORIA,Calle,de,Valencia de Don Juan,N,1,28034,8,440145,4482000
18,PIO XII,Avda,de,Pío XII,N,27,28016,5,442815,4479575
19,ARGÜELLES,Calle,de,Alberto Aguilera,N,72,28015,7,439380,4476012
20,CALLAO,Plaza,del,Callao,N,3,28013,1,440245,4474831
21,HORTALEZA,Calle,del,Capitán Cortés,BLQ,4,28033,16,444794,4480933
22,AEROPUERTO T4,Ctra,de,Alcobendas a Barajas,SN,S/N,28042,21,449835,4482717
23,PITIS,Ctra,a la,Estación de Pitis,N,19,28035,8,438597,4483172
24,MOSTOLES CENTRAL,Paseo,de la,Estación,N,13,28933,2,426752,4464784
25,PUERTA DE TOLEDO,Gta,de,Puerta de Toledo,N,1,28005,1,439776,4473386
26,LA MORALEJA,Avda,de la,Ermita,N,5,28109,1,446281,4487203
27,FUENLABRADA CENTRAL,Calle,de la,Vía,SN,S/N,28944,4,432197,4459646
28,CARTAGENA,Avda,de,América,N,35,28002,5,443104,4476946
29,PLAZA DE ESPAÑA,Calle,de los,Reyes,N,10,28015,1,439906,4475278
30,ISLAS FILIPINAS,Calle,de,Cea Bermúdez,N,54,28003,7,439577,4476943
31,IBIZA,Calle,de,Ibiza,N,1,28009,3,442541,4474625
32,ALVARADO,Calle,de,Bravo Murillo,N,138,28020,6,440471,4478187
33,COLON,Plaza,de,Colón,N,2,28046,7,441493,4475413
34,SEVILLA,Calle,de,Alcalá,N,23,28014,1,440787,4474601
35,BANCO DE ESPAÑA,Calle,de,Alcalá,N,49,28014,1,441152,4474728
36,ESTRECHO,Calle,de,Bravo Murillo,N,191,28020,6,440499,4478625
37,RIVAS FUTURA,Calle,,Concepción Arenal,N,1,28529,1,455537,4465984
38,PLAZA ELIPTICA,Plaza,de,Fernández Ladreda,N,2,28025,11,439135,4470901
39,AEROPUERTO T1 T2 T3,Avda,de la,Hispanidad,N,S/N,28042,21,451828,4480138
40,AVENIDA DE AMERICA,Avda,de,América,N,9,28002,5,442722,4476804
41,CUATRO CAMINOS,Gta,de,Cuatro Caminos,N,9,28020,6,440421,4477814
42,MANUEL BECERRA,Plaza,de,Manuel Becerra,N,1,28028,4,443344,4475675
43,PUENTE DE VALLECAS,Avda,de la,Albufera,N,1,28053,13,443332,4472377
44,JARAMA,Plaza,,Guernica,N,1,28830,1,455531,4475043
45,CANAL,Calle,de,Cea Bermúdez,N,1,28003,7,440327,4476897
46,RONDA DE LA COMUNICACION,Ronda,de la,Comunicación,N,22,28050,8,443963,4485398
47,ALONSO MARTINEZ,Calle,de,Manuel González Longoria,N,14,28010,7,441035,4475762
48,PALOS DE LA FRONTERA,Calle,de,Palos de la Frontera,N,33,28045,2,441200,4472935
49,PUEBLO NUEVO,Calle,de,Alcalá,N,372,28027,15,445588,4476519
50,GUZMAN EL BUENO,Calle,de,Guzmán el Bueno,N,118,28003,7,439706,4477752
51,PACIFICO,Avda,de la,Ciudad de Barcelona,N,79,28007,3,442819,4472721
52,GRAN VIA,Calle,,Gran Vía,N,23,28013,1,440572,4474817
53,SIERRA DE GUADALUPE,Avda,de la,Democracia,N,1,28031,13,447082,4470570
54,FUENCARRAL,Calle,de la,Fuente Chica,N,21,28034,8,441399,4483147
55,VALDEACEDERAS,Calle,de,Bravo Murillo,N,332,28020,6,441183,4479745
56,PAN BENDITO,Avda,de,Abrantes,N,289,28025,11,437786,4469942
57,PARQUE LISBOA,Calle,de,Porto Lagos,N,7,28924,2,430371,4467101
58,LAGUNA,Calle,de,Cuart de Poblet,N,1,28047,10,436948,4472543
59,PARQUE DE LOS ESTADOS,Calle,de,Venezuela,N,2,28945,2,433215,4460099
60,JUAN DE LA CIERVA,Avda,de,España,N,20,28903,4,438740,4462823
61,EL CARRASCAL,Avda,,Rey Juan Carlos I,N,85,28916,5,437239,4465592
62,CASA DEL RELOJ,Avda,,Gibraltar,N,11,28914,2,435595,4464492
63,EL CAPRICHO,Calle,de,Pinos de Osuna,N,15,28042,21,449742,4478467
64,VILLA DE VALLECAS,Paseo,de,Federico García Lorca,N,2,28031,18,447370,4470283
65,VALDEBERNARDO,Bulv,de,Indalecio Prieto,N,26,28032,19,447364,4472553
66,COLOMBIA,Calle,del,Príncipe de Vergara,N,269,28016,5,442713,4478964
67,LAS MUSAS,Avda,de,Niza,N,61,28022,20,448550,4476201
68,DIEGO DE LEON,Calle,de,Francisco Silvela,N,47,28028,4,443032,4476237
69,NUÑEZ DE BALBOA,Plaza,del,Marqués de Salamanca,N,9,28006,4,442484,4475928
70,VENTAS,Calle,de,Alcalá,N,204,28028,4,443822,4476002
71,PLAZA DE CASTILLA,Paseo,de la,Castellana,N,216,28046,5,441692,4480016
72,PUERTA DE ARGANDA,Calle,de,San Cipriano,N,85,28032,19,449536,4472679
73,FERIA DE MADRID,Avda,del,Partenón,N,5,28042,21,447868,4479637
74,EUGENIA DE MONTIJO,Calle,de,Ocaña,N,86,28047,11,436347,4470900
75,LA FORTUNA,Calle,,San José,N,40,28917,6,434062,4467986
76,ALSACIA,Plaza,de,Alsacia,N,S/N,28037,20,447213,4474579
77,LA ALMUDENA,Calle,de,Arriaga,N,75,28017,15,445891,4475180
78,PACO DE LUCIA,Calle,de,Monasterio de Las Huelgas,N,5,28034,8,440026,4483665
79,VELAZQUEZ,Calle,de,Núñez de Balboa,N,33,28001,4,442179,4475365
80,PROSPERIDAD,Plaza,de la,Prosperidad,N,4,28002,5,442882,4477486
81,ARTURO SORIA,Calle,de,Arturo Soria,N,172,28043,15,444472,4478766
82,CANILLAS,Avda,de,Machupichu,N,64,28043,16,446224,4479639
83,PARQUE DE SANTA MARIA,Calle,de,Santa Virgilia,N,1,28033,16,445417,4481122
84,CIUDAD LINEAL,Calle,de,Arturo Soria,N,2,28027,15,445986,4476781
85,LA LATINA,Calle,de,San Millán,N,5,28005,1,440025,4473855
86,CARABANCHEL,Gta,del,Ejército,N,1,28047,11,436888,4471277
87,RIVAS URBANIZACIONES,Plaza,de,Galicia,N,5,28529,1,453645,4468818
88,LISTA,Calle,del,Conde de Peñalver,N,45,28006,4,442819,4475819
89,LAGO,Ronda,del,Lago,N,3,28011,9,437699,4474444
90,BATAN,Paseo,de la,Venta,N,1,28011,9,436208,4473507
91,SOL,Plaza,de la,Puerta del Sol,N,6,28013,1,440446,4474473
92,SOL,Plaza,de la,Puerta del Sol,N,6,28013,1,440446,4474470
93,SOL,Plaza,de la,Puerta del Sol,N,6,28013,1,440446,4474466
94,NUEVOS MINISTERIOS,Calle,de,Raimundo Fernández Villaverde,N,67,28046,6,441392,4477767
95,NUEVOS MINISTERIOS,Calle,de,Raimundo Fernández Villaverde,N,67,28046,6,441392,4477763
96,LA POVEDA,Parcela,,9017 Polígono 1,SN,S/N,28500,1,459545,4463483
97,EMPALME,Calle,de,Tembleque,N,105,28024,10,435153,4471597
98,GETAFE CENTRAL,Calle,,Ferrocarril,N,2,28904,3,437737,4462623
99,TRIBUNAL,Calle,de,Fuencarral,N,81,28004,1,440637,4475505
100,CARPETANA,Calle,,Vía Carpetana,N,141,28025,11,437222,4471816
101,OPAÑEL,Calle,del,Valle de Oro,N,50,28019,11,438733,4471160
102,CONDE DE CASAL,Plaza,del,Conde de Casal,N,3,28007,3,443225,4473352
103,VICENTE ALEIXANDRE,Avda,de,Gregorio del Amo,N,4,28040,9,439101,4477765
104,ALTO DE EXTREMADURA,Paseo,de,Extremadura,N,154,28011,10,437413,4473726
105,TIRSO DE MOLINA,Plaza,de,Tirso de Molina,N,7,28012,1,440323,4473971
106,PLAZA DE ESPAÑA,Plaza,de,España,N,1,28008,9,439778,4475204
107,VENTURA RODRIGUEZ,Calle,de la,Princesa,N,22,28008,1,439594,4475613
108,LAS TABLAS,Calle,de,Palas de Rey,N,30,28050,8,443392,4484602
109,CASA DE CAMPO,Ctra,del,Zoo,N,1,28011,9,435533,4473000
110,CASA DE CAMPO,Paseo,de la,Venta,N,S/N,28011,9,435533,4472996
111,PUEBLO NUEVO,Calle,de,Alcalá,N,372,28027,15,445588,4476523
112,CIUDAD UNIVERSITARIA,Avda,,Complutense,N,1,28040,9,438474,4477451
113,GUZMAN EL BUENO,Calle,de,Guzmán el Bueno,N,118,28003,7,439706,4477748
114,VINATEROS,Calle,del,Camino de los Vinateros,N,70,28030,14,444727,4473704
