LightRail_ID,LightRail_Name,LightRail_Line,Same_As_Wikidata_LightRail_Line,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
1,PLAZA DE TOROS,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Desconocida,N,S/N,,1,Centro,https://wikidata.org/entity/Q1763376,435675,4455333
2,REYES CATOLICOS,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Reyes Católicos,N,37,,1,Centro,https://wikidata.org/entity/Q1763376,434605,4453934
3,VIRGEN DEL CORTIJO,ML1,https://www.wikidata.org/wiki/Q2058921,Avda,de,Manoteras,N,54,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,444091,4482267
4,CANTABRIA,ML3,https://www.wikidata.org/wiki/Q3832709,Avda,de,Cantabria,N,3,28660,1,Centro,https://wikidata.org/entity/Q1763376,426752,4472198
5,SIGLO XXI,ML3,https://www.wikidata.org/wiki/Q3832709,Avda,del,Siglo XXI,N,1,28660,1,Centro,https://wikidata.org/entity/Q1763376,424366,4473314
6,JOSE ISBERT,ML3,https://www.wikidata.org/wiki/Q3832709,Calle,,José Isbert,N,2,28223,1,Centro,https://wikidata.org/entity/Q1763376,433071,4472135
7,COLONIA DE LOS ANGELES,ML2,https://www.wikidata.org/wiki/Q3832710,Ctra,,Carabanchel (M-502),N,63,28223,1,Centro,https://wikidata.org/entity/Q1763376,433552,4473458
8,AVENIDA DE EUROPA,ML2,https://www.wikidata.org/wiki/Q3832710,Avda,,Comunidad de Madrid,N,3,28224,2,Arganzuela,https://wikidata.org/entity/Q2000929,432850,4477027
9,TIERRA NORTE,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de las,Estrellas,N,34,,1,Centro,https://wikidata.org/entity/Q1763376,435952,4452872
10,VENUS SUR,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de los,Planetas,N,32,,1,Centro,https://wikidata.org/entity/Q1763376,435858,4453415
11,JAIME I SUR,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de los,Planetas,N,6,,1,Centro,https://wikidata.org/entity/Q1763376,436105,4454286
12,MARIA TUDOR,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,de,María Tudor,N,15,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,444277,4483356
13,LAS TABLAS,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,de,Palas de Rey,N,30,28050,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443402,4484592
14,COLONIA JARDIN,ML3,https://www.wikidata.org/wiki/Q3832709,Calle,de,Arenas de San Pedro,N,2,28024,10,Latina,https://wikidata.org/entity/Q794954,434377,4472315
15,SOMOSAGUAS SUR,ML2,https://www.wikidata.org/wiki/Q3832710,Calle,,Veritas,N,4,28223,1,Centro,https://wikidata.org/entity/Q1763376,432871,4474369
16,AVENIDA SISTEMA SOLAR,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,del,Sistema Solar,N,9,,1,Centro,https://wikidata.org/entity/Q1763376,435387,4453041
17,TIERRA SUR,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de los,Planetas,N,31,,1,Centro,https://wikidata.org/entity/Q1763376,435724,4452940
18,VENUS NORTE,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de las,Estrellas,N,20,,1,Centro,https://wikidata.org/entity/Q1763376,436088,4453350
19,COCHERAS,ML3,https://www.wikidata.org/wiki/Q3832709,Ctra,de,Boadilla del Monte,S/N,90,28223,1,Centro,https://wikidata.org/entity/Q1763376,431891,4472326
20,ESTRELLA POLAR SUR,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de los,Planetas,N,9,,1,Centro,https://wikidata.org/entity/Q1763376,435980,4453845
21,ESTRELLA POLAR NORTE,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de las,Estrellas,N,25,,1,Centro,https://wikidata.org/entity/Q1763376,436210,4453780
22,JAIME I NORTE,ML4,https://www.wikidata.org/wiki/Q1637556,Avda,de las,Estrellas,N,5,,1,Centro,https://wikidata.org/entity/Q1763376,436335,4454222
23,POLIGONO INDUSTRIAL CIUDAD DE PARLA,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Berlín,N,52,,1,Centro,https://wikidata.org/entity/Q1763376,436275,4454725
