empresa_cif;empresa_denominacion;plazas_ofertadas_inicio_numero;plazas_ofertadas_ampliacion_numero;destino_clasificacion;destino_denominacion;destino_precio;destino_año;plazas_vendidas_numero
B07012107;B the travel Brand;500;;Destinos Peninsulares e islas;ALMERIA: ESCENARIOS DE PELICULA, PAISAJE E HISTORIA;425.00;2019;97
B07012107;B the travel Brand;616;;Destinos Peninsulares e islas;COSTA DE CADIZ Y LOS PUEBLOS BLANCOS (EN TREN);425.00;2019;340
B07012107;B the travel Brand;112;;Destinos Peninsulares e islas;COSTA DE CADIZ Y LOS PUEBLOS BLANCOS (BUS);350.00;2019;62
B07012107;B the travel Brand;378;;Destinos Peninsulares e islas;ESENCIA DE ANDALUCIA: Granada, Córdoba, Málaga , Sevilla y Jaén;425.00;2019;129
B07012107;B the travel Brand;448;;Destinos Peninsulares e islas;ENCANTOS DE HUELVA;425.00;2019;147
B07012107;B the travel Brand;392;;Destinos Peninsulares e islas;ALGARVE, EL SUR DE PORTUGAL;425.00;2019;192
B07012107;B the travel Brand;500;;Destinos Peninsulares e islas;COSTA LISBOA;350.00;2019;230
B07012107;B the travel Brand;500;;Destinos Peninsulares e islas;NORTE DE PORTUGAL;350.00;2019;218
B07012107;B the travel Brand;500;;Destinos Peninsulares e islas;NORTE DE GALICIA, LOS ACANTILADOS MAS ALTOS DE EUROPA;400.00;2019;151
B07012107;B the travel Brand;224;;Destinos Peninsulares e islas;ASTURIAS EN VERDE Y NEGRO (TREN);400.00;2019;135
B07012107;B the travel Brand;112;;Destinos Peninsulares e islas;ASTURIAS EN VERDE Y NEGRO (BUS);335.00;2019;26
B07012107;B the travel Brand;350;;Destinos Peninsulares e islas;CANTABRIA Y LOS PICOS DE EUROPA;335.00;2019;159
B07012107;B the travel Brand;784;;Destinos Peninsulares e islas;EUSKADI, TRADICION Y VANGUARDIA;425.00;2019;301
B07012107;B the travel Brand;616;;Destinos Peninsulares e islas;TRILOGIA DEL BAZTAN (NORTE DE NAVARRA, GUIPUZCOA Y PAIS VASCO FRANCES);425.00;2019;289
B07012107;B the travel Brand;280;;Destinos Peninsulares e islas;REINO DE NAVARRA, CASTILLOS Y MONASTERIOS;425.00;2019;129
B07012107;B the travel Brand;312;;Destinos Peninsulares e islas;LOURDES, ANDORRA Y SABORES DEL PIRINEO ARAGONES;425.00;2019;120
B07012107;B the travel Brand;168;;Destinos Peninsulares e islas;LA ALBERCA, CANDELARIO , LA VERA Y LAS HURDES (TREN);375.00;2019;64
B07012107;B the travel Brand;112;;Destinos Peninsulares e islas;LA ALBERCA, CANDELARIO , LA VERA Y LAS HURDES (BUS);335.00;2019;18
B07012107;B the travel Brand;448;;Destinos Peninsulares e islas;TERUEL Y LOS PUEBLOS MAS BONITOS DE ESPAÑA;350.00;2019;221
B07012107;B the travel Brand;400;;Destinos Peninsulares e islas;ANTEQUERA;426.00;2019;214
B07012107;B the travel Brand;210;;Destinos Peninsulares e islas;PANTICOSA;425.00;2019;94
B07012107;B the travel Brand;350;;Destinos Peninsulares e islas;SAN SEBASTIAN - LOURDES - VALLE DE ARAN;425.00;2019;133
B07012107;B the travel Brand;400;;Destinos Peninsulares e islas;CORDOBA Y GRANADA;425.00;2019;203
B07012107;B the travel Brand;200;;Destinos Peninsulares e islas;RUTE;350.00;2019;11
B07012107;B the travel Brand;400;;Destinos Peninsulares e islas;GALICIA RIAS BAIXAS;390.00;2019;95
B07012107;B the travel Brand;423;;Destinos Internacionales;POLONIA;970.00;2019;303
B07012107;B the travel Brand;750;;Destinos Internacionales;ESCANDINAVIA;1200.00;2019;462
B07012107;B the travel Brand;405;;Destinos Internacionales;RUMANIA;950.00;2019;320
