﻿gis_x;gis_y;fecha_alta;distrito;barrio;calle;calle_buena;num_finca;matricula
439608,1907882330;4473550,0278627100;2014-05-28;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS; CALLE DE LAS AGUAS;1;0301110056
439757,5709535220;4473794,5182208300;2014-05-27;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL; CALLE DEL ALMENDRO;14;0301110042
439724,4730690000;4474317,3719490000;2014-05-26;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA; CALLE DE LA AMNISTIA;6;0301110014
439923,6811090000;4474528,8892540000;2014-05-26;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS; COSTANILLA DE LOS ANGELES;11;0301110012
439735,2317480000;4474489,9585980000;2014-05-26;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE; CALLE DE ARRIETA;8;0301110010
439232,9841766630;4473818,0719398400;2014-05-27;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE; CALLE DE BEATRIZ GALINDO;S/N;0301110032
439549,6164080680;4473438,8364026500;2014-05-28;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE; CALLE DE CALATRAVA;29;0301110063
439622,7569039360;4473423,0306175300;2014-05-28;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE; CALLE DE CALATRAVA;17;0301110064
439479,2651683980;4473481,5016919100;2014-05-28;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE; CALLE DE CALATRAVA;37;0301110046
439834,9469865800;4474517,9686340600;2014-05-26;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE; CALLE DE CAMPOMANES;8;0301110011
439885,3223309330;4473783,4094054000;2014-05-27;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA; CALLE DE LA CAVA ALTA;6;0301110041
439775,1329369930;4473743,0719398400;2014-05-27;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA; CALLE DE LA CAVA BAJA;34;0301110045
439778,7486394730;4473597,8240059600;2014-05-28;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA; CALLE DE LA CEBADA;1;0301110058
439819,5452090000;4473647,6337040000;2014-05-27;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA; PLAZA DE LA CEBADA;5;0301110048
439351,2693006300;4473878,4025183500;2014-05-27;01  CENTRO;01-01 PALACIO;CIEGOS, CUESTA, DE LOS; CUESTA DE LOS CIEGOS;S/N;0301110031
439153,1012452810;4474042,2378287500;2014-05-28;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA; PASEO DE LA CIUDAD DE PLASENCIA;S/N;0301120022
438968,1585284230;4474047,6933661300;2014-07-01;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA; PASEO DE LA CIUDAD DE PLASENCIA;S/N;0301120021
439765,7321105470;4473972,8240059600;2014-05-26;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL; PLAZA DEL CORDON;3;0301110030
439308,7417524200;4473344,2427387400;2014-05-28;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS; CUESTA DE LAS DESCARGAS;10;0301110069
439715,6288047620;4474900,3033448000;2014-05-26;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL; CALLE DEL DOCTOR CARRACIDO;2;0301110002
439363,0409850000;4473727,7498540000;2014-05-27;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE; CALLE DE DON PEDRO;20;0301110035
439510,6701270760;4473694,6215266200;2014-05-27;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE; CALLE DE DON PEDRO;12;0301110044
