gis_x,gis_y,fecha_alta,distrito,barrio,via,num_finca,matricula
439608.1907882330,4473550.0278627100,2014-05-28,01-CENTRO,01-01-PALACIO,CALLE-DE-LAS-AGUAS,1,301110056
439757.5709535220,4473794.5182208300,2014-05-27,01-CENTRO,01-01-PALACIO,CALLE-DEL-ALMENDRO,14,301110042
439724.4730690000,4474317.3719490000,2014-05-26,01-CENTRO,01-01-PALACIO,CALLE-DE-LA-AMNISTIA,6,301110014
439923.6811090000,4474528.8892540000,2014-05-26,01-CENTRO,01-01-PALACIO,COSTANILLA-DE-LOS-ANGELES,11,301110012
439735.2317480000,4474489.9585980000,2014-05-26,01-CENTRO,01-01-PALACIO,CALLE-DE-ARRIETA,8,301110010
439232.9841766630,4473818.0719398400,2014-05-27,01-CENTRO,01-01-PALACIO,CALLE-DE-BEATRIZ-GALINDO,S/N,301110032
439549.6164080680,4473438.8364026500,2014-05-28,01-CENTRO,01-01-PALACIO,CALLE-DE-CALATRAVA,29,301110063
439622.7569039360,4473423.0306175300,2014-05-28,01-CENTRO,01-01-PALACIO,CALLE-DE-CALATRAVA,17,301110064
439479.2651683980,4473481.5016919100,2014-05-28,01-CENTRO,01-01-PALACIO,CALLE-DE-CALATRAVA,37,301110046
439834.9469865800,4474517.9686340600,2014-05-26,01-CENTRO,01-01-PALACIO,CALLE-DE-CAMPOMANES,8,301110011
439885.3223309330,4473783.4094054000,2014-05-27,01-CENTRO,01-01-PALACIO,CALLE-DE-LA-CAVA-ALTA,6,301110041
439775.1329369930,4473743.0719398400,2014-05-27,01-CENTRO,01-01-PALACIO,CALLE-DE-LA-CAVA-BAJA,34,301110045
439049.1556642660,4472674.3260720700,2016-10-04,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-ALEJANDRO-DUMAS,8,302130015
438974.9184002570,4473046.6425988900,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-COBOS-DE-SEGOVIA,16,302130054
438949.8489099390,4473225.5138108900,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-COBOS-DE-SEGOVIA,2,302130064
438960.7301181820,4473142.5867273700,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-COBOS-DE-SEGOVIA,6,302130061
439010.6925075950,4472880.3770948500,2020-08-03,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-COBOS-DE-SEGOVIA,21,302130044
438744.4778459370,4472815.2686917000,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DEL-DUQUE-DE-TOVAR,S/N,302130021
438868.1392550000,4473607.9171274100,2016-10-19,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DEL-FOSFORO,3,302130081
439171.8271518690,4473200.3033448000,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-GIL-IMON,10,302130038
439213.3269445430,4473198.0994284700,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-GIL-IMON,7,302130039
439265.9869791450,4473224.2672485400,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-GIL-IMON,6,302130037
439392.3850031090,4473187.7000390100,2016-10-20,02-ARGANZUELA,02-01-IMPERIAL,TRAVESIA-DE-GIL-IMON,11-B,302130034
439054.5584509830,4473330.9130523800,2016-10-19,02-ARGANZUELA,02-01-IMPERIAL,CALLE-DE-JEMENUÑO,2-J,302130067
442767.2816973240,4473073.8570638100,2014-06-03,03-RETIRO,03-01-PACIFICO,CALLE-DE-ABTAO,27,703130009
442684.0446684160,4472923.5304289200,2014-06-04,03-RETIRO,03-01-PACIFICO,CALLE-DE-ABTAO,26,703130026
442587.0131022830,4472781.9149150500,2014-06-04,03-RETIRO,03-01-PACIFICO,CALLE-DE-ABTAO,10,703130042
442537.1164080680,4472699.5802043000,2014-06-04,03-RETIRO,03-01-PACIFICO,CALLE-DE-ABTAO,2,703130043
442559.4304576550,4472555.3653282700,2014-06-05,03-RETIRO,03-01-PACIFICO,CALLE-DE-ALBERCHE,14,703130054
441966.1453336880,4472852.5760720700,2014-06-05,03-RETIRO,03-01-PACIFICO,CALLE-DE-ANTONIO-NEBRIJA,3,703130051
442008.0723309330,4472690.0760720700,2014-06-05,03-RETIRO,03-01-PACIFICO,CALLE-DE-ANTONIO-NEBRIJA,S/N,703130060
442710.7734328610,4472633.2578902500,2014-06-04,03-RETIRO,03-01-PACIFICO,CALLE-DE-LA-CARIDAD,22,703130048
442627.5266340000,4473067.9260580000,2014-06-03,03-RETIRO,03-01-PACIFICO,CALLE-DE-CAVANILLES,19,703130008
442466.8684741830,4473136.4603695900,2014-06-03,03-RETIRO,03-01-PACIFICO,CALLE-DE-CAVANILLES,10,703130015
442529.3076940000,4473125.5940280000,2014-06-03,03-RETIRO,03-01-PACIFICO,CALLE-DE-CAVANILLES,7,703130016
442570.0709535220,4473078.5058241400,2014-06-03,03-RETIRO,03-01-PACIFICO,CALLE-DE-CAVANILLES,24,703130017
442197.2775170000,4474801.3769730000,2014-06-03,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-AGUIRRE,3,704130061
442129.9262840000,4474822.2426440000,2014-06-03,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-ALCALA,111,704130060
441752.1289400000,4474666.4369220000,2014-06-03,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-ALCALA,79,704130065
441868.6709090000,4474697.3649490000,2014-06-03,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-ALCALA,89,704130066
442001.0667354090,4474750.5976548100,2014-06-03,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-ALCALA,97,704130067
441540.8431390000,4475482.8832710000,2014-06-11,04-SALAMANCA,04-01-RECOLETOS,CALLE-DE-AYALA,2,704130002
