ID,Gis_X,Gis_Y,FechadeAlta,Distrito,SameAs_Wikidata_Distrito,Barrio,SameAs_Wikidata_Barrio,NFinca,TipodeReserva,SameAs_Wikidata_TipodeReserva,NumerodePlazas,Longitud,Latitud,Direccion
1,"440443,61","4474290,65",43803,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,2,BiciMAD,https://wikidata.org/entity/Q17402113,30,-3.701.998,404.171.107,"ALCALA, CALLE, DE, 2"
1.1,"440480,56","4474301,74",43867,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,6,BiciMAD,https://wikidata.org/entity/Q17402113,30,-37.015.636,404.172.132,"ALCALA, CALLE, DE, 6"
2,"440134,83","4474678,23",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.056.739,4.042.058,"MIGUEL MOYA, CALLE, DE, 1"
3,"440012,98","4475760,68",41813,Chamberí,https://wikidata.org/entity/Q1763370,Arapiles,https://wikidata.org/entity/Q10856744,2,BiciMAD,https://wikidata.org/entity/Q17402113,18,-37.072.122,404.303.224,"CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2"
4,"440396,4","4475565,36",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,3,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.026.739,404.285.905,"MANUELA MALASAÑA, CALLE, DE, 3"
5,"440447,06","4475539,6",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,106,BiciMAD,https://wikidata.org/entity/Q17402113,27,-37.020.743,40.428.362,"FUENCARRAL, CALLE, DE, 106"
6,"440754,26","4475071,08",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,63,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.984.093,404.241.633,"HORTALEZA, CALLE, DE, 63"
7,"440811,97","4475187,49",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,75,BiciMAD,https://wikidata.org/entity/Q17402113,21,-36.977.399,404.252.161,"HORTALEZA, CALLE, DE, 75"
8,"441020,56","4475463,16",41813,Chamberí,https://wikidata.org/entity/Q1763370,Almagro,https://wikidata.org/entity/Q10954432,6,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.953.067,404.277.143,"ALONSO MARTINEZ, PLAZA, DE, 6"
9,"439813,51","4474129,47",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,9,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.094.093,404.156.134,"SAN MIGUEL, PLAZA, DE, 9"
10,"441292,12","4475204,43",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,16,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.920.816,404.254.027,"MARQUES DE LA ENSENADA, CALLE, DEL, 16"
11,"440314,86","4475395,19",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,20,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.036.192,404.270.517,"SAN ANDRES, CALLE, DE, 20"
12,"440095,53","4475560,73",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,87,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.062.202,404.285.271,"SAN BERNARDO, CALLE, DE, 87"
13,"439733,78","4475434,65",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,22,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.104.727,404.273.652,"CONDE DUQUE, CALLE, DEL, 22"
14,"439486,2","4475284,13",44045,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Argüelles,https://wikidata.org/entity/Q64874,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.133.768,404.259.913,"VENTURA RODRIGUEZ, CALLE, DE, 1"
15,"439996,77","4475313,59",43881,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,10,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.073.611,404.262.937,"NORTE, CALLE, DEL, 10"
16,"439982,39","4474941,66",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,22,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.074.955,404.229.421,"SAN BERNARDO, CALLE, DE, 22"
17,"440263,35","4474964,43",41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.041.859,404.231.675,"CARLOS CAMBRONERO, PLAZA, DE, 2"
18,"440653,13","4474711,92",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.995.679,404.209.206,"PEDRO ZEROLO, PLAZA, DE, 1"
19,"441007,98","4474817,8",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,4,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.953.951,404.218.997,"PRIM, CALLE, DE, 4"
20,"441021,37","4474517,89",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,49,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.952.095,404.191.989,"ALCALA, CALLE, DE, 49"
20.1,"441014,52","4474516,49",43291,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,49,BiciMAD,https://wikidata.org/entity/Q17402113,6,-36.952.901,404.191.858,"ALCALA, CALLE, DE, 49"
22,"440064,4","4474630,53",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.064.995,404.201.452,"JACOMETREZO, CALLE, DE, 1"
23,"439912,56","4474639,35",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.082.901,404.202.137,"SANTO DOMINGO, PLAZA, DE, S/N"
24,"439715,67","4474384,75",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.105.866,40.417.906,"CARLOS III, CALLE, DE, 1"
25,"440104,48","4474318,99",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.059.978,404.173.416,"CELENQUE, PLAZA, DEL, 1"
25.1,"440102,16","4474309,87",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.060.243,404.172.593,"CELENQUE, PLAZA, DEL, 1"
26,"441082,03","4475031,58",41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,8,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.945.421,404.238.308,"SALESAS, PLAZA, DE LAS, 8"
27,"440984,74","4473861,49",41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,6,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.955.803,404.132.831,"JESUS, CALLE, DE, frente 6"
28,"440752,57","4474394,64",43955,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,26,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.983.662,404.180.695,"ALCALA, CALLE, DE, 26"
29,"440968,62","4474190,29",41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,25,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.958.008,40.416.244,"MARQUES DE CUBAS, CALLE, DEL, 25"
30,"439635,83","4474544,08",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,6,BiciMAD,https://wikidata.org/entity/Q17402113,27,-37.115.428,404.193.355,"PAVIA, CALLE, DE, 6"
31,"440050,38","4474208,74",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,18,BiciMAD,https://wikidata.org/entity/Q17402113,27,-3.706.625,404.163.446,"MAYOR, CALLE, 18"
32,"440090,59","4474042,64",41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,https://wikidata.org/entity/Q17402113,18,-37.061.355,404.148.511,"PROVINCIA, PLAZA, DE LA, 1"
33,"440340,26","4474220,99",43515,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,3,BiciMAD,https://wikidata.org/entity/Q17402113,21,-37.032.096,404.164.757,"CARRETAS, CALLE, DE LAS, 3"
34,"440313,43","4473992,08",41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.035.044,404.144.117,"JACINTO BENAVENTE, PLAZA, DE, S/N"
35,"439730,93","4473970,93",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-37.103.676,404.141.792,"CORDON, PLAZA, DEL, 1"
36,"439614,82","4474265,33",41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,5,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.711.764,404.168.229,"RAMALES, PLAZA, DE, 5"
