id;Gis_X;Gis_Y;FechadeAlta;Distrito;Barrio;Calle;NFinca;TipodeReserva;NumerodePlazas;Longitud;Latitud;Direccion
001 a;440443,61;4474290,65;43803;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;2;BiciMAD;30;-3.701.998;404.171.107;ALCALA, CALLE, DE, 2
001 b;440480,56;4474301,74;43867;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;6;BiciMAD;30;-37.015.636;404.172.132;ALCALA, CALLE, DE, 6
2;440134,83;4474678,23;41813;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;24;-37.056.739;4.042.058;MIGUEL MOYA, CALLE, DE, 1
3;440012,98;4475760,68;41813;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;-37.072.122;404.303.224;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2
4;440396,4;4475565,36;41813;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;24;-37.026.739;404.285.905;MANUELA MALASAÑA, CALLE, DE, 3
5;440447,06;4475539,6;41813;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;-37.020.743;40.428.362;FUENCARRAL, CALLE, DE, 106
6;440754,26;4475071,08;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;-36.984.093;404.241.633;HORTALEZA, CALLE, DE, 63
7;440811,97;4475187,49;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;-36.977.399;404.252.161;HORTALEZA, CALLE, DE, 75
8;441020,56;4475463,16;41813;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;-36.953.067;404.277.143;ALONSO MARTINEZ, PLAZA, DE, 6
9;439813,51;4474129,47;41813;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;-37.094.093;404.156.134;SAN MIGUEL, PLAZA, DE, 9
