Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
001 a,"440443,61","4474290,65",43803,01  CENTRO,01-06 SOL,2,BiciMAD,30,40.4171107,-3.701998,"ALCALA, CALLE, DE, 2",,,,,,,
001 b,"440480,56","4474301,74",43867,01  CENTRO,01-06 SOL,6,BiciMAD,30,40.4172132,-3.7015636,"ALCALA, CALLE, DE, 6",,,,,,,
2,"440134,83","4474678,23",41813,01  CENTRO,01-05 UNIVERSIDAD,1,BiciMAD,24,40.42058,-3.7056739,"MIGUEL MOYA, CALLE, DE, 1",,,,,,,
3,"440012,98","4475760,68",41813,07  CHAMBERÍ,07-02 ARAPILES,2,BiciMAD,18,40.4303224,-3.7072122,"CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2",,,,,,,
4,"440396,4","4475565,36",41813,01  CENTRO,01-05 UNIVERSIDAD,3,BiciMAD,24,40.4285905,-3.7026739,"MANUELA MALASAÑA, CALLE, DE, 3",,,,,,,
5,"440447,06","4475539,6",41813,01  CENTRO,01-04 JUSTICIA,106,BiciMAD,27,40.428362,-3.7020743,"FUENCARRAL, CALLE, DE, 106",,,,,,,
6,"440754,26","4475071,08",41813,01  CENTRO,01-04 JUSTICIA,63,BiciMAD,24,40.4241633,-3.6984093,"HORTALEZA, CALLE, DE, 63",,,,,,,
7,"440811,97","4475187,49",41813,01  CENTRO,01-04 JUSTICIA,75,BiciMAD,21,40.4252161,-3.6977399,"HORTALEZA, CALLE, DE, 75",,,,,,,
8,"441020,56","4475463,16",41813,07  CHAMBERÍ,07-04 ALMAGRO,6,BiciMAD,24,40.4277143,-3.6953067,"ALONSO MARTINEZ, PLAZA, DE, 6",,,,,,,
9,"439813,51","4474129,47",41813,01  CENTRO,01-01 PALACIO,9,BiciMAD,24,40.4156134,-3.7094093,"SAN MIGUEL, PLAZA, DE, 9",,,,,,,
10,"441292,12","4475204,43",41813,01  CENTRO,01-04 JUSTICIA,16,BiciMAD,24,40.4254027,-3.6920816,"MARQUES DE LA ENSENADA, CALLE, DEL, 16",,,,,,,
11,"440314,86","4475395,19",41813,01  CENTRO,01-05 UNIVERSIDAD,20,BiciMAD,24,40.4270517,-3.7036192,"SAN ANDRES, CALLE, DE, 20",,,,,,,
12,"440095,53","4475560,73",41813,01  CENTRO,01-05 UNIVERSIDAD,87,BiciMAD,24,40.4285271,-3.7062202,"SAN BERNARDO, CALLE, DE, 87",,,,,,,
13,"439733,78","4475434,65",41813,01  CENTRO,01-05 UNIVERSIDAD,22,BiciMAD,24,40.4273652,-3.7104727,"CONDE DUQUE, CALLE, DEL, 22",,,,,,,
14,"439486,2","4475284,13",44045,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,1,BiciMAD,24,40.4259913,-3.7133768,"VENTURA RODRIGUEZ, CALLE, DE, 1",,,,,,,
15,"439996,77","4475313,59",43881,01  CENTRO,01-05 UNIVERSIDAD,10,BiciMAD,21,40.4262937,-3.7073611,"NORTE, CALLE, DEL, 10",,,,,,,
