ID,Gis_X,Gis_Y,FechadeAlta,Distrito,Barrio,NFinca,TipodeReserva,LineaBateria,NumerodePlazas,LongitudP,Longitud,Latitud,Direccion
1.02,"441044,0800000000","4475402,9200000000",1,CENTRO,JUSTICIA,6,Taxi,Línea,2,"13,20",-3.6950238,40.4271733,"GENOVA, CALLE, DE, 6"
1.04,"439299,3600000000","4475722,8800000000",42030,CENTRO,UNIVERSIDAD,56,Taxi,Línea,8,"50,70",-3.7156212,40.4299302,"PRINCESA, CALLE, DE LA, 56"
1.11,"440968,6700000000","4474059,0000000000",40666,CENTRO,CORTES,6,Taxi,Línea,9,"45,30",-3.695788,40.4150613,"DUQUE DE MEDINACELI, CALLE, DEL, 6"
1.111,"440974,8000000000","4474009,1300000000",40605,CENTRO,CORTES,12,Taxi,Línea,5,"25,00",-3.6957112,40.4146124,"DUQUE DE MEDINACELI, CALLE, DEL, 12"
1.17,"441329,9900000000","4475203,1900000000",40168,CENTRO,JUSTICIA,28,Taxi,Línea,5,"25,83",-3.6916351,40.4253942,"GENOVA, CALLE, DE, 28"
1.18,"439413,9200000000","4475737,0200000000",38162,CENTRO,UNIVERSIDAD,5,Taxi,Línea,6,"30,00",-3.714272,40.4300659,"SERRANO JOVER, CALLE, DE, 5"
1.24,"439799,9900000000","4474569,2800000000",42584,CENTRO,PALACIO,5,Taxi,Línea,3,"15,00",-3.7096103,40.4195744,"SANTO DOMINGO, CUESTA, DE, 5"
1.29,"439823,4600000000","4474828,0700000000",35543,CENTRO,PALACIO,19,Taxi,Línea,4,"22,60",-3.7093581,40.4219074,"ISABEL LA CATOLICA, CALLE, DE, 19"
1.4,"440311,3900000000","4474504,2800000000",38756,CENTRO,SOL,9,Taxi,Línea,6,"29,50",-3.7035765,40.4190257,"SALUD, CALLE, DE LA, 9"
1.41,"440618,7600000000","4474272,5400000000",39196,CENTRO,CORTES,4,Taxi,Línea,3,"17,10",-3.699932,40.41696,"ARLABAN, CALLE, DE, 4"
1.45,"440546,3500000000","4475327,1900000000",40673,CENTRO,JUSTICIA,3,Taxi,Línea,9,"45,00",-3.700884,40.4264557,"BARCELO, CALLE, DE, 3"
01.45.1,"440622,7200000000","4475359,3600000000",41821,CENTRO,JUSTICIA,9,Taxi,Línea,2,"10,00",-3.6999868,40.4267509,"BARCELO, CALLE, DE, 9"
1.46,"440494,3900000000","4473973,0200000000",39875,CENTRO,CORTES,8,Taxi,Línea,2,"19,90",-3.7013698,40.4142529,"ANGEL, PLAZA, DEL, 8"
1.51,"439838,7200000000","4474684,3400000000",42930,CENTRO,PALACIO,9,Taxi,Línea,1,"5,00",-3.7091647,40.4206137,"SANTO DOMINGO, PLAZA, DE, 9"
1.52,"441211,7400000000","4473311,8500000000",40218,CENTRO,EMBAJADORES,8,Taxi,Línea,6,"30,00",-3.6928542,40.4083478,"EMPERADOR CARLOS V, PLAZA, DEL, 8"
1.55,"441059,6100000000","4474064,2600000000",40571,CENTRO,CORTES,5,Taxi,Línea,4,"20,00",-3.6947167,40.4151151,"CANOVAS DEL CASTILLO, PLAZA, DE, 5"
1.58,"440147,7600000000","4474216,2000000000",41270,CENTRO,SOL,5,Taxi,Línea,7,"33,20",-3.705478,40.4164188,"MAYOR, CALLE, 5"
1.6,"439619,0100000000","4473654,8600000000",43816,CENTRO,PALACIO,2,Taxi,Línea,3,"15,00",-3.7116566,40.4113238,"SAN FRANCISCO, CARRERA, DE, 2"
1.64,"441017,5200000000","4474823,5000000000",43362,CENTRO,JUSTICIA,1,Taxi,Línea,3,"15,00",-3.6952832,40.4219517,"PRIM, CALLE, DE, 1"
1.65,"441156,4700000000","4473473,8900000000",43648,CENTRO,CORTES,123 B,Taxi,Batería,4,"11,10",-3.6935205,40.4098036,"ATOCHA, CALLE, DE, 123 B"
1.66,"440798,8100000000","4473690,6700000000",43648,CENTRO,CORTES,81,Taxi,Línea,2,"17,80",-3.6977557,40.4117311,"ATOCHA, CALLE, DE, 81"
1.67,"440555,2000000000","4473278,5700000000",43651,CENTRO,EMBAJADORES,1,Taxi,Línea,3,"15,00",-3.7005882,40.4080013,"VALENCIA, CALLE, DE, 1"
1.68,"439754,9500000000","4474453,7200000000",44040,CENTRO,PALACIO,1,Taxi,Línea,6,"34,70",-3.7101302,40.4185301,"ARRIETA, CALLE, DE, 1"
1.69,"439802,8800000000","4474433,0400000000",44040,CENTRO,PALACIO,frente al 5,Taxi,Línea,4,"20,00",-3.7095633,40.4183473,"ISABEL II, PLAZA, DE, frente al 5"
1.7,"439923,8600000000","4473717,6800000000",44244,CENTRO,PALACIO,50,Taxi,Batería,5,"11,10",-3.7080698,40.4119117,"TOLEDO, CALLE, DE, 50"
01.70.1,"439928,8800000000","4473729,7300000000",44244,CENTRO,PALACIO,50,Taxi,Batería,3,"11,30",-3.7080118,40.4120206,"TOLEDO, CALLE, DE, 50"
1.71,"440657,0200000000","4474886,2600000000",44260,CENTRO,JUSTICIA,39,Taxi,Línea,2,"11,00",-3.6995383,40.4224915,"HORTALEZA, CALLE, DE, 39"
2.01,"440778,7300000000","4472184,9700000000",1,ARGANZUELA,CHOPERA,1,Taxi,Línea,3,"18,00",-3.6978523,40.3981656,"JAIME EL CONQUISTADOR, CALLE, DE, 1"
2.03,"439579,9900000000","4473107,9300000000",40582,ARGANZUELA,IMPERIAL,4,Taxi,Batería,2,"10,00",-3.7120646,40.4063939,"PUERTA DE TOLEDO, GLORIETA, DE LA, 4"
2.04,"439527,4700000000","4473162,2600000000",42040,ARGANZUELA,IMPERIAL,52,Taxi,Línea,2,"14,30",-3.7126886,40.4068795,"SEGOVIA, RONDA, DE, 52"
2.05,"440436,3200000000","4472890,9800000000",40360,ARGANZUELA,PALOSDEMOGUER,57,Taxi,Línea,6,"30,80",-3.7019529,40.4045012,"EMBAJADORES, CALLE, DE, 57"
2.13,"442429,4100000000","4471801,4600000000",43522,ARGANZUELA,ATOCHA,83,Taxi,Línea,77,"88,00",-3.6783676,40.3948265,"MENDEZ ALVARO, CALLE, DE, 83"
2.14,"442677,5000000000","4471787,0600000000",40360,ARGANZUELA,ATOCHA,S/N,Taxi,Línea,14,"68,40",-3.6754432,40.3947138,"RETAMA, CALLE, DE LA, S/N"
2.15,"441678,3000000000","4472547,7300000000",39085,ARGANZUELA,PALOSDEMOGUER,S/N,Taxi,Línea,3,"15,00",-3.6872859,40.401497,"CANARIAS, CALLE, DE LAS, S/N"
2.17,"441036,2600000000","4471433,2000000000",39192,ARGANZUELA,DELICIAS,2,Taxi,Batería,10,"25,00",-3.6947482,40.3914115,"LEGAZPI, PLAZA, DE, 2"
2.2,"442435,7700000000","4471460,8100000000",42025,ARGANZUELA,LEGAZPI,S/N,Taxi,Línea,2,"10,10",-3.6782619,40.3917581,"TITAN, CALLE, DE, S/N"
2.21,"441154,1400000000","4472816,3700000000",40508,ARGANZUELA,PALOSDEMOGUER,35,Taxi,Línea,2,"9,50",-3.6934872,40.4038802,"DELICIAS, PASEO, DE LAS, 35"
2.22,"441434,8100000000","4473023,3900000000",40527,ARGANZUELA,ATOCHA,S/N,Taxi,Línea,291,"269,60",-3.6901988,40.4057649,"MENDEZ ALVARO, CALLE, DE, S/N"
2.23,"438746,0000000000","4473115,8900000000",42037,ARGANZUELA,IMPERIAL,57,Taxi,Línea,3,"15,00",-3.7218934,40.4064047,"VIRGEN DEL PUERTO, PASEO, DE LA, 57"
2.24,"441983,3900000000","4472205,9200000000",41148,ARGANZUELA,DELICIAS,44,Taxi,Línea,10,"50,00",-3.6836596,40.3984391,"MENDEZ ALVARO, CALLE, DE, 44"
2.25,"441222,9500000000","4473165,2300000000",41561,ARGANZUELA,ATOCHA,1,Taxi,Línea,5,"25,00",-3.6927085,40.4070277,"MENDEZ ALVARO, CALLE, DE, 1"
2.26,"442314,0600000000","4471400,1900000000",42021,ARGANZUELA,LEGAZPI,13,Taxi,Línea,3,"15,00",-3.6796904,40.3912036,"TITAN, CALLE, DE, 13"
2.27,"442406,5800000000","4471767,2300000000",43522,ARGANZUELA,ATOCHA,Frente 83,Taxi,Línea,14,"70,00",-3.6786335,40.3945165,"MENDEZ ALVARO, CALLE, DE, Frente 83"
3.07,"442659,2300000000","4474412,1300000000",1,RETIRO,IBIZA,21,Taxi,Línea,4,"19,70",-3.675895,40.4183606,"IBIZA, CALLE, DE, 21"
3.09,"442546,7300000000","4473952,4100000000",44176,RETIRO,NIÑOJESÚS,65,Taxi,Línea,11,"55,00",-3.6771794,40.4142115,"MENENDEZ PELAYO, AVENIDA, DE, 65"
3.1,"442658,1500000000","4474727,7000000000",39793,RETIRO,IBIZA,29,Taxi,Línea,4,"20,00",-3.6759362,40.4212034,"NARVAEZ, CALLE, DE, 29"
3.11,"441261,9700000000","4474191,7500000000",1,RETIRO,JERÓNIMOS,2,Taxi,Batería,6,"30,20",-3.6923435,40.4162779,"LEALTAD, PLAZA, DE LA, 2"
3.13,"442647,2900000000","4473055,7400000000",1,RETIRO,PACÍFICO,21,Taxi,Línea,2,"11,20",-3.6759134,40.4061407,"CAVANILLES, CALLE, DE, 21"
3.15,"442968,1100000000","4474607,0200000000",43083,RETIRO,IBIZA,54,Taxi,Línea,8,"42,40",-3.6722718,40.4201375,"DOCTOR CASTELO, CALLE, DEL, 54"
3.16,"443352,5100000000","4473848,6100000000",42021,RETIRO,ESTRELLA,13,Taxi,Línea,2,"10,00",-3.6676734,40.4133316,"PEZ VOLADOR, CALLE, DEL, 13"
3.18,"443210,2600000000","4474446,9700000000",36684,RETIRO,IBIZA,46,Taxi,Línea,8,"39,30",-3.6694033,40.4187123,"DOCTOR ESQUERDO, CALLE, DEL, 46"
3.22,"442997,1200000000","4474732,3600000000",40360,RETIRO,IBIZA,48,Taxi,Línea,4,"21,00",-3.6719411,40.4212686,"O'DONNELL, CALLE, DE, 48"
