PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,4,1,2019-01-01T01:00:00Z,18,V
28,79,4,1,2019-02-01T01:00:00Z,13,V
28,79,4,1,2019-03-01T01:00:00Z,18,V
28,79,4,1,2019-04-01T00:00:00Z,3,V
28,79,4,1,2019-05-01T00:00:00Z,1,V
28,79,4,1,2019-06-01T00:00:00Z,1,V
28,79,4,1,2019-07-01T00:00:00Z,1,V
28,79,4,1,2019-08-01T00:00:00Z,8,V
28,79,4,1,2019-09-01T00:00:00Z,8,V
28,79,4,1,2019-10-01T00:00:00Z,10,V
28,79,4,1,2019-11-01T01:00:00Z,10,V
28,79,4,1,2019-12-01T01:00:00Z,6,V
28,79,4,6,2019-01-01T01:00:00Z,0.8,V
28,79,4,6,2019-02-01T01:00:00Z,0.3,V
28,79,4,6,2019-03-01T01:00:00Z,0.6,V
28,79,4,6,2019-04-01T00:00:00Z,0.4,V
28,79,4,6,2019-05-01T00:00:00Z,0.3,V
28,79,4,6,2019-06-01T00:00:00Z,0.3,V
28,79,4,6,2019-07-01T00:00:00Z,0.3,V
28,79,4,6,2019-08-01T00:00:00Z,0.3,V
28,79,4,6,2019-09-01T00:00:00Z,0.4,V
28,79,4,6,2019-10-01T00:00:00Z,0.4,V
28,79,4,6,2019-11-01T01:00:00Z,0.2,V
28,79,4,6,2019-12-01T01:00:00Z,0.4,V
28,79,4,7,2019-01-01T01:00:00Z,105,V
28,79,4,7,2019-02-01T01:00:00Z,5,V
28,79,4,7,2019-03-01T01:00:00Z,46,V
28,79,4,7,2019-04-01T00:00:00Z,13,V
28,79,4,7,2019-05-01T00:00:00Z,7,V
28,79,4,7,2019-06-01T00:00:00Z,7,V
28,79,4,7,2019-07-01T00:00:00Z,14,V
28,79,4,7,2019-08-01T00:00:00Z,4,V
28,79,4,7,2019-09-01T00:00:00Z,16,V
28,79,4,7,2019-10-01T00:00:00Z,54,V
28,79,4,7,2019-11-01T01:00:00Z,4,V
28,79,4,7,2019-12-01T01:00:00Z,8,V
28,79,4,8,2019-01-01T01:00:00Z,71,V
28,79,4,8,2019-02-01T01:00:00Z,18,V
28,79,4,8,2019-03-01T01:00:00Z,64,V
28,79,4,8,2019-04-01T00:00:00Z,45,V
28,79,4,8,2019-05-01T00:00:00Z,31,V
28,79,4,8,2019-06-01T00:00:00Z,43,V
28,79,4,8,2019-07-01T00:00:00Z,44,V
28,79,4,8,2019-08-01T00:00:00Z,26,V
28,79,4,8,2019-09-01T00:00:00Z,45,V
28,79,4,8,2019-10-01T00:00:00Z,43,V
28,79,4,8,2019-11-01T01:00:00Z,13,V
28,79,4,8,2019-12-01T01:00:00Z,33,V
28,79,4,12,2019-01-01T01:00:00Z,232,V
28,79,4,12,2019-02-01T01:00:00Z,26,V
28,79,4,12,2019-03-01T01:00:00Z,134,V
28,79,4,12,2019-04-01T00:00:00Z,65,V
28,79,4,12,2019-05-01T00:00:00Z,42,V
28,79,4,12,2019-06-01T00:00:00Z,53,V
28,79,4,12,2019-07-01T00:00:00Z,66,V
28,79,4,12,2019-08-01T00:00:00Z,32,V
28,79,4,12,2019-09-01T00:00:00Z,69,V
28,79,4,12,2019-10-01T00:00:00Z,126,V
28,79,4,12,2019-11-01T01:00:00Z,19,V
28,79,4,12,2019-12-01T01:00:00Z,44,V
28,79,8,1,2019-01-01T01:00:00Z,12,V
28,79,8,1,2019-02-01T01:00:00Z,7,V
28,79,8,1,2019-03-01T01:00:00Z,9,V
28,79,8,1,2019-04-01T00:00:00Z,8,V
28,79,8,1,2019-05-01T00:00:00Z,9,V
28,79,8,1,2019-06-01T00:00:00Z,10,V
28,79,8,1,2019-07-01T00:00:00Z,10,V
28,79,8,1,2019-08-01T00:00:00Z,0,N
28,79,8,1,2019-09-01T00:00:00Z,5,V
28,79,8,1,2019-10-01T00:00:00Z,6,V
28,79,8,1,2019-11-01T01:00:00Z,5,V
28,79,8,1,2019-12-01T01:00:00Z,5,V
28,79,8,6,2019-01-01T01:00:00Z,0.6,V
28,79,8,6,2019-02-01T01:00:00Z,0.1,V
28,79,8,6,2019-03-01T01:00:00Z,0.2,V
28,79,8,6,2019-04-01T00:00:00Z,0.1,V
28,79,8,6,2019-05-01T00:00:00Z,0.1,V
28,79,8,6,2019-06-01T00:00:00Z,0.2,V
28,79,8,6,2019-07-01T00:00:00Z,0.2,V
28,79,8,6,2019-08-01T00:00:00Z,0,N
28,79,8,6,2019-09-01T00:00:00Z,0.4,V
28,79,8,6,2019-10-01T00:00:00Z,0.5,V
28,79,8,6,2019-11-01T01:00:00Z,0.3,V
28,79,8,6,2019-12-01T01:00:00Z,0.3,V
28,79,8,7,2019-01-01T01:00:00Z,48,V
28,79,8,7,2019-02-01T01:00:00Z,15,V
28,79,8,7,2019-03-01T01:00:00Z,21,V
