FID,featureid,featurecode,featurenote,featurelocation,geom,phenomenon_time,result_time,no,no_provenance,no2,no2_provenance,co,co_provenance,o3,o3_provenance,coverage,no_anomaly,no2_anomaly,co_anomaly,o3_anomaly
real_time_air_quality_observations.7,7,LOC_05,"Sensitive population. Medium road traffic, parking, hospital","Rúa Peonil xunto á Avda. de Barcelona, cara ó CHUS // O: CSC Sta. Marta",POINT (42.87024 -8.56275),2019-12-12T08:50:00,2021-03-06T10:59:34.176,6.98166667,147,26.43466667,156,,,49.10340446,165,3,false,false,,false
real_time_air_quality_observations.1,1,EMG_01,"Point of interest. MeteoGalicia. High road traffic, commercial area",Camiño Francés,POINT (42.88777 -8.53114),,,,,,,,,,,,,,,
real_time_air_quality_observations.3,3,LOC_01,"Low emissions zone. Between Anxel Casal Library and Auditorio Park zones, also in order to cover Castelao Av. road traffic (still under medium traffic density). Partially covering Vista Alegre and Vite.",Anxel Casal Library / Auditorio Park zone,POINT (42.88815 -8.54527),,,,,,,,,,,,,,,
real_time_air_quality_observations.15,15,LOC_13,"Residential and sensitive population. Commercial area, parking, schools, residentials).",Fontiñas,POINT (42.88648 -8.52458),,,,,,,,,,,,,,,
real_time_air_quality_observations.6,6,LOC_04,"Residentials. Medium road traffic, pedestrian",Praza Porta do Camiño (á entrada da rúa de San Pedro,POINT (42.88195 -8.53961),,,,,,,,,,,,,,,
real_time_air_quality_observations.8,8,LOC_06,Residentials but with heavy traffic. Medium road traffic,Praza Roxa,POINT (42.87409 -8.54946),,,,,,,,,,,,,,,
real_time_air_quality_observations.9,9,LOC_07,"Residentials. Residentials but with heavy traffic: Move toward the Horreo St., because of its high traffic density.","Rúa Manuel Colmeiro, na Urbanización A Rosaleda",POINT (42.87267 -8.54551),,,,,,,,,,,,,,,
real_time_air_quality_observations.11,11,LOC_09,Park. Green zone.,Parque de Galeras // O: CEIP Raiña Fabiola,POINT (42.88215 -8.550444),,,,,,,,,,,,,,,
real_time_air_quality_observations.13,13,LOC_11,"Residentials but with heavy traffic. Commercial area, parking, residential.","Rúa Virxe Branca, próxima á Rotonda do Castiñeiriño // O CSC Castiñeiriño",POINT (42.85991 -8.53931),,,,,,,,,,,,,,,
real_time_air_quality_observations.14,14,LOC_12,"Residentials but with heavy traffic. High road traffic, close to Lugo Av.","Xardín de Jano Cuadrifonto, xunto ao cruce de Concheiros",POINT (42.884282 -8.532609),2021-01-15T10:00:00,2021-03-04T01:54:54.495,3835.33148827,155,12721.65194894,164,,,0,173,2,true,true,,false
real_time_air_quality_observations.10,10,LOC_08,"Residentials but with heavy traffic. High road traffic, parking",Praza de Vigo,POINT (42.873808 -8.552149),2020-11-13T12:20:00,2021-03-04T20:34:45.319,2.02933333,149,114.96190268,158,,,1.70985394,167,2,false,false,,false
real_time_air_quality_observations.16,16,LOC_14,"Residentials. Administration, residential","Praza da Constitución, xunto ao Parlamento de Galicia",POINT (42.873439 -8.543181),2021-01-15T20:40:00,2021-03-03T14:20:52.418,17.154,154,11.02866667,163,,,35.99478103,172,1,false,false,,false
real_time_air_quality_observations.12,12,LOC_10,"Residentials. Residentials, parking.","Avda. de Ferrol, cara á Avda. Romero Donallo",POINT (42.871093 -8.55313),2021-04-30T13:30:00,2021-04-30T13:30:12.5,2.217,148,15.562,157,,,27.58846304,166,2,false,false,,false
real_time_air_quality_observations.17,17,LOC_15,Park. Green Zone,"Hortas Brañas do Sar, a carón da Rotonda de Pontepedriña",POINT (42.868616 -8.54408),2021-10-03T08:10:00,2021-10-03T08:10:04.278,2.066,150,4.17266667,159,,,34.29043096,168,7,false,false,,false
real_time_air_quality_observations.2,2,EMG_02,"Point of interest. MeteoGalicia, including meteorology. University centres",Campus Vida,POINT (42.87594 -8.55912),2021-09-20T18:40:00,2021-09-20T18:40:08.31,23.47066667,152,57.76666667,161,,,32.700159,170,1,false,false,,false
real_time_air_quality_observations.5,5,LOC_03,"Sensitive population. Medium road traffic, schools","Mercado de Abastos, cara a Rúa Virxe da Cerca",POINT (42.87966 -8.541036),2021-10-03T08:10:00,2021-10-03T08:10:10.862,3.11633333,151,5.69666667,160,,,34.7241576,169,18,false,false,,false
real_time_air_quality_observations.4,4,LOC_02,"Residentials but with heavy traffic. High road traffic, parking",Praza de Galicia,POINT (42.876504 -8.544263),2021-10-03T08:10:00,2021-10-03T08:10:12.352,2.19033333,153,5.488,162,,,43.37801255,171,3,false,false,,false
