Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
2021-10-01T21:00:00,19.9,38.0,89.0,43.0,147.0,5.0,0.5,71,21.7,50,952,1,0.0
2021-10-01T22:00:00,19.7,21.0,81.0,37.0,114.0,7.0,0.6,122,20.7,54,952,1,0.0
2021-10-01T23:00:00,19.4,17.0,69.0,37.0,94.0,10.0,0.4,96,19.8,57,952,1,0.0
2021-10-02T00:00:00,19.1,15.0,64.0,33.0,87.0,7.0,0.3,40,18.0,65,952,1,0.0
2021-10-02T01:00:00,19.0,6.0,46.0,22.0,56.0,16.0,0.9,50,17.1,67,951,1,0.0
2021-10-02T02:00:00,19.0,10.0,58.0,22.0,74.0,4.0,0.3,61,16.3,68,951,1,0.0
2021-10-02T03:00:00,19.0,12.0,51.0,29.0,69.0,3.0,0.3,54,15.5,71,951,1,0.0
2021-10-02T04:00:00,19.0,5.0,42.0,27.0,49.0,10.0,0.9,55,15.0,71,950,1,0.0
2021-10-02T05:00:00,18.9,6.0,39.0,27.0,48.0,9.0,0.5,75,14.4,73,950,1,0.0
2021-10-02T06:00:00,18.9,7.0,42.0,33.0,52.0,7.0,0.8,100,13.9,74,950,1,0.0
2021-10-02T07:00:00,18.8,17.0,41.0,29.0,66.0,7.0,0.7,54,13.6,75,950,17,0.0
2021-10-02T08:00:00,18.9,18.0,31.0,19.0,58.0,20.0,1.0,338,15.6,68,950,121,0.0
2021-10-02T09:00:00,19.6,11.0,24.0,25.0,41.0,39.0,0.6,230,18.8,59,951,307,0.0
2021-10-02T10:00:00,20.0,4.0,15.0,26.0,20.0,70.0,1.6,158,20.1,56,950,461,0.0
2021-10-02T11:00:00,20.0,1.0,7.0,22.0,9.0,89.0,2.0,184,22.5,51,950,607,0.0
2021-10-02T12:00:00,20.1,2.0,7.0,16.0,10.0,105.0,2.4,178,24.8,44,949,695,0.0
2021-10-02T13:00:00,20.0,1.0,6.0,14.0,8.0,111.0,3.0,208,26.1,39,948,697,0.0
