ID;Date;Address;Number;District;AccidentType;Weather;Lesividad
b581e0be4929fc2fa1f536d578a57d57;2021-01-01;CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL;-;MORATALAZ;Caída;Despejado;2
4d2888325875228de3fbd4bbdf914984;2021-01-04;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;14
2b386ee1edada2ffb4d9bc988e731184;2021-01-04;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;14
e6b85fd9289d1ee620a84cdf678e83db;2021-01-04;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;14
89fddfded0a9defdf4b4bb8e839d341f;2021-01-04;WANDA METROPOLITANO PARQUE FAROLA 20;-;SAN BLAS-CANILLEJAS;Caída;Despejado;6
6989059143caaea1bd71fbd792bd9d1f;2021-01-04;PASEO. PRADO / PLAZA. MURILLO;-;RETIRO;Alcance;Despejado;7
2f10b761c70b63c0d5df66e21bdf4175;2021-01-05;PLAZA EMPERADOR V;11;CENTRO;Colisión fronto-lateral;Despejado;
32584becab1566c889c885bedc4a040e;2021-01-11;CALL. MIGUEL SERVET;13;CENTRO;Caída;Despejado;1
b49b25867d59124b83c263fbc052ce48;2021-01-11;CALL. SAN DALMACIO;39;VILLAVERDE;Choque contra obstáculo fijo;Despejado;1
8bfac37fbab9c3b2938eba98de2120e2;2021-01-16;AVDA. CIUDAD DE BARCELONA;144;RETIRO;Alcance;Despejado;3
a2636aac43154c3e89e919bf8988d7ad;2021-01-17;PASEO. SANTA MARIA DE LA CABEZA / PASEO. ESPERANZA;-;ARGANZUELA;Caída;Despejado;1
c30ad292eee8e9bcbb5dff51255d037e;2021-01-18;RONDA. VALENCIA;5;ARGANZUELA;Alcance;Despejado;1
da935ba559671a93f4435d3442ff6649;2021-01-23;CALL. BRAVO MURILLO;97;CHAMBERÍ;Caída;;
b3ce0492d0017742f32c458880eb1636;2021-01-23;CALL. SANTA ENGRACIA;33;CHAMBERÍ;Colisión fronto-lateral;Nublado;7
0c7989ed4ca3d575653ccc12eaad06ce;2021-01-23;PASEO. YESERIAS / CALL. MELILLA;-;ARGANZUELA;Colisión lateral;Despejado;7
