Date,Adress,Number,District,Weather,Lesividad
2021-01-01T11:38:00Z,CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL,-,MORATALAZ,Despejado,2
2021-04-01T11:30:00Z,WANDA METROPOLITANO PARQUE FAROLA 20,-,SAN BLAS-CANILLEJAS,Despejado,14
2021-04-01T11:30:00Z,WANDA METROPOLITANO PARQUE FAROLA 20,-,SAN BLAS-CANILLEJAS,Despejado,14
2021-04-01T11:30:00Z,WANDA METROPOLITANO PARQUE FAROLA 20,-,SAN BLAS-CANILLEJAS,Despejado,14
2021-04-01T11:30:00Z,WANDA METROPOLITANO PARQUE FAROLA 20,-,SAN BLAS-CANILLEJAS,Despejado,6
2021-04-01T10:40:00Z,PASEO. PRADO / PLAZA. MURILLO,-,RETIRO,Despejado,7
2021-05-01T16:35:00Z,PLAZA EMPERADOR V,11,CENTRO,Despejado,
2021-11-01T22:45:00Z,CALL. MIGUEL SERVET,13,CENTRO,Despejado,1
2021-11-01T14:15:00Z,CALL. SAN DALMACIO,39,VILLAVERDE,Despejado,1
2021-01-16T18:50:00Z,AVDA. CIUDAD DE BARCELONA,144,RETIRO,Despejado,3
2021-01-17T20:45:00Z,PASEO. SANTA MARIA DE LA CABEZA / PASEO. ESPERANZA,-,ARGANZUELA,Despejado,1
2021-01-18T22:42:00Z,RONDA. VALENCIA,5,ARGANZUELA,Despejado,1
2021-01-22T23:25:00Z,CALL. BRAVO MURILLO,97,CHAMBERÍ,,
2021-01-23T22:00:00Z,CALL. SANTA ENGRACIA,33,CHAMBERÍ,Nublado,7
2021-01-23T11:40:00Z,PASEO. YESERIAS / CALL. MELILLA,-,ARGANZUELA,Despejado,7
2021-01-24T15:35:00Z,CALL. ALMIRANTE / PASEO. RECOLETOS,-,CENTRO,,
2021-01-24T01:30:00Z,PLAZA. CANOVAS DEL CASTILLO,5,CENTRO,Despejado,14
2021-01-24T01:30:00Z,PLAZA. CANOVAS DEL CASTILLO,5,CENTRO,Despejado,7
2021-01-25T19:20:00Z,CALL. JORGE JUAN / CALL. CASTELLO,-,SALAMANCA,Nublado,6
2021-01-26T23:10:00Z,CALL. GRAN VIA,66,CENTRO,Despejado,
2021-01-26T22:30:00Z,CALL. ARENAL / CALL. DONADOS,-,CENTRO,Despejado,1
2021-01-26T20:25:00Z,CALL. PRINCIPE DE VERGARA,113,CHAMARTÍN,Despejado,7
2021-01-26T07:25:00Z,GTA. SANTA MARIA DE LA CABEZA / GTA. EMBAJADORES,-,ARGANZUELA,Lluvia débil,6
2021-01-27T22:10:00Z,CALL. ORENSE / CALL. SOR ANGELA DE LA CRUZ,-,TETUÁN,Despejado,2
2021-01-28T17:40:00Z,CALL. JUAN DE URBIETA,3,RETIRO,Despejado,1
2021-01-29T23:45:00Z,CALL. VILLANUEVA / CALL. VELAZQUEZ,-,SALAMANCA,Despejado,2
2021-01-29T18:30:00Z,CALL. PRINCIPE DE VERGARA,24,SALAMANCA,Despejado,
2021-01-29T16:27:00Z,AVDA. COMPLUTENSE,14,MONCLOA-ARAVACA,Despejado,6
2021-01-29T16:27:00Z,AVDA. COMPLUTENSE,14,MONCLOA-ARAVACA,Despejado,14
2021-01-29T16:00:00Z,PLAZA. LAVAPIES,1,CENTRO,Nublado,1
2021-01-29T14:55:00Z,CALL. BRAVO MURILLO / CALL. SANTA JULIANA,-,TETUÁN,,
