MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
5003458;C0102 - Canina - PARQUE CASINO REINA;1;CENTRO;12;EMBAJADORES;03/06/19;CALLE;CASINO;3;11002270;CANINAS;0;ACTIVO
5107903;C0103 - Canina - CALLE BARCELÓ;1;CENTRO;14;JUSTICIA;12/02/19;CALLE;BARCELO;2;11005231;CANINAS DE JUEGOS;7;INACTIVO
5003442;C0101 - Canina - VILLA DE PARIS;1;CENTRO;14;JUSTICIA;12/08/19;CALLE;ORELLANA;23;20103456;CANINAS DE JUEGOS;7;INACTIVO
4996597;C0203-Canina PARQUE IMPERIAL;2;ARGANZUELA;21;IMPERIAL;;CALLE;COBOS DE SEGOVIA;7;31043490;CANINAS;0;ACTIVO
4996643;C0204-Canina PARQUE DE LAS PEÑUELAS;2;ARGANZUELA;22;ACACIAS;;CALLE;ARGANDA;40;20065135;CANINAS;0;ACTIVO
4996660;C0205-Canina PARQUE DE LAS PEÑUELAS;2;ARGANZUELA;22;ACACIAS;;CALLE;ARGANDA;40;20065135;CANINAS;0;ACTIVO
4996586;C0201 - Canina Z.V. PUERTO DE BEJAR;2;ARGANZUELA;24;LEGAZPI;;CALLE;PUERTO DE BEJAR;7;20000295;CANINAS;0;ACTIVO
5214761;C0251-Canina PARQUE ENRIQUE TIERNO GALVAN;2;ARGANZUELA;24;LEGAZPI;04/11/19;AVENIDA;PLANETARIO;16;20064507;CANINAS;14;ACTIVO
4996591;C0202 - Canina C/ TOMAS BRETON - INSERSO;2;ARGANZUELA;25;DELICIAS;;CALLE;TOMAS BRETON;49 A;11009598;CANINAS;0;ACTIVO
4996676;C0206-Canina 'EN JARDIN DE PALESTINA';2;ARGANZUELA;26;PALOS DE MOGUER;;CALLE;CANARIAS;19;31009571;CANINAS;0;ACTIVO
4996986;C0303 - Canina Pº INFANTA ISABEL;3;RETIRO;31;PACIFICO;;PASEO;INFANTA ISABEL;2;31000002;CANINAS;0;ACTIVO
5148516;C0309-Canina PARQUE DE COCHERAS;3;RETIRO;31;PACIFICO;04/07/19;CALLE;COCHERAS;8;20001216;CANINAS;0;ACTIVO
4998011;C0308-Canina PARQUE MARTIN LUTHER KING;3;RETIRO;32;ADELFAS;15/09/18;CALLE;CERRO NEGRO;14;31020479;CANINAS;0;ACTIVO
16829;C0350-Canina PARQUE MARTIN LUTHER KING;3;RETIRO;32;ADELFAS;01/07/14;CALLE;ARREGUI Y ARUEJ;16;31005668;CANINAS DE JUEGOS;4;INACTIVO
4998041;C0301-Canina PARQUE DE ROMA;3;RETIRO;33;ESTRELLA;;CALLE;JUAN ESPLANDIU;4;11013635;CANINAS;0;ACTIVO
4996913;C0302-Canina PAR-POETA ESTEBAN VILLEGAS;3;RETIRO;35;LOS JERONIMOS;;CALLE;POETA ESTEBAN DE VILLEGAS;1;31014460;CANINAS;0;ACTIVO
4997005;C0304-Canina JARDINES DOCE DE OCTUBRE;3;RETIRO;36;NIÑO JESUS;;CALLE;DOCE DE OCTUBRE;30;20104941;CANINAS;0;ACTIVO
4997032;C0305-Canina PARQUE ANUNCIACION;3;RETIRO;36;NIÑO JESUS;;CALLE;ANUNCIACION;1;20008564;CANINAS;0;ACTIVO
4997144;C0401-Canina PARQUE SANCHO DAVILA;4;SALAMANCA;43;FUENTE DEL BERRO;;PLAZA;AMERICA ESPAÑOLA;2;11016697;CANINAS;0;ACTIVO
5215845;C0405-Canina PARQUE SANCHO DAVILA;4;SALAMANCA;43;FUENTE DEL BERRO;04/11/19;CALLE;SANCHO DAVILA;15;11016685;CANINAS;6;ACTIVO
4997171;C0402 - Canina ESTACION DE METRO CARTAGENA;4;SALAMANCA;44;GUINDALERA;;AVENIDA;AMERICA;32;11018130;CANINAS;0;ACTIVO
4997200;C0403 - Canina BERLIN - BRISTOL;4;SALAMANCA;44;GUINDALERA;;CALLE;BERLIN;5;11017903;CANINAS;0;ACTIVO
4997212;C0404-Canina PARQUE DE MARIA EVA DUARTE DE PERON;4;SALAMANCA;44;GUINDALERA;;CALLE;FLORESTAN AGUILAR;2;11017052;CANINAS;0;ACTIVO
4990482;C0453-Canina PARQUE DE LA AVENIDAS;4;SALAMANCA;44;GUINDALERA;14/01/19;AVENIDA;BRASILIA;2;31026006;CANINAS DE JUEGOS;12;ACTIVO
7182477;C0504-CANINA-PARQUE BERLIN;5;CHAMARTIN;53;CIUDAD JARDIN;21/10/20;CALLE;MARCENADO;51;31044661;CANINAS DE JUEGOS;12;ACTIVO
4997227;C0501 - Canina FINAL C/ COLOMBIA;5;CHAMARTIN;54;HISPANOAMERICA;;CALLE;COLOMBIA;61;11025089;CANINAS;0;ACTIVO
5003498;C0604 - Canina - C/ MARTIRES DE PARACUELLOS Nº2;6;TETUAN;62;CUATRO CAMINOS;01/01/04;CALLE;GENERAL RAMIREZ DE MADRID;2;31031752;CANINAS;1;ACTIVO
5003495;C0601 - Canina - AV. GENERAL PERON Nº11;6;TETUAN;62;CUATRO CAMINOS;01/01/04;AVENIDA;GENERAL PERON;11;11029983;CANINAS;1;ACTIVO
5003496;C0602 - Canina - AV. BRASIL - C/ SAN GERMAN;6;TETUAN;62;CUATRO CAMINOS;01/01/04;CALLE;SAN GERMAN;7;31043689;CANINAS;1;ACTIVO
5003497;C0603 - Canina - AV. BRASIL - C/ POETA JOAN MARAGALL;6;TETUAN;63;CASTILLEJOS;15/10/19;AVENIDA;BRASIL;40;11030593;CANINAS;1;ACTIVO
7144084;C0613 - Canina - PZA. SAN GERMÁN;6;TETUAN;63;CASTILLEJOS;10/09/20;CALLE;HUESCA;23;11030333;CANINAS DE JUEGOS;11;ACTIVO
5003500;C0606 - Canina - AV. ASTURIAS - VENTILLA;6;TETUAN;64;ALMENARA;01/01/04;AVENIDA;ASTURIAS;74;31042814;CANINAS;1;ACTIVO
5003681;C0608 - Canina - C/ SINESIO DELGADO Nº - PARQUE VENTILLA;6;TETUAN;64;ALMENARA;01/01/04;CALLE;SINESIO DELGADO;7;11032624;CANINAS;1;ACTIVO
5005553;C0609 - Canina - C/ PINOS ALTA - C/ CAÑAVERAL;6;TETUAN;64;ALMENARA;01/01/04;CALLE;CAÑAVERAL;2;11031014;CANINAS;1;ACTIVO
5235281;C0612 - Canina - C/ EMILIA - C/ VÍA LÍMITE;6;TETUAN;64;ALMENARA;16/12/19;CALLE;PADRE RUBIO;79;11032600;CANINAS DE JUEGOS;12;ACTIVO
5003499;C0605 - Canina - C/ GABRIEL PORTADALES Nº11;6;TETUAN;65;VALDEACEDERAS;01/01/04;CALLE;GABRIEL PORTADALES;11;11033480;CANINAS;1;ACTIVO
5005554;C0610 - Canina - C/ PLATANO - C/ VEZA;6;TETUAN;65;VALDEACEDERAS;01/01/04;CALLE;VEZA;43;11033931;CANINAS;1;ACTIVO
5211510;C0611 - Canina - Rodriguez Sahagún (Huerta del Obispo);6;TETUAN;65;VALDEACEDERAS;22/11/19;;;;;CANINAS;13;ACTIVO
5003401;C0701 - Canina - PZA. CONDE DEL VALLE SUCHILL Nº1;7;CHAMBERI;72;ARAPILES;01/01/04;PLAZA;CONDE DEL VALLE DE SUCHIL;1;20013622;CANINAS;1;ACTIVO
5003417;C0706 - Canina - C/ GALILEO Nº35;7;CHAMBERI;72;ARAPILES;28/11/19;CALLE;GALILEO;35;31044128;CANINAS;6;ACTIVO
7243273;C0708 - Canina - PARQUE ENRIQUE HERREROS;7;CHAMBERI;76;VALLEHERMOSO;28/10/20;CALLE;CEA BERMUDEZ;2;11042483;CANINAS;5;ACTIVO
4996484;C0703 - Canina - PZA. TENIENDE DE ALCALDE PÉREZ PILLADO;7;CHAMBERI;76;VALLEHERMOSO;01/01/04;CALLEJON;MAGALLANES;3;31044163;CANINAS;1;ACTIVO
7163446;C0707 - Canina - C/ DOMENICO SCARLATTI Nº4;7;CHAMBERI;76;VALLEHERMOSO;10/09/20;;;;;CANINAS;2;ACTIVO
4997902;C0802-Canina PARQUE JOAQUIN LORENZO;8;FUENCARRAL-EL PARDO;83;PEÑA GRANDE;;CALLE;VALLE DE MENA;20;31028906;CANINAS;0;ACTIVO
5003208;C0803-Canina DR. JOAQUIN LORENZO (APE 08.11);8;FUENCARRAL-EL PARDO;83;PEÑA GRANDE;;CALLE;JOAQUIN LORENZO;32;11044477;CANINAS;0;ACTIVO
7872635;C0806-Canina CALLE PICO MAJALASNA 3;8;FUENCARRAL-EL PARDO;83;PEÑA GRANDE;15/05/20;CALLE;PICO DE MAJALASNA;3;20073723;CANINAS;0;ACTIVO
4997998;C0801-Canina PARQUE DE LA SUPERMANZANA 5;8;FUENCARRAL-EL PARDO;84;EL PILAR;;CALLE;FERMIN CABALLERO;65;11045724;CANINAS;0;ACTIVO
7895077;C0867-CANINA-AVD. FERROL 43 JUNTO IES GREGORIO MARAÑON;8;FUENCARRAL-EL PARDO;84;EL PILAR;18/05/21;CALLE;RIBADAVIA;37;11046316;CANINAS DE JUEGOS;9;ACTIVO
5183029;C0856-Canina PARQUE DE LA SUPERMANZANA 7;8;FUENCARRAL-EL PARDO;85;LA PAZ;29/08/19;CALLE;SANGENJO;27;11045862;CANINAS;12;ACTIVO
3568726;C0853-Canina PARQUE NORTE. AREA CANINA;8;FUENCARRAL-EL PARDO;85;LA PAZ;01/03/17;CALLE;PEDRO RICO;1;20103366;CANINAS DE JUEGOS;7;ACTIVO
7872575;C0804-Canina CALLE VILLACASTIN 10;8;FUENCARRAL-EL PARDO;86;VALVERDE;15/05/20;CALLE;VILLACASTIN;10;20075697;CANINAS;0;ACTIVO
