Identifier,Description,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address,same_as_wikidata_calle,Housenumber
120312,SITUADO-APARCABICICLETAS-ESPACIO-DE-IGUALDAD-RETIRO-(ELENA-ARNEDO-SORIANO),3,Retiro,https://wikidata.org/entity/Q2002296,32,Adelfas,https://wikidata.org/entity/Q3774001,OPERATIVO,"Calle de Valderribas, Madrid",https://wikidata.org/entity/Q29051503,99
120718,SITUADO-APARCABICICLETAS-COLEGIO-SAN-EUGENIO-Y-SAN-ISIDRO,2,Arganzuela,https://wikidata.org/entity/Q2000929,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,calle de las Peñuelas,https://wikidata.org/entity/Q29917803,29
121719,SITUADO-APARCABICICLETAS-BIBLIOTECA-RETIRO,3,Retiro,https://wikidata.org/entity/Q2002296,32,Adelfas,https://wikidata.org/entity/Q3774001,OPERATIVO,"Calle del Doctor Esquerdo, Madrid",https://wikidata.org/entity/Q5741005,189
123078,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-LEGADO-CRESPO,2,Arganzuela,https://wikidata.org/entity/Q2000929,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"Paseo de las Acacias, Madrid",https://wikidata.org/entity/Q55947263,2
123106,SITUADO-APARCABICICLETAS-AL-LADO-DE-AGENCIA-PARA-EL-EMPLEO-DE-MADRID,2,Arganzuela,https://wikidata.org/entity/Q2000929,21,Imperial,https://wikidata.org/entity/Q3773740,OPERATIVO,Paseo de los Pontones,https://wikidata.org/entity/Q26737156,10
123753,SITUADO-APARCABICICLETAS-UPM:-ESCUELA-TENICA-SUPERIOR-DE-INGENIERIA-Y-DISEÑO-INSDUSTRIAL,2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"CALLE BERNARDINO OBREGON,1",,1
123802,SITUADO-APARCABICICLETAS-ESCUELA-MUNICIPAL-DE-MUSICA-ALMUDENA-CANO,2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"PASAJE TORTOSA,6",,6
124590,SITUADO-APARCABICICLETAS-COLEGIO-SALESIANOS-DE-ATOCHA-(SITUADO-LINEAL),2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,Ronda de Atocha,https://wikidata.org/entity/Q26831149,27
124711,SITUADO-APARCABICICLETAS-EN-LA-GLORIETA,3,Retiro,https://wikidata.org/entity/Q2002296,33,Estrella,https://wikidata.org/entity/Q3773738,OPERATIVO,"Plaza del Conde de Casal, Madrid",https://wikidata.org/entity/Q30342082,5
124995,SITUADO-APARCABICICLETAS-DIRECCION-GENERAL-DE-AGRICULTURA-DE-LA-COMUNIDAD-DE-MADRID,2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,Ronda de Atocha,https://wikidata.org/entity/Q26831149,17
