Identifier,Description,District Code,District Name,Neighborhood code,Neighborhood Name,Operative Status,Address
120312,SITUADO APARCABICICLETAS - ESPACIO DE IGUALDAD RETIRO (ELENA ARNEDO SORIANO),3,RETIRO,32,ADELFAS,OPERATIVO,CALLE VALDERRIBAS 99
120718,SITUADO APARCABICICLETAS - COLEGIO SAN EUGENIO Y SAN ISIDRO,2,ARGANZUELA,22,ACACIAS,OPERATIVO,CALLE PEÑUELAS 29
121719,SITUADO APARCABICICLETAS - BIBLIOTECA RETIRO,3,RETIRO,32,ADELFAS,OPERATIVO,CALLE DOCTOR ESQUERDO 189
123078,SITUADO APARCABICICLETAS - COLEGIO PUBLICO LEGADO CRESPO,2,ARGANZUELA,22,ACACIAS,OPERATIVO,PASEO ACACIAS 2
123106,SITUADO APARCABICICLETAS - AL LADO DE AGENCIA PARA EL EMPLEO DE MADRID,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,PASEO PONTONES 10
123753,SITUADO APARCABICICLETAS - UPM: ESCUELA TENICA SUPERIOR DE INGENIERIA Y DISEÑO INSDUSTRIAL,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,CALLE BERNARDINO OBREGON 1
123802,SITUADO APARCABICICLETAS - ESCUELA MUNICIPAL DE MUSICA ALMUDENA CANO,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,PASAJE TORTOSA 6
124590,SITUADO APARCABICICLETAS - COLEGIO SALESIANOS DE ATOCHA (SITUADO LINEAL),2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,RONDA ATOCHA 27
124711,SITUADO APARCABICICLETAS - EN LA GLORIETA,3,RETIRO,33,ESTRELLA,OPERATIVO,PLAZA CONDE DE CASAL 5
124995,SITUADO APARCABICICLETAS - DIRECCION GENERAL DE AGRICULTURA DE LA COMUNIDAD DE MADRID,2,ARGANZUELA,26,PALOS DE MOGUER,OPERATIVO,RONDA ATOCHA 17
126081,SITUADO APARCABICICLETAS - AL LADO DE CARRIL BICI,2,ARGANZUELA,21,IMPERIAL,OPERATIVO,CALLE JEMENUÑO 
128679,SITUADO APARCABICICLETAS - ESTACION DE METRO SAINZ DE BARANDA,3,RETIRO,33,ESTRELLA,OPERATIVO,CALLE DOCTOR ESQUERDO 107
128692,"SITUADO APARCABICICLETAS - AL LADO DEL CEIP CIUDAD DE ROMA, EN LA ENTRADA DEL PARQUE",3,RETIRO,33,ESTRELLA,OPERATIVO,CALLE JUAN ESPLANDIU 1
130122,SITUADO APARCABICICLETAS - EN LA PARTE DE LAS OFICINAS,3,RETIRO,33,ESTRELLA,OPERATIVO,CALLE JUAN ESPLANDIU 13
130831,SITUADO APARCABICICLETAS - AL LADO DE CASA DE AMERICA,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE ALCALA 53
131013,SITUADO APARCABICICLETAS - ROTONDA PUERTA DE ALCALA,4,SALAMANCA,41,RECOLETOS,OPERATIVO,PLAZA INDEPENDENCIA 6
131263,SITUADO APARCABICICLETAS - ESTACION DE METRO RETIRO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE LAGASCA 2
131337,SITUADO APARCABICICLETAS - POLIDEPORTIVO FUENTE DEL BERRO,4,SALAMANCA,43,FUENTE DEL BERRO,OPERATIVO,CALLE ELVIRA 31
132154,SITUADO APARCABICICLETAS - CERCANO A LA CASA ARABE,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE O'DONNELL 7
132190,SITUADO APARCABICICLETAS - COLEGIO NUESTRA SEÑORA DEL RECUERDO,5,CHAMARTIN,56,CASTILLA,OPERATIVO,PLAZA DUQUE DE PASTRANA 4
133618,SITUADO APARCABICICLETAS - PALACIO DE LOS DEPORTES,4,SALAMANCA,42,GOYA,OPERATIVO,CALLE LOMBIA 18
135605,SITUADO APARCABICICLETAS - I.E.S BEATRIZ GALINDO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE GOYA 10
138086,SITUADO APARCABICICLETAS - CENTRO DE NEGOCIOS VELAZQUEZ,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE VELAZQUEZ 56
138273,SITUADO APARCABICICLETAS - UNIVERSIDAD REY JUAN CARLOS CAMPUS DE MADRID - MANUEL BECERRA,4,SALAMANCA,43,FUENTE DEL BERRO,OPERATIVO,PLAZA MANUEL BECERRA 15
138853,SITUADO APARCABICICLETAS - EN LA PLAZA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,PLAZA MANUEL BECERRA 8
139324,SITUADO APARCABICICLETAS - C/V C. SERRANO,4,SALAMANCA,41,RECOLETOS,OPERATIVO,CALLE DON RAMON DE LA CRUZ 2
139444,SITUADO APARCABICICLETAS - MOVIDO A AVENIDA DE LOS TOREROS (CLUB DEPORTIVO CALDEIRO),4,SALAMANCA,44,GUINDALERA,OPERATIVO,AVENIDA TOREROS 45
141419,SITUADO APARCABICICLETAS - PLAZA DE TOROS DE LAS VENTAS,4,SALAMANCA,44,GUINDALERA,OPERATIVO,CALLE ALCALA 237
142259,SITUADO APARCABICICLETAS - BIBLIOTECA PUBLICA MUNICIPAL BUENAVISTA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,AVENIDA TOREROS 5
142279,SITUADO APARCABICICLETAS - EN LA ESTACION DE METRO DIEGO DE LEON,4,SALAMANCA,45,LISTA,OPERATIVO,CALLE JUAN BRAVO 62
143432,SITUADO APARCABICICLETAS - MUSEO DE ARTE PUBLICO,4,SALAMANCA,46,CASTELLANA,OPERATIVO,PASEO CASTELLANA 40
145954,SITUADO APARCABICICLETAS - C/V CALLE DE MEJICO,4,SALAMANCA,44,GUINDALERA,OPERATIVO,CALLE FRANCISCO SILVELA 66
147565,SITUADO APARCABICICLETAS - C.P. GUINDALERA,4,SALAMANCA,44,GUINDALERA,OPERATIVO,AVENIDA CAMILO JOSE CELA 6
148185,SITUADO APARCABICICLETAS - AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA,4,SALAMANCA,46,CASTELLANA,OPERATIVO,CALLE NUÐEZ DE BALBOA 125
148326,SITUADO APARCABICICLETAS - EMBAJADA DE ALBANIA,4,SALAMANCA,45,LISTA,OPERATIVO,CALLE MARIA DE MOLINA 62
148778,SITUADO APARCABICICLETAS - CENTRO MUNICIPAL MOSCARDO,4,SALAMANCA,44,GUINDALERA,OPERATIVO,CALLE PILAR DE ZARAGOZA 93
149445,SITUADO APARCABICICLETAS - C/PADRE FRANCISCO PALAU Y QUER,5,CHAMARTIN,56,CASTILLA,OPERATIVO,PASEO CASTELLANA 272
