StationNumber,Gis_X,Gis_Y,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,same_as_wikidata_street,Number,Capacity,Longitude,Latitude
2,"440134,83","4474678,23",1,Centro,https://wikidata.org/entity/Q1763376,15,Universidad,https://wikidata.org/entity/Q10387767,"CALLE DE MIGUEL MOYA,1",,1,24,-37.056.739,4.042.058
17,"440263,35","4474964,43",1,Centro,https://wikidata.org/entity/Q1763376,15,Universidad,https://wikidata.org/entity/Q10387767,"PLAZA DE CARLOS CAMBRONERO,2",,2,24,-37.041.859,404.231.675
67,"441190,08","4473587,45",1,Centro,https://wikidata.org/entity/Q1763376,13,Cortes,https://wikidata.org/entity/Q2535637,"CALLE DE ALMADEN,28",,28,24,-36.931.349,40.410.829
68,"441358,92","4473802,81",3,Retiro,https://wikidata.org/entity/Q2002296,35,Jerónimos,https://wikidata.org/entity/Q10306766,"CALLE DE ESPALTER,1",,1,21,-36.911.649,40.412.781
71,"442816,22","4474149,49",3,Retiro,https://wikidata.org/entity/Q2002296,36,Niño Jesús,https://wikidata.org/entity/Q3773746,"CALLE DEL DOCE DE OCTUBRE,28",,28,24,-3.674.021,404.160.054
73,"443229,99","4473642,11",3,Retiro,https://wikidata.org/entity/Q2002296,33,Estrella,https://wikidata.org/entity/Q3773738,"PLAZA DE LOS ASTROS,",,,24,-3.669.099,40.411.463
78,"442755,86","4472436,57",3,Retiro,https://wikidata.org/entity/Q2002296,32,Adelfas,https://wikidata.org/entity/Q3774001,"CALLE DEL CERRO DE LA PLATA,2",,2,24,-36.745.783,404.005.704
83,"442770,38","4473844,96",3,Retiro,https://wikidata.org/entity/Q2002296,36,Niño Jesús,https://wikidata.org/entity/Q3773746,"CALLE DE PIO BAROJA,8 B",,8 B,24,-36.745.339,404.132.589
98,"442705,5","4475058,99",4,Salamanca,https://wikidata.org/entity/Q1773521,42,Goya,https://wikidata.org/entity/Q3814578,"AVENIDA DE FELIPE II,5",,5,24,-36.754.079,404.241.911
108,"443111,6","4475416,83",4,Salamanca,https://wikidata.org/entity/Q1773521,42,Goya,https://wikidata.org/entity/Q3814578,"CALLE DE LAS MARTIRES CONCEPCIONISTAS,2",,2,27,-3.670.653,404.274.425
115,"439181,48","4475218,76",9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,92,Argüelles,https://wikidata.org/entity/Q64874,"PLAZA DEL MARQUES DE CERRALBO,",,,24,-37.169.626,404.253.802
118,"441605,64","4472470,47",2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,"CALLE DE JUAN MARTIN EL EMPECINADO,16",,16,24,-3.688.135,404.007.959
120,"441043,78","4472723,55",2,Arganzuela,https://wikidata.org/entity/Q2000929,26,Palos de Moguer,https://wikidata.org/entity/Q521009,"CALLE DE PALOS DE LA FRONTERA,27",,27,24,-36.947.791,404.030.362
